logfc	mating
-7.719788958	ov_M
-7.447200425	ov_M
-7.41042533	ov_M
-6.197411136	ov_M
-5.738505783	ov_M
-3.708466073	ov_M
-3.423199979	ov_M
-3.264437175	ov_M
-3.05791117	ov_M
-3.02465162	ov_M
-2.939212523	ov_M
-2.730261221	ov_M
-2.491972914	ov_M
-2.378069807	ov_M
-2.354325339	ov_M
-2.279987302	ov_M
-2.010108976	ov_M
-1.985789865	ov_M
-1.980516024	ov_M
-1.805452883	ov_M
-1.766010354	ov_M
-1.745169156	ov_M
-1.743005453	ov_M
-1.666997908	ov_M
-1.658758764	ov_M
-1.625787755	ov_M
-1.624764548	ov_M
-1.592100527	ov_M
-1.581536331	ov_M
-1.499379282	ov_M
-1.492025265	ov_M
-1.479874025	ov_M
-1.467913369	ov_M
-1.399885601	ov_M
-1.309353054	ov_M
-1.233073362	ov_M
-1.176194027	ov_M
-1.108710361	ov_M
-1.022860643	ov_M
-0.9857751	ov_M
-0.97281416	ov_M
-0.966540904	ov_M
-0.960906567	ov_M
-0.935388229	ov_M
-0.897850021	ov_M
-0.896927057	ov_M
-0.830975649	ov_M
-0.807487448	ov_M
-0.806969135	ov_M
-0.806289308	ov_M
-0.779537201	ov_M
-0.751941694	ov_M
-0.726286968	ov_M
-0.714544844	ov_M
-0.706227808	ov_M
-0.683637747	ov_M
-0.606259704	ov_M
-0.528760684	ov_M
-0.51417675	ov_M
-0.511111927	ov_M
-0.499407783	ov_M
-0.490557504	ov_M
-0.464800683	ov_M
-0.415269184	ov_M
0.396014996	ov_E
0.445990396	ov_E
0.481248962	ov_E
0.48349164	ov_E
0.515668272	ov_E
0.521196671	ov_E
0.536209264	ov_E
0.590518407	ov_E
0.603265716	ov_E
0.604247624	ov_E
0.605304365	ov_E
0.630803363	ov_E
0.638476969	ov_E
0.6448072	ov_E
0.680962482	ov_E
0.703221833	ov_E
0.719559235	ov_E
0.763881309	ov_E
0.76476871	ov_E
0.767166884	ov_E
0.790853261	ov_E
0.865465854	ov_E
0.880097836	ov_E
0.887407246	ov_E
0.887650913	ov_E
0.906514971	ov_E
0.916292895	ov_E
0.948230776	ov_E
0.969191971	ov_E
1.022583822	ov_E
1.062994349	ov_E
1.095234336	ov_E
1.102069266	ov_E
1.129069266	ov_E
1.137548259	ov_E
1.138005406	ov_E
1.148854943	ov_E
1.253415213	ov_E
1.328601294	ov_E
1.358593615	ov_E
1.389747911	ov_E
1.41594563	ov_E
1.510863656	ov_E
1.525909233	ov_E
1.530504054	ov_E
1.581537042	ov_E
1.664470124	ov_E
1.70193117	ov_E
1.720907161	ov_E
1.760410487	ov_E
1.782598241	ov_E
1.888073962	ov_E
1.994761469	ov_E
2.068731004	ov_E
2.110472435	ov_E
2.208648666	ov_E
2.250772789	ov_E
2.450909417	ov_E
2.574219882	ov_E
2.589519575	ov_E
2.640940847	ov_E
2.655260962	ov_E
2.839315705	ov_E
2.932487281	ov_E
2.991843398	ov_E
3.105849986	ov_E
3.643809659	ov_E
4.744700591	ov_E
-6.68207256	frt_M
-5.293675518	frt_M
-4.110241246	frt_M
-3.589983882	frt_M
-3.371007394	frt_M
-3.36049922	frt_M
-3.11314457	frt_M
-3.092595999	frt_M
-2.960222702	frt_M
-2.927676088	frt_M
-2.913568313	frt_M
-2.86131408	frt_M
-2.832942517	frt_M
-2.432515687	frt_M
-2.418348872	frt_M
-2.276574944	frt_M
-2.227971735	frt_M
-2.213251357	frt_M
-2.180010787	frt_M
-2.068859248	frt_M
-2.015598842	frt_M
-1.974599352	frt_M
-1.903091787	frt_M
-1.774086771	frt_M
-1.770440578	frt_M
-1.763279635	frt_M
-1.72350487	frt_M
-1.675590857	frt_M
-1.662830148	frt_M
-1.591964235	frt_M
-1.588853608	frt_M
-1.50239916	frt_M
-1.496433457	frt_M
-1.38678927	frt_M
-1.34386719	frt_M
-1.337418235	frt_M
-1.311720955	frt_M
-1.258522004	frt_M
-1.24138253	frt_M
-1.115692021	frt_M
-1.114010445	frt_M
1.53243019	frt_E
1.55785753	frt_E
1.641323301	frt_E
1.835067073	frt_E
1.941140484	frt_E
1.964040261	frt_E
2.088789811	frt_E
2.110036116	frt_E
2.270553049	frt_E
2.473569519	frt_E
2.656810934	frt_E
2.701721743	frt_E
2.763124563	frt_E
2.931135278	frt_E
3.311195659	frt_E
3.641324662	frt_E
3.955657297	frt_E
4.182566173	frt_E
4.289692969	frt_E
4.508120543	frt_E
4.589066269	frt_E
4.730775372	frt_E
5.183592526	frt_E
5.491783624	frt_E
5.787307491	frt_E
5.851524958	frt_E
6.04022237	frt_E
6.553963746	frt_E
6.80648725	frt_E
6.860523844	frt_E
6.888418783	frt_E
6.923730558	frt_E
7.29315988	frt_E
7.529505652	frt_E
7.610379987	frt_E
7.645262092	frt_E
7.94829816	frt_E
7.964356791	frt_E
8.232036064	frt_E
8.398580748	frt_E
9.30634151	frt_E
9.53174607	frt_E
