Samples	M_ag_1	M_ag_2	E_ag_1	E_ag_2	M_ag_3	M_ag_4	E_ag_3	E_ag_4
FBgn0011563	2	12	4	18	9	1	8	3
FBgn0012689	5	4	1	3	1	2	5	1
FBgn0012690	1	0	2	2	8	8	1	1
FBgn0012691	42	134	50	67	107	76	64	53
FBgn0012692	21	110	34	61	112	34	34	26
FBgn0012694	10	16	19	13	19	12	8	10
FBgn0012695	0	1	0	0	0	1	0	0
FBgn0012696	101	89	141	189	88	317	202	97
FBgn0012698	1872	2775	1970	2750	2599	2916	2412	1712
FBgn0012699	0	1	1	1	0	0	3	1
FBgn0012701	3481	4550	3788	5232	4361	8610	3963	2293
FBgn0012704	555	661	640	555	823	1126	517	411
FBgn0012706	1053	1433	1512	1272	937	2351	1742	818
FBgn0012707	0	0	0	2	2	0	0	0
FBgn0012708	1	0	3	0	0	0	1	0
FBgn0012709	0	0	0	0	0	0	0	0
FBgn0012710	0	1	0	0	1	0	1	0
FBgn0012711	0	0	0	2	0	1	1	1
FBgn0012714	9	9	6	35	17	50	35	27
FBgn0012716	586	1047	2016	3357	1638	2670	1658	1496
FBgn0012717	66	122	82	230	82	225	193	123
FBgn0012723	0	0	4	2	0	0	3	1
FBgn0012725	456	593	567	979	992	1205	860	559
FBgn0012727	1	6	3	27	16	7	1	4
FBgn0012733	0	0	1	1	0	1	1	0
FBgn0012735	87	101	96	165	125	421	92	72
FBgn0012736	91	124	98	201	169	222	124	98
FBgn0013862	1	0	0	0	0	1	0	0
FBgn0013863	0	0	0	0	0	0	0	0
FBgn0014783	20	46	122	68	91	197	118	55
FBgn0015144	6	8	4	11	10	8	13	9
FBgn0015151	261	390	297	369	321	651	405	250
FBgn0016313	500	552	463	638	812	939	504	411
FBgn0018538	3	7	0	3	3	5	1	2
FBgn0018547	212	284	305	267	187	431	333	184
FBgn0020474	0	0	0	0	0	0	0	0
FBgn0020475	3	1	5	13	5	35	19	9
FBgn0022538	337	308	312	412	362	646	451	263
FBgn0022854	195	254	241	192	215	333	327	136
FBgn0023293	598	1001	772	1221	620	623	1558	525
FBgn0023294	257	417	342	734	531	747	526	355
FBgn0023295	1	10	0	1	1	11	4	0
FBgn0023296	485	574	563	775	664	992	643	443
FBgn0023297	629	1001	1226	1004	973	1406	992	667
FBgn0027807	0	0	1	2	1	8	10	3
FBgn0046148	1	0	0	1	1	3	1	0
FBgn0061259	0	0	0	0	0	0	0	0
FBgn0061260	43	35	25	101	82	88	62	36
FBgn0061261	2	15	50	27	44	106	30	22
FBgn0061263	0	3	0	2	2	3	6	2
FBgn0062298	33	53	54	119	60	170	85	47
FBgn0062741	22	30	27	33	22	43	44	12
FBgn0064047	175	191	187	221	224	352	231	167
FBgn0064414	14	47	46	37	41	80	61	21
FBgn0064416	62	82	91	157	85	188	141	88
FBgn0064417	5	8	10	17	16	32	21	11
FBgn0064419	307	306	318	362	340	585	457	231
FBgn0064420	10	13	50	22	39	54	43	24
FBgn0064421	132	172	153	135	141	214	199	98
FBgn0064422	1	0	0	1	0	0	0	0
FBgn0064423	2	2	10	4	7	14	2	2
FBgn0064424	0	2	4	1	1	1	8	2
FBgn0064425	20	27	19	34	47	61	35	24
FBgn0064426	79	119	133	56	133	214	126	47
FBgn0064427	631	647	376	602	484	787	644	408
FBgn0064431	0	0	0	0	1	0	0	0
FBgn0064435	94	126	151	266	199	290	231	144
FBgn0064437	5	3	8	8	13	8	15	3
