Samples	M_ov_1	M_ov_2	E_ov_1	E_ov_2	MM_ov_1	MM_ov_2	EE_ov_1	EE_ov_2	M_ov_3	M_ov_4	E_ov_3	E_ov_4	MM_ov_3	MM_ov_4	EE_ov_3
FBgn0011563	0	7	3	0	3	6	0	1	4	3	6	1	2	0	3
FBgn0012689	2	3	0	1	2	2	0	1	3	2	2	1	1	2	6
FBgn0012690	27	34	42	91	60	44	57	54	28	18	56	51	23	24	149
FBgn0012691	12	58	20	10	68	103	7	14	26	83	29	14	6	16	59
FBgn0012692	11	40	14	4	33	67	8	9	38	43	23	24	5	8	36
FBgn0012694	67	68	58	123	51	96	99	80	74	47	72	75	64	46	201
FBgn0012695	0	0	0	0	1	0	1	0	1	1	1	1	1	0	2
FBgn0012696	46	30	42	58	136	98	56	57	56	111	55	43	97	83	213
FBgn0012698	7567	10058	8498	11166	11641	12000	6462	8913	9477	6698	9347	9533	9861	6722	20577
FBgn0012699	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0
FBgn0012701	27667	36532	29310	37143	73641	46343	43370	30788	43453	41346	36913	36705	43366	35593	81995
FBgn0012704	2703	3543	3051	3139	5433	2869	3505	3709	3645	2195	3114	3265	2698	2170	7445
FBgn0012706	158	237	204	210	349	179	133	165	202	185	197	176	131	124	364
FBgn0012707	3	3	6	12	13	9	11	13	2	6	7	8	2	4	18
FBgn0012708	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
FBgn0012709	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0012710	0	0	4	3	3	1	0	1	2	0	4	0	0	0	2
FBgn0012711	0	1	0	3	1	1	1	1	1	0	0	0	0	1	2
FBgn0012714	986	1089	1073	2779	2708	2883	1103	1118	1161	2279	1942	1188	2186	2292	3591
FBgn0012716	70	391	133	82	479	326	87	171	295	481	114	158	50	29	298
FBgn0012717	884	804	547	980	1481	1472	838	724	1069	967	729	656	1407	1129	2216
FBgn0012723	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
FBgn0012725	3640	5133	4964	4904	7735	5464	3964	3964	5855	4749	5897	5750	4998	3933	9830
FBgn0012727	1	0	0	2	6	8	0	1	2	3	6	1	0	3	3
FBgn0012733	3	3	3	4	9	2	4	1	6	2	1	1	8	4	5
FBgn0012735	25	39	24	40	79	44	23	19	48	42	42	42	39	24	75
FBgn0012736	5	16	2	8	20	19	6	7	13	14	13	8	5	8	53
FBgn0013862	0	3	1	3	2	0	2	0	0	0	3	0	0	0	2
FBgn0013863	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1
FBgn0014783	0	4	7	13	1	8	1	8	5	4	7	7	7	4	6
FBgn0015144	0	2	2	1	1	1	0	0	0	0	0	1	0	0	1
FBgn0015151	1106	1639	1345	1958	2546	1862	1371	1619	1569	1309	1590	1741	1447	1073	4255
FBgn0016313	2610	3149	2954	3424	5562	2516	2423	4256	2883	1887	2961	2937	2936	2221	9775
FBgn0018538	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
FBgn0018547	17	25	19	29	76	48	20	26	32	30	22	28	36	20	49
FBgn0020474	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0
FBgn0020475	0	1	0	0	1	2	0	1	2	0	1	0	3	1	2
FBgn0022538	4098	3886	3111	4889	5106	5778	1976	3379	3951	4743	4813	3300	5927	5121	9341
FBgn0022854	826	1067	808	1383	1494	1437	753	993	1195	794	999	968	1086	889	2615
FBgn0023293	1312	2205	1204	2527	1503	2110	597	1670	2076	1039	1769	1771	1344	948	3508
FBgn0023294	1941	2700	1913	3756	4200	3606	2071	2816	2677	1872	2123	2108	2469	1847	7069
FBgn0023295	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1
FBgn0023296	1666	2107	1813	1826	2922	2217	1630	1750	2489	1911	2122	2055	2373	1972	4088
FBgn0023297	6572	9489	8891	14628	17528	10234	7612	13348	7871	5001	9617	9077	7547	5536	25583
FBgn0027807	975	1634	1347	1638	1685	1614	993	880	1943	1664	1092	1064	1252	1128	2324
FBgn0046148	26	11	23	48	104	38	47	50	14	78	31	30	45	47	81
FBgn0061259	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1
FBgn0061260	57	67	86	86	118	67	34	55	67	66	74	76	69	60	189
FBgn0061261	1	3	2	2	2	2	1	1	0	5	4	1	2	0	5
FBgn0061263	786	1189	887	1497	2100	1125	787	1094	1195	741	1092	1021	995	708	2366
FBgn0062298	416	564	460	617	1061	664	443	441	639	599	689	646	577	456	1483
FBgn0062741	1384	2156	1800	2375	2857	2674	2136	1497	2578	2464	2564	2313	2356	1855	4176
FBgn0064047	1862	2704	2117	2694	3319	2862	1685	2264	2719	1905	2556	2357	2539	1779	5096
FBgn0064414	927	1131	884	1343	1447	1542	751	969	1228	1218	1185	1125	1513	1361	2815
FBgn0064416	328	531	392	440	897	461	414	412	581	541	625	608	521	400	1150
FBgn0064417	1	4	1	5	4	5	1	4	3	1	2	3	2	1	4
FBgn0064419	1972	2329	1842	2787	3667	2879	2037	2262	2487	2153	2359	2298	2577	2105	5622
FBgn0064420	0	2	1	2	0	4	1	2	2	0	0	0	0	1	0
FBgn0064421	662	744	635	983	769	962	834	775	923	662	829	824	944	698	2048
FBgn0064422	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0
FBgn0064423	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
FBgn0064424	753	1131	1071	1076	2223	1142	727	896	1281	751	1200	1147	1034	680	2269
FBgn0064425	727	1005	679	1369	2645	1300	938	806	1001	916	922	1047	948	776	2475
FBgn0064426	985	1384	1189	1396	1516	1273	677	1445	1135	712	1088	1274	1173	791	2886
FBgn0064427	1086	1419	1109	2710	2555	2578	2395	1315	1408	1419	1314	1516	1589	1338	3699
FBgn0064431	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0064435	1415	1574	1233	1884	3013	1969	1375	1498	1884	1977	2152	1817	2236	1775	4716
FBgn0064437	3	2	7	5	11	4	2	10	7	7	3	2	5	3	8
FBgn0064438	1	3	6	9	1	5	0	6	5	0	3	4	3	5	4
FBgn0064439	3	49	19	5	55	60	4	26	34	48	4	8	4	1	29
FBgn0064440	2	5	5	12	20	22	20	14	16	9	6	5	17	3	28
FBgn0064441	459	663	544	730	806	616	330	615	687	378	651	648	536	394	1272
FBgn0064442	0	3	6	3	0	2	1	1	2	1	3	4	3	1	4
FBgn0064443	221	315	279	440	527	403	363	341	311	226	387	375	414	260	863
FBgn0064444	877	1204	975	1451	1840	1278	727	1257	1380	928	1408	1293	1162	819	3112
FBgn0064447	918	1228	995	1239	2017	1336	932	1320	1233	793	1049	1105	1215	833	3021
FBgn0064448	3339	4343	3469	3694	8846	4636	4126	3514	5411	3720	4739	4698	4615	3300	10317
FBgn0067207	1327	1696	1261	2621	3327	2432	2101	1892	1702	1507	1569	1681	1940	1575	5249
FBgn0067543	1534	2596	1963	3286	1233	2109	1041	2709	2146	1260	1961	2050	1876	1473	5425
