Samples	EM_ov_1	EM_ov_2	ME_ov_1	ME_ov_2	MM_ov_1	MM_ov_2	EE_ov_1	EE_ov_2	EM_ov_3	EM_ov_4	ME_ov_3	ME_ov_4	MM_ov_3	MM_ov_4	EE_ov_3
FBgn0011563	1	3	0	0	3	6	0	1	2	3	0	0	2	0	3
FBgn0012689	2	5	2	4	2	2	0	1	0	2	0	0	1	2	6
FBgn0012690	44	117	24	48	60	44	57	54	62	74	10	15	23	24	149
FBgn0012691	7	27	25	8	68	103	7	14	5	11	28	24	6	16	59
FBgn0012692	14	31	16	1	33	67	8	9	7	2	14	31	5	8	36
FBgn0012694	88	155	59	126	51	96	99	80	56	50	16	44	64	46	201
FBgn0012695	0	0	1	0	1	0	1	0	0	2	0	2	1	0	2
FBgn0012696	46	77	54	98	136	98	56	57	69	94	31	43	97	83	213
FBgn0012698	8379	14839	7984	13524	11641	12000	6462	8913	7412	10761	2863	7425	9861	6722	20577
FBgn0012699	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0
FBgn0012701	31024	61450	29098	63012	73641	46343	43370	30788	31604	47372	12807	30366	43366	35593	81995
FBgn0012704	2408	4890	1403	3933	5433	2869	3505	3709	2424	2750	805	1866	2698	2170	7445
FBgn0012706	141	233	111	122	349	179	133	165	91	224	62	174	131	124	364
FBgn0012707	10	16	0	5	13	9	11	13	5	10	1	1	2	4	18
FBgn0012708	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
FBgn0012709	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
FBgn0012710	0	1	0	2	3	1	0	1	0	0	0	0	0	0	2
FBgn0012711	0	3	1	1	1	1	1	1	3	0	0	0	0	1	2
FBgn0012714	2444	3368	2089	1770	2708	2883	1103	1118	2013	2726	768	911	2186	2292	3591
FBgn0012716	107	401	160	64	479	326	87	171	84	92	101	200	50	29	298
FBgn0012717	792	1257	874	1526	1481	1472	838	724	614	886	436	751	1407	1129	2216
FBgn0012723	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
FBgn0012725	4040	8212	3707	6229	7735	5464	3964	3964	5358	7263	1611	3737	4998	3933	9830
FBgn0012727	1	4	1	1	6	8	0	1	3	0	2	0	0	3	3
FBgn0012733	0	4	5	4	9	2	4	1	1	5	0	4	8	4	5
FBgn0012735	19	52	20	55	79	44	23	19	25	58	8	38	39	24	75
FBgn0012736	14	31	9	12	20	19	6	7	7	6	10	12	5	8	53
FBgn0013862	0	0	0	5	2	0	2	0	0	0	0	0	0	0	2
FBgn0013863	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
FBgn0014783	3	11	2	6	1	8	1	8	2	1	1	1	7	4	6
FBgn0015144	1	0	1	0	1	1	0	0	0	3	2	0	0	0	1
FBgn0015151	1456	2473	1008	1733	2546	1862	1371	1619	1291	2253	349	1015	1447	1073	4255
FBgn0016313	2406	4304	1349	3423	5562	2516	2423	4256	2322	3866	848	1620	2936	2221	9775
FBgn0018538	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
FBgn0018547	28	46	32	38	76	48	20	26	28	48	16	18	36	20	49
FBgn0020474	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0
FBgn0020475	1	2	0	1	1	2	0	1	0	0	0	0	3	1	2
FBgn0022538	4103	6464	3752	4229	5106	5778	1976	3379	4745	5933	1934	2711	5927	5121	9341
FBgn0022854	1063	1651	1000	1572	1494	1437	753	993	808	1264	323	772	1086	889	2615
FBgn0023293	1575	2262	1469	1597	1503	2110	597	1670	1038	1994	603	1129	1344	948	3508
FBgn0023294	2744	4740	2183	4214	4200	3606	2071	2816	1925	2832	674	1745	2469	1847	7069
FBgn0023295	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1
FBgn0023296	1256	2960	1476	2889	2922	2217	1630	1750	1996	2742	843	1645	2373	1972	4088
FBgn0023297	10225	16638	6295	11741	17528	10234	7612	13348	8538	12446	2095	5488	7547	5536	25583
FBgn0027807	1253	2803	1598	2008	1685	1614	993	880	969	1967	381	942	1252	1128	2324
FBgn0046148	35	67	20	66	104	38	47	50	29	51	4	36	45	47	81
FBgn0061259	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
FBgn0061260	44	81	52	101	118	67	34	55	53	120	31	44	69	60	189
FBgn0061261	2	4	2	2	2	2	1	1	1	0	1	0	2	0	5
FBgn0061263	1014	1917	697	1639	2100	1125	787	1094	1015	1931	318	669	995	708	2366
FBgn0062298	479	1028	440	804	1061	664	443	441	623	1109	198	412	577	456	1483
FBgn0062741	1968	3914	1874	3706	2857	2674	2136	1497	2542	4327	715	1662	2356	1855	4176
FBgn0064047	2111	3768	1879	3407	3319	2862	1685	2264	2327	3284	725	1717	2539	1779	5096
FBgn0064414	1161	1832	1136	1524	1447	1542	751	969	1158	1587	444	888	1513	1361	2815
FBgn0064416	351	732	270	686	897	461	414	412	560	1050	161	345	521	400	1150
FBgn0064417	0	2	2	2	4	5	1	4	3	1	0	2	2	1	4
FBgn0064419	2251	3556	1784	3064	3667	2879	2037	2262	2063	2990	787	1721	2577	2105	5622
FBgn0064420	2	1	2	2	0	4	1	2	2	0	1	1	0	1	0
FBgn0064421	731	1361	751	1106	769	962	834	775	694	1106	271	605	944	698	2048
FBgn0064422	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0
FBgn0064423	1	0	0	4	0	0	0	1	2	0	0	0	0	0	0
FBgn0064424	791	1695	772	1507	2223	1142	727	896	1163	1822	299	701	1034	680	2269
FBgn0064425	946	1668	895	1653	2645	1300	938	806	726	1312	313	659	948	776	2475
FBgn0064426	968	1707	796	1238	1516	1273	677	1445	917	1192	329	805	1173	791	2886
FBgn0064427	2188	3688	1804	3083	2555	2578	2395	1315	1179	1869	427	1142	1589	1338	3699
FBgn0064431	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FBgn0064435	1481	2609	1354	2264	3013	1969	1375	1498	1984	2747	676	1228	2236	1775	4716
FBgn0064437	2	3	1	4	11	4	2	10	3	10	1	4	5	3	8
FBgn0064438	4	7	2	6	1	5	0	6	0	1	0	1	3	5	4
FBgn0064439	6	49	22	4	55	60	4	26	4	17	5	23	4	1	29
FBgn0064440	11	28	13	35	20	22	20	14	9	24	5	10	17	3	28
FBgn0064441	521	988	474	723	806	616	330	615	569	811	180	378	536	394	1272
FBgn0064442	1	5	0	6	0	2	1	1	3	0	0	3	3	1	4
FBgn0064443	371	706	265	636	527	403	363	341	357	646	99	214	414	260	863
FBgn0064444	1064	2266	778	1975	1840	1278	727	1257	1380	2169	389	823	1162	819	3112
FBgn0064447	965	1641	815	1524	2017	1336	932	1320	911	1318	308	767	1215	833	3021
FBgn0064448	2893	5924	2476	4846	8846	4636	4126	3514	3949	6221	1453	3187	4615	3300	10317
FBgn0067207	1865	3251	1463	2806	3327	2432	2101	1892	1232	1837	535	1196	1940	1575	5249
FBgn0067543	1979	3104	1296	2185	1233	2109	1041	2709	1485	1877	541	1396	1876	1473	5425
FBgn0068730	312	825	236	610	447	402	311	426	766	1345	232	410	475	461	1103
FBgn0068735	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
FBgn0068743	1855	3159	1317	2758	3711	2125	1710	2132	1808	2783	609	1319	2101	1720	5823
FBgn0068744	22	68	29	9	62	99	5	47	14	12	15	33	6	8	57
FBgn0070060	0	2	0	1	1	2	0	1	0	2	0	1	0	2	1
FBgn0070061	1	2	3	2	1	2	0	1	0	2	0	1	1	0	4
FBgn0070062	19	38	22	57	94	60	29	36	29	50	11	37	62	22	77
FBgn0070063	12	37	12	12	40	46	4	25	6	19	9	27	11	12	39
FBgn0070064	1507	2744	1316	2038	2367	1884	1812	1998	1124	1631	486	1114	1674	1371	4198
FBgn0070065	1383	2442	1171	2444	3962	2103	2231	1578	1403	2050	502	1252	1800	1482	4511
FBgn0070066	341	472	385	601	791	571	202	332	620	814	258	403	875	731	1586
FBgn0070068	5	5	4	13	8	7	6	15	2	2	5	4	9	6	17
FBgn0070069	0	1	0	1	2	1	0	0	0	1	0	0	0	0	0
FBgn0070071	1836	3782	1444	2777	2929	2155	1917	1885	2203	3197	676	1484	2112	1589	4849
FBgn0070072	6	9	0	6	6	4	7	4	4	7	2	3	5	2	11
FBgn0070073	27	73	16	38	72	38	27	22	20	30	9	23	23	23	81
FBgn0070075	13	31	11	20	31	21	8	17	10	19	7	27	14	15	21
FBgn0070076	0	0	0	0	0	0	0	0	0	6	0	0	1	0	1
FBgn0070079	7708	13097	7936	9271	10487	10818	6261	7314	8697	14264	3143	6361	9816	7843	19759
FBgn0070080	125	227	158	345	203	241	122	141	139	267	83	139	237	190	378
FBgn0070081	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0070082	0	1	0	0	2	2	0	2	2	1	0	0	0	1	2
FBgn0070083	4	7	6	5	7	6	5	3	3	7	3	4	1	3	11
FBgn0070084	887	1330	677	1169	1207	1127	644	1124	682	872	206	603	871	581	2050
FBgn0070086	0	3	0	1	2	0	1	2	0	1	0	2	1	0	2
FBgn0070087	0	0	0	1	0	0	0	1	1	3	0	2	1	1	0
FBgn0070089	886	1658	639	1436	2027	1051	630	1007	1044	1671	288	730	1103	771	2935
FBgn0070090	4539	8304	3645	7321	6276	6159	3187	4923	4883	9223	1331	3898	4891	3393	12452
