Samples	M_ov_1	M_ov_2	E_ov_1	E_ov_2	M_ov_3	M_ov_4	E_ov_3	E_ov_4
FBgn0011563	0	7	3	0	4	3	6	1
FBgn0012689	2	3	0	1	3	2	2	1
FBgn0012690	27	34	42	91	28	18	56	51
FBgn0012691	12	58	20	10	26	83	29	14
FBgn0012692	11	40	14	4	38	43	23	24
FBgn0012694	67	68	58	123	74	47	72	75
FBgn0012695	0	0	0	0	1	1	1	1
FBgn0012696	46	30	42	58	56	111	55	43
FBgn0012698	7567	10058	8498	11166	9477	6698	9347	9533
FBgn0012699	1	1	0	0	1	0	0	2
FBgn0012701	27667	36532	29310	37143	43453	41346	36913	36705
FBgn0012704	2703	3543	3051	3139	3645	2195	3114	3265
FBgn0012706	158	237	204	210	202	185	197	176
FBgn0012707	3	3	6	12	2	6	7	8
FBgn0012708	0	0	0	0	0	0	0	0
FBgn0012709	0	0	0	0	0	0	0	0
FBgn0012710	0	0	4	3	2	0	4	0
FBgn0012711	0	1	0	3	1	0	0	0
FBgn0012714	986	1089	1073	2779	1161	2279	1942	1188
FBgn0012716	70	391	133	82	295	481	114	158
FBgn0012717	884	804	547	980	1069	967	729	656
FBgn0012723	0	0	0	2	2	0	0	0
FBgn0012725	3640	5133	4964	4904	5855	4749	5897	5750
FBgn0012727	1	0	0	2	2	3	6	1
FBgn0012733	3	3	3	4	6	2	1	1
FBgn0012735	25	39	24	40	48	42	42	42
FBgn0012736	5	16	2	8	13	14	13	8
FBgn0013862	0	3	1	3	0	0	3	0
FBgn0013863	0	0	0	0	0	0	1	0
FBgn0014783	0	4	7	13	5	4	7	7
FBgn0015144	0	2	2	1	0	0	0	1
FBgn0015151	1106	1639	1345	1958	1569	1309	1590	1741
FBgn0016313	2610	3149	2954	3424	2883	1887	2961	2937
FBgn0018538	1	0	1	1	0	0	0	0
FBgn0018547	17	25	19	29	32	30	22	28
FBgn0020474	0	1	0	0	0	0	0	1
FBgn0020475	0	1	0	0	2	0	1	0
FBgn0022538	4098	3886	3111	4889	3951	4743	4813	3300
FBgn0022854	826	1067	808	1383	1195	794	999	968
FBgn0023293	1312	2205	1204	2527	2076	1039	1769	1771
FBgn0023294	1941	2700	1913	3756	2677	1872	2123	2108
FBgn0023295	0	0	1	0	1	0	0	1
FBgn0023296	1666	2107	1813	1826	2489	1911	2122	2055
FBgn0023297	6572	9489	8891	14628	7871	5001	9617	9077
FBgn0027807	975	1634	1347	1638	1943	1664	1092	1064
FBgn0046148	26	11	23	48	14	78	31	30
FBgn0061259	0	0	0	1	2	0	0	0
FBgn0061260	57	67	86	86	67	66	74	76
FBgn0061261	1	3	2	2	0	5	4	1
FBgn0061263	786	1189	887	1497	1195	741	1092	1021
FBgn0062298	416	564	460	617	639	599	689	646
FBgn0062741	1384	2156	1800	2375	2578	2464	2564	2313
FBgn0064047	1862	2704	2117	2694	2719	1905	2556	2357
FBgn0064414	927	1131	884	1343	1228	1218	1185	1125
FBgn0064416	328	531	392	440	581	541	625	608
FBgn0064417	1	4	1	5	3	1	2	3
FBgn0064419	1972	2329	1842	2787	2487	2153	2359	2298
FBgn0064420	0	2	1	2	2	0	0	0
FBgn0064421	662	744	635	983	923	662	829	824
FBgn0064422	0	1	0	0	1	0	0	0
FBgn0064423	0	1	0	1	0	0	0	0
FBgn0064424	753	1131	1071	1076	1281	751	1200	1147
FBgn0064425	727	1005	679	1369	1001	916	922	1047
FBgn0064426	985	1384	1189	1396	1135	712	1088	1274
FBgn0064427	1086	1419	1109	2710	1408	1419	1314	1516
FBgn0064431	0	0	0	0	0	0	1	0
FBgn0064435	1415	1574	1233	1884	1884	1977	2152	1817
FBgn0064437	3	2	7	5	7	7	3	2
FBgn0064438	1	3	6	9	5	0	3	4
FBgn0064439	3	49	19	5	34	48	4	8
FBgn0064440	2	5	5	12	16	9	6	5
FBgn0064441	459	663	544	730	687	378	651	648
FBgn0064442	0	3	6	3	2	1	3	4
FBgn0064443	221	315	279	440	311	226	387	375
FBgn0064444	877	1204	975	1451	1380	928	1408	1293
FBgn0064447	918	1228	995	1239	1233	793	1049	1105
FBgn0064448	3339	4343	3469	3694	5411	3720	4739	4698
FBgn0067207	1327	1696	1261	2621	1702	1507	1569	1681
FBgn0067543	1534	2596	1963	3286	2146	1260	1961	2050
FBgn0068730	310	529	426	363	809	685	726	736
FBgn0068735	1	0	0	1	0	0	0	0
FBgn0068743	1578	1783	1681	2709	2032	1605	2083	2054
FBgn0068744	8	73	17	8	46	66	27	19
FBgn0070060	1	1	1	1	1	2	0	0
FBgn0070061	0	2	3	2	0	4	0	0
FBgn0070062	15	51	28	38	47	35	21	29
FBgn0070063	3	32	15	10	24	31	12	11
FBgn0070064	1323	1695	1481	2302	1639	1192	1456	1539
FBgn0070065	1335	1650	1207	1921	2102	1412	1757	1576
FBgn0070066	455	275	213	423	608	697	703	569
FBgn0070068	2	8	9	13	10	6	1	8
FBgn0070069	0	0	2	0	0	2	0	0
FBgn0070071	1610	2276	2046	2301	2633	1815	2523	2387
FBgn0070072	5	4	2	4	1	1	6	0
FBgn0070073	10	15	23	41	24	26	24	22
FBgn0070075	14	28	20	12	34	25	23	23
FBgn0070076	0	1	0	1	0	0	0	1
FBgn0070079	6893	9509	6882	10595	10025	8348	9456	8212
FBgn0070080	109	85	73	170	150	135	125	95
FBgn0070081	0	0	0	0	0	0	0	0
FBgn0070082	0	1	2	4	1	0	2	1
FBgn0070083	1	12	1	6	7	5	7	3
FBgn0070084	721	1035	781	1238	935	571	824	820
FBgn0070086	0	1	0	3	1	4	3	1
FBgn0070087	0	0	1	0	0	0	1	0
FBgn0070089	940	1098	812	1066	1203	945	1156	1039
