Samples	M_ov_1	M_ov_2	E_ov_1	E_ov_2	EM_ov_1	EM_ov_2	ME_ov_1	ME_ov_2	MM_ov_1	MM_ov_2	EE_ov_1	EE_ov_2	M_ov_3	M_ov_4	E_ov_3	E_ov_4	EM_ov_3	EM_ov_4	ME_ov_3	ME_ov_4	MM_ov_3	MM_ov_4	EE_ov_3
FBgn0011563	0	7	3	0	1	3	0	0	3	6	0	1	4	3	6	1	2	3	0	0	2	0	3
FBgn0012689	2	3	0	1	2	5	2	4	2	2	0	1	3	2	2	1	0	2	0	0	1	2	6
FBgn0012690	27	34	42	91	44	117	24	48	60	44	57	54	28	18	56	51	62	74	10	15	23	24	149
FBgn0012691	12	58	20	10	7	27	25	8	68	103	7	14	26	83	29	14	5	11	28	24	6	16	59
FBgn0012692	11	40	14	4	14	31	16	1	33	67	8	9	38	43	23	24	7	2	14	31	5	8	36
FBgn0012694	67	68	58	123	88	155	59	126	51	96	99	80	74	47	72	75	56	50	16	44	64	46	201
FBgn0012695	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	2	0	2	1	0	2
FBgn0012696	46	30	42	58	46	77	54	98	136	98	56	57	56	111	55	43	69	94	31	43	97	83	213
FBgn0012698	7567	10058	8498	11166	8379	14839	7984	13524	11641	12000	6462	8913	9477	6698	9347	9533	7412	10761	2863	7425	9861	6722	20577
FBgn0012699	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	1	0	1	0	1	0
FBgn0012701	27667	36532	29310	37143	31024	61450	29098	63012	73641	46343	43370	30788	43453	41346	36913	36705	31604	47372	12807	30366	43366	35593	81995
FBgn0012704	2703	3543	3051	3139	2408	4890	1403	3933	5433	2869	3505	3709	3645	2195	3114	3265	2424	2750	805	1866	2698	2170	7445
FBgn0012706	158	237	204	210	141	233	111	122	349	179	133	165	202	185	197	176	91	224	62	174	131	124	364
FBgn0012707	3	3	6	12	10	16	0	5	13	9	11	13	2	6	7	8	5	10	1	1	2	4	18
FBgn0012708	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0012709	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FBgn0012710	0	0	4	3	0	1	0	2	3	1	0	1	2	0	4	0	0	0	0	0	0	0	2
FBgn0012711	0	1	0	3	0	3	1	1	1	1	1	1	1	0	0	0	3	0	0	0	0	1	2
FBgn0012714	986	1089	1073	2779	2444	3368	2089	1770	2708	2883	1103	1118	1161	2279	1942	1188	2013	2726	768	911	2186	2292	3591
FBgn0012716	70	391	133	82	107	401	160	64	479	326	87	171	295	481	114	158	84	92	101	200	50	29	298
FBgn0012717	884	804	547	980	792	1257	874	1526	1481	1472	838	724	1069	967	729	656	614	886	436	751	1407	1129	2216
FBgn0012723	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
FBgn0012725	3640	5133	4964	4904	4040	8212	3707	6229	7735	5464	3964	3964	5855	4749	5897	5750	5358	7263	1611	3737	4998	3933	9830
FBgn0012727	1	0	0	2	1	4	1	1	6	8	0	1	2	3	6	1	3	0	2	0	0	3	3
FBgn0012733	3	3	3	4	0	4	5	4	9	2	4	1	6	2	1	1	1	5	0	4	8	4	5
FBgn0012735	25	39	24	40	19	52	20	55	79	44	23	19	48	42	42	42	25	58	8	38	39	24	75
FBgn0012736	5	16	2	8	14	31	9	12	20	19	6	7	13	14	13	8	7	6	10	12	5	8	53
FBgn0013862	0	3	1	3	0	0	0	5	2	0	2	0	0	0	3	0	0	0	0	0	0	0	2
FBgn0013863	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
FBgn0014783	0	4	7	13	3	11	2	6	1	8	1	8	5	4	7	7	2	1	1	1	7	4	6
FBgn0015144	0	2	2	1	1	0	1	0	1	1	0	0	0	0	0	1	0	3	2	0	0	0	1
FBgn0015151	1106	1639	1345	1958	1456	2473	1008	1733	2546	1862	1371	1619	1569	1309	1590	1741	1291	2253	349	1015	1447	1073	4255
FBgn0016313	2610	3149	2954	3424	2406	4304	1349	3423	5562	2516	2423	4256	2883	1887	2961	2937	2322	3866	848	1620	2936	2221	9775
FBgn0018538	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0018547	17	25	19	29	28	46	32	38	76	48	20	26	32	30	22	28	28	48	16	18	36	20	49
FBgn0020474	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0
FBgn0020475	0	1	0	0	1	2	0	1	1	2	0	1	2	0	1	0	0	0	0	0	3	1	2
FBgn0022538	4098	3886	3111	4889	4103	6464	3752	4229	5106	5778	1976	3379	3951	4743	4813	3300	4745	5933	1934	2711	5927	5121	9341
FBgn0022854	826	1067	808	1383	1063	1651	1000	1572	1494	1437	753	993	1195	794	999	968	808	1264	323	772	1086	889	2615
FBgn0023293	1312	2205	1204	2527	1575	2262	1469	1597	1503	2110	597	1670	2076	1039	1769	1771	1038	1994	603	1129	1344	948	3508
FBgn0023294	1941	2700	1913	3756	2744	4740	2183	4214	4200	3606	2071	2816	2677	1872	2123	2108	1925	2832	674	1745	2469	1847	7069
FBgn0023295	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1
FBgn0023296	1666	2107	1813	1826	1256	2960	1476	2889	2922	2217	1630	1750	2489	1911	2122	2055	1996	2742	843	1645	2373	1972	4088
FBgn0023297	6572	9489	8891	14628	10225	16638	6295	11741	17528	10234	7612	13348	7871	5001	9617	9077	8538	12446	2095	5488	7547	5536	25583
FBgn0027807	975	1634	1347	1638	1253	2803	1598	2008	1685	1614	993	880	1943	1664	1092	1064	969	1967	381	942	1252	1128	2324
FBgn0046148	26	11	23	48	35	67	20	66	104	38	47	50	14	78	31	30	29	51	4	36	45	47	81
FBgn0061259	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1
FBgn0061260	57	67	86	86	44	81	52	101	118	67	34	55	67	66	74	76	53	120	31	44	69	60	189
FBgn0061261	1	3	2	2	2	4	2	2	2	2	1	1	0	5	4	1	1	0	1	0	2	0	5
FBgn0061263	786	1189	887	1497	1014	1917	697	1639	2100	1125	787	1094	1195	741	1092	1021	1015	1931	318	669	995	708	2366
FBgn0062298	416	564	460	617	479	1028	440	804	1061	664	443	441	639	599	689	646	623	1109	198	412	577	456	1483
FBgn0062741	1384	2156	1800	2375	1968	3914	1874	3706	2857	2674	2136	1497	2578	2464	2564	2313	2542	4327	715	1662	2356	1855	4176
FBgn0064047	1862	2704	2117	2694	2111	3768	1879	3407	3319	2862	1685	2264	2719	1905	2556	2357	2327	3284	725	1717	2539	1779	5096
FBgn0064414	927	1131	884	1343	1161	1832	1136	1524	1447	1542	751	969	1228	1218	1185	1125	1158	1587	444	888	1513	1361	2815
FBgn0064416	328	531	392	440	351	732	270	686	897	461	414	412	581	541	625	608	560	1050	161	345	521	400	1150
FBgn0064417	1	4	1	5	0	2	2	2	4	5	1	4	3	1	2	3	3	1	0	2	2	1	4
FBgn0064419	1972	2329	1842	2787	2251	3556	1784	3064	3667	2879	2037	2262	2487	2153	2359	2298	2063	2990	787	1721	2577	2105	5622
FBgn0064420	0	2	1	2	2	1	2	2	0	4	1	2	2	0	0	0	2	0	1	1	0	1	0
FBgn0064421	662	744	635	983	731	1361	751	1106	769	962	834	775	923	662	829	824	694	1106	271	605	944	698	2048
FBgn0064422	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0
FBgn0064423	0	1	0	1	1	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
FBgn0064424	753	1131	1071	1076	791	1695	772	1507	2223	1142	727	896	1281	751	1200	1147	1163	1822	299	701	1034	680	2269
FBgn0064425	727	1005	679	1369	946	1668	895	1653	2645	1300	938	806	1001	916	922	1047	726	1312	313	659	948	776	2475
FBgn0064426	985	1384	1189	1396	968	1707	796	1238	1516	1273	677	1445	1135	712	1088	1274	917	1192	329	805	1173	791	2886
FBgn0064427	1086	1419	1109	2710	2188	3688	1804	3083	2555	2578	2395	1315	1408	1419	1314	1516	1179	1869	427	1142	1589	1338	3699
FBgn0064431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
FBgn0064435	1415	1574	1233	1884	1481	2609	1354	2264	3013	1969	1375	1498	1884	1977	2152	1817	1984	2747	676	1228	2236	1775	4716
FBgn0064437	3	2	7	5	2	3	1	4	11	4	2	10	7	7	3	2	3	10	1	4	5	3	8
FBgn0064438	1	3	6	9	4	7	2	6	1	5	0	6	5	0	3	4	0	1	0	1	3	5	4
FBgn0064439	3	49	19	5	6	49	22	4	55	60	4	26	34	48	4	8	4	17	5	23	4	1	29
FBgn0064440	2	5	5	12	11	28	13	35	20	22	20	14	16	9	6	5	9	24	5	10	17	3	28
FBgn0064441	459	663	544	730	521	988	474	723	806	616	330	615	687	378	651	648	569	811	180	378	536	394	1272
FBgn0064442	0	3	6	3	1	5	0	6	0	2	1	1	2	1	3	4	3	0	0	3	3	1	4
FBgn0064443	221	315	279	440	371	706	265	636	527	403	363	341	311	226	387	375	357	646	99	214	414	260	863
FBgn0064444	877	1204	975	1451	1064	2266	778	1975	1840	1278	727	1257	1380	928	1408	1293	1380	2169	389	823	1162	819	3112
FBgn0064447	918	1228	995	1239	965	1641	815	1524	2017	1336	932	1320	1233	793	1049	1105	911	1318	308	767	1215	833	3021
FBgn0064448	3339	4343	3469	3694	2893	5924	2476	4846	8846	4636	4126	3514	5411	3720	4739	4698	3949	6221	1453	3187	4615	3300	10317
