Samples	EE_ov_1	EE_ov_2	ME_ov_1	ME_ov_2	EE_ov_3	ME_ov_3	ME_ov_4
FBgn0011563	0	1	0	0	3	0	0
FBgn0012689	0	1	2	4	6	0	0
FBgn0012690	57	54	24	48	149	10	15
FBgn0012691	7	14	25	8	59	28	24
FBgn0012692	8	9	16	1	36	14	31
FBgn0012694	99	80	59	126	201	16	44
FBgn0012695	1	0	1	0	2	0	2
FBgn0012696	56	57	54	98	213	31	43
FBgn0012698	6462	8913	7984	13524	20577	2863	7425
FBgn0012699	0	0	0	1	0	0	1
FBgn0012701	43370	30788	29098	63012	81995	12807	30366
FBgn0012704	3505	3709	1403	3933	7445	805	1866
FBgn0012706	133	165	111	122	364	62	174
FBgn0012707	11	13	0	5	18	1	1
FBgn0012708	1	0	0	0	0	0	0
FBgn0012709	0	0	0	0	0	0	0
FBgn0012710	0	1	0	2	2	0	0
FBgn0012711	1	1	1	1	2	0	0
FBgn0012714	1103	1118	2089	1770	3591	768	911
FBgn0012716	87	171	160	64	298	101	200
FBgn0012717	838	724	874	1526	2216	436	751
FBgn0012723	0	0	0	1	0	0	0
FBgn0012725	3964	3964	3707	6229	9830	1611	3737
FBgn0012727	0	1	1	1	3	2	0
FBgn0012733	4	1	5	4	5	0	4
FBgn0012735	23	19	20	55	75	8	38
FBgn0012736	6	7	9	12	53	10	12
FBgn0013862	2	0	0	5	2	0	0
FBgn0013863	0	0	0	0	1	0	0
FBgn0014783	1	8	2	6	6	1	1
FBgn0015144	0	0	1	0	1	2	0
FBgn0015151	1371	1619	1008	1733	4255	349	1015
FBgn0016313	2423	4256	1349	3423	9775	848	1620
FBgn0018538	0	0	0	1	0	0	0
FBgn0018547	20	26	32	38	49	16	18
FBgn0020474	0	1	0	0	0	0	0
FBgn0020475	0	1	0	1	2	0	0
FBgn0022538	1976	3379	3752	4229	9341	1934	2711
FBgn0022854	753	993	1000	1572	2615	323	772
FBgn0023293	597	1670	1469	1597	3508	603	1129
FBgn0023294	2071	2816	2183	4214	7069	674	1745
FBgn0023295	0	0	0	1	1	0	0
FBgn0023296	1630	1750	1476	2889	4088	843	1645
FBgn0023297	7612	13348	6295	11741	25583	2095	5488
FBgn0027807	993	880	1598	2008	2324	381	942
FBgn0046148	47	50	20	66	81	4	36
FBgn0061259	0	0	0	1	1	0	0
FBgn0061260	34	55	52	101	189	31	44
FBgn0061261	1	1	2	2	5	1	0
FBgn0061263	787	1094	697	1639	2366	318	669
FBgn0062298	443	441	440	804	1483	198	412
FBgn0062741	2136	1497	1874	3706	4176	715	1662
FBgn0064047	1685	2264	1879	3407	5096	725	1717
FBgn0064414	751	969	1136	1524	2815	444	888
FBgn0064416	414	412	270	686	1150	161	345
FBgn0064417	1	4	2	2	4	0	2
FBgn0064419	2037	2262	1784	3064	5622	787	1721
FBgn0064420	1	2	2	2	0	1	1
FBgn0064421	834	775	751	1106	2048	271	605
FBgn0064422	0	0	0	0	0	0	0
FBgn0064423	0	1	0	4	0	0	0
FBgn0064424	727	896	772	1507	2269	299	701
FBgn0064425	938	806	895	1653	2475	313	659
FBgn0064426	677	1445	796	1238	2886	329	805
FBgn0064427	2395	1315	1804	3083	3699	427	1142
FBgn0064431	0	0	0	0	0	0	0
FBgn0064435	1375	1498	1354	2264	4716	676	1228
FBgn0064437	2	10	1	4	8	1	4
FBgn0064438	0	6	2	6	4	0	1
FBgn0064439	4	26	22	4	29	5	23
FBgn0064440	20	14	13	35	28	5	10
FBgn0064441	330	615	474	723	1272	180	378
FBgn0064442	1	1	0	6	4	0	3
FBgn0064443	363	341	265	636	863	99	214
FBgn0064444	727	1257	778	1975	3112	389	823
FBgn0064447	932	1320	815	1524	3021	308	767
FBgn0064448	4126	3514	2476	4846	10317	1453	3187
FBgn0067207	2101	1892	1463	2806	5249	535	1196
FBgn0067543	1041	2709	1296	2185	5425	541	1396
FBgn0068730	311	426	236	610	1103	232	410
FBgn0068735	0	0	0	0	2	0	1
FBgn0068743	1710	2132	1317	2758	5823	609	1319
FBgn0068744	5	47	29	9	57	15	33
FBgn0070060	0	1	0	1	1	0	1
FBgn0070061	0	1	3	2	4	0	1
FBgn0070062	29	36	22	57	77	11	37
FBgn0070063	4	25	12	12	39	9	27
FBgn0070064	1812	1998	1316	2038	4198	486	1114
FBgn0070065	2231	1578	1171	2444	4511	502	1252
FBgn0070066	202	332	385	601	1586	258	403
FBgn0070068	6	15	4	13	17	5	4
FBgn0070069	0	0	0	1	0	0	0
FBgn0070071	1917	1885	1444	2777	4849	676	1484
FBgn0070072	7	4	0	6	11	2	3
FBgn0070073	27	22	16	38	81	9	23
FBgn0070075	8	17	11	20	21	7	27
FBgn0070076	0	0	0	0	1	0	0
FBgn0070079	6261	7314	7936	9271	19759	3143	6361
FBgn0070080	122	141	158	345	378	83	139
FBgn0070081	0	0	0	0	0	0	0
FBgn0070082	0	2	0	0	2	0	0
FBgn0070083	5	3	6	5	11	3	4
FBgn0070084	644	1124	677	1169	2050	206	603
FBgn0070086	1	2	0	1	2	0	2
FBgn0070087	0	1	0	1	0	0	2
FBgn0070089	630	1007	639	1436	2935	288	730
FBgn0070090	3187	4923	3645	7321	12452	1331	3898
FBgn0070092	147	224	179	406	564	71	186
FBgn0070093	3	4	4	0	5	2	5
FBgn0070094	0	0	0	0	2	0	0
FBgn0070095	259	341	197	377	849	79	190
FBgn0070096	2488	2399	1738	2882	5818	818	1772
FBgn0070097	326	609	322	698	1369	131	309
FBgn0070098	6820	6038	4615	7807	15908	2112	4543
FBgn0070101	9	14	3	12	19	3	1
FBgn0070102	72	89	76	174	195	31	64
FBgn0070105	622	921	863	1241	2324	301	768
FBgn0070107	331	220	301	447	791	130	268
FBgn0070108	5739	13204	5825	14068	28211	2058	5263
FBgn0070109	2292	1808	1632	3758	4203	647	1566
FBgn0070110	0	1	2	0	3	0	1
FBgn0070111	485	428	398	656	959	111	321
FBgn0070112	1223	1189	1514	2309	3609	675	1169
FBgn0070114	4	3	12	3	27	2	3
FBgn0070115	79	85	69	179	282	47	93
FBgn0070116	3893	4035	3930	6071	10828	1628	3306
FBgn0070117	1	1	0	0	1	1	1
FBgn0070119	522	716	546	778	1950	231	581
FBgn0070120	1244	1554	1370	2581	5036	783	1519
FBgn0070121	4	6	8	1	19	13	21
FBgn0070122	33	17	20	43	59	9	13
FBgn0070123	1344	1724	1444	2253	4088	651	1416
FBgn0070124	480	389	334	577	1006	119	303
FBgn0070125	244	277	244	446	785	100	184
FBgn0070128	0	2	0	3	1	1	0
FBgn0070129	512	584	359	665	1335	96	260
FBgn0070132	381	547	482	793	1255	133	326
FBgn0070133	0	0	0	3	1	0	1
FBgn0070134	817	809	799	1428	1842	298	661
FBgn0070135	2121	2134	1519	2489	5101	640	1585
FBgn0070136	2698	2168	3271	5449	6770	1350	2573
FBgn0070137	0	2	0	0	1	0	0
FBgn0070138	855	919	836	1150	2413	295	656
FBgn0070139	763	937	804	1406	2654	352	658
FBgn0070140	19	19	19	28	78	5	11
FBgn0070141	2	8	3	14	6	0	0
FBgn0070142	2	0	1	1	4	3	4
FBgn0070143	445	372	384	681	1015	139	254
FBgn0070144	1	0	0	1	0	0	2
FBgn0070145	67	40	23	51	153	14	33
FBgn0070146	2031	2307	1813	3593	7181	873	1807
FBgn0070147	174	197	117	231	517	62	96
FBgn0070148	2336	2234	2128	3944	5373	995	1976
FBgn0070149	692	874	725	1293	2618	312	678
FBgn0070151	5750	7519	4748	9080	17285	2015	4080
FBgn0070153	281	399	309	667	817	122	333
FBgn0070154	2222	3014	1998	5387	8979	1180	2617
FBgn0070155	239	814	448	1049	1657	173	458
FBgn0070156	0	2	0	0	0	0	0
FBgn0070157	3	1	7	26	13	3	20
FBgn0070158	242	255	273	482	571	129	240
FBgn0070159	0	1	0	0	0	0	0
FBgn0070160	387	382	362	661	989	105	273
FBgn0070161	0	0	0	1	0	0	0
FBgn0070162	0	1	0	0	0	0	0
FBgn0070164	6	9	8	9	15	3	6
FBgn0070165	0	1	1	2	1	0	0
FBgn0070166	315	300	294	572	981	133	305
FBgn0070167	13	8	2	8	24	1	7
FBgn0070168	0	0	1	0	2	0	1
FBgn0070172	2	8	3	11	12	0	3
FBgn0070173	1	0	0	0	0	0	0
FBgn0070174	499	782	455	690	1678	203	378
FBgn0070176	2481	3090	1669	3691	7596	692	1401
