Samples	EM_ov_1	EM_ov_2	MM_ov_1	MM_ov_2	EM_ov_3	EM_ov_4	MM_ov_3	MM_ov_4
FBgn0011563	1	3	3	6	2	3	2	0
FBgn0012689	2	5	2	2	0	2	1	2
FBgn0012690	44	117	60	44	62	74	23	24
FBgn0012691	7	27	68	103	5	11	6	16
FBgn0012692	14	31	33	67	7	2	5	8
FBgn0012694	88	155	51	96	56	50	64	46
FBgn0012695	0	0	1	0	0	2	1	0
FBgn0012696	46	77	136	98	69	94	97	83
FBgn0012698	8379	14839	11641	12000	7412	10761	9861	6722
FBgn0012699	0	0	0	0	1	1	0	1
FBgn0012701	31024	61450	73641	46343	31604	47372	43366	35593
FBgn0012704	2408	4890	5433	2869	2424	2750	2698	2170
FBgn0012706	141	233	349	179	91	224	131	124
FBgn0012707	10	16	13	9	5	10	2	4
FBgn0012708	0	1	1	0	0	0	0	0
FBgn0012709	0	0	0	1	1	0	0	0
FBgn0012710	0	1	3	1	0	0	0	0
FBgn0012711	0	3	1	1	3	0	0	1
FBgn0012714	2444	3368	2708	2883	2013	2726	2186	2292
FBgn0012716	107	401	479	326	84	92	50	29
FBgn0012717	792	1257	1481	1472	614	886	1407	1129
FBgn0012723	0	0	0	0	0	1	0	0
FBgn0012725	4040	8212	7735	5464	5358	7263	4998	3933
FBgn0012727	1	4	6	8	3	0	0	3
FBgn0012733	0	4	9	2	1	5	8	4
FBgn0012735	19	52	79	44	25	58	39	24
FBgn0012736	14	31	20	19	7	6	5	8
FBgn0013862	0	0	2	0	0	0	0	0
FBgn0013863	0	0	1	1	0	0	0	1
FBgn0014783	3	11	1	8	2	1	7	4
FBgn0015144	1	0	1	1	0	3	0	0
FBgn0015151	1456	2473	2546	1862	1291	2253	1447	1073
FBgn0016313	2406	4304	5562	2516	2322	3866	2936	2221
FBgn0018538	1	1	1	0	0	0	0	0
FBgn0018547	28	46	76	48	28	48	36	20
FBgn0020474	1	1	0	0	2	0	1	0
FBgn0020475	1	2	1	2	0	0	3	1
FBgn0022538	4103	6464	5106	5778	4745	5933	5927	5121
FBgn0022854	1063	1651	1494	1437	808	1264	1086	889
FBgn0023293	1575	2262	1503	2110	1038	1994	1344	948
FBgn0023294	2744	4740	4200	3606	1925	2832	2469	1847
FBgn0023295	1	0	1	0	0	0	0	0
FBgn0023296	1256	2960	2922	2217	1996	2742	2373	1972
FBgn0023297	10225	16638	17528	10234	8538	12446	7547	5536
FBgn0027807	1253	2803	1685	1614	969	1967	1252	1128
FBgn0046148	35	67	104	38	29	51	45	47
FBgn0061259	0	0	1	0	0	0	0	0
FBgn0061260	44	81	118	67	53	120	69	60
FBgn0061261	2	4	2	2	1	0	2	0
FBgn0061263	1014	1917	2100	1125	1015	1931	995	708
FBgn0062298	479	1028	1061	664	623	1109	577	456
FBgn0062741	1968	3914	2857	2674	2542	4327	2356	1855
FBgn0064047	2111	3768	3319	2862	2327	3284	2539	1779
FBgn0064414	1161	1832	1447	1542	1158	1587	1513	1361
FBgn0064416	351	732	897	461	560	1050	521	400
FBgn0064417	0	2	4	5	3	1	2	1
FBgn0064419	2251	3556	3667	2879	2063	2990	2577	2105
FBgn0064420	2	1	0	4	2	0	0	1
FBgn0064421	731	1361	769	962	694	1106	944	698
FBgn0064422	0	0	1	2	0	1	0	0
FBgn0064423	1	0	0	0	2	0	0	0
FBgn0064424	791	1695	2223	1142	1163	1822	1034	680
FBgn0064425	946	1668	2645	1300	726	1312	948	776
FBgn0064426	968	1707	1516	1273	917	1192	1173	791
FBgn0064427	2188	3688	2555	2578	1179	1869	1589	1338
FBgn0064431	0	0	0	0	0	1	0	0
FBgn0064435	1481	2609	3013	1969	1984	2747	2236	1775
FBgn0064437	2	3	11	4	3	10	5	3
FBgn0064438	4	7	1	5	0	1	3	5
FBgn0064439	6	49	55	60	4	17	4	1
FBgn0064440	11	28	20	22	9	24	17	3
FBgn0064441	521	988	806	616	569	811	536	394
FBgn0064442	1	5	0	2	3	0	3	1
FBgn0064443	371	706	527	403	357	646	414	260
FBgn0064444	1064	2266	1840	1278	1380	2169	1162	819
FBgn0064447	965	1641	2017	1336	911	1318	1215	833
FBgn0064448	2893	5924	8846	4636	3949	6221	4615	3300
FBgn0067207	1865	3251	3327	2432	1232	1837	1940	1575
FBgn0067543	1979	3104	1233	2109	1485	1877	1876	1473
FBgn0068730	312	825	447	402	766	1345	475	461
FBgn0068735	0	0	0	0	0	0	0	0
FBgn0068743	1855	3159	3711	2125	1808	2783	2101	1720
FBgn0068744	22	68	62	99	14	12	6	8
