Samples	EM_ov_1	EM_ov_2	EE_ov_1	EE_ov_2	EM_ov_3	EM_ov_4	EE_ov_3
FBgn0011563	1	3	0	1	2	3	3
FBgn0012689	2	5	0	1	0	2	6
FBgn0012690	44	117	57	54	62	74	149
FBgn0012691	7	27	7	14	5	11	59
FBgn0012692	14	31	8	9	7	2	36
FBgn0012694	88	155	99	80	56	50	201
FBgn0012695	0	0	1	0	0	2	2
FBgn0012696	46	77	56	57	69	94	213
FBgn0012698	8379	14839	6462	8913	7412	10761	20577
FBgn0012699	0	0	0	0	1	1	0
FBgn0012701	31024	61450	43370	30788	31604	47372	81995
FBgn0012704	2408	4890	3505	3709	2424	2750	7445
FBgn0012706	141	233	133	165	91	224	364
FBgn0012707	10	16	11	13	5	10	18
FBgn0012708	0	1	1	0	0	0	0
FBgn0012709	0	0	0	0	1	0	0
FBgn0012710	0	1	0	1	0	0	2
FBgn0012711	0	3	1	1	3	0	2
FBgn0012714	2444	3368	1103	1118	2013	2726	3591
FBgn0012716	107	401	87	171	84	92	298
FBgn0012717	792	1257	838	724	614	886	2216
FBgn0012723	0	0	0	0	0	1	0
FBgn0012725	4040	8212	3964	3964	5358	7263	9830
FBgn0012727	1	4	0	1	3	0	3
FBgn0012733	0	4	4	1	1	5	5
FBgn0012735	19	52	23	19	25	58	75
FBgn0012736	14	31	6	7	7	6	53
FBgn0013862	0	0	2	0	0	0	2
FBgn0013863	0	0	0	0	0	0	1
FBgn0014783	3	11	1	8	2	1	6
FBgn0015144	1	0	0	0	0	3	1
FBgn0015151	1456	2473	1371	1619	1291	2253	4255
FBgn0016313	2406	4304	2423	4256	2322	3866	9775
FBgn0018538	1	1	0	0	0	0	0
FBgn0018547	28	46	20	26	28	48	49
FBgn0020474	1	1	0	1	2	0	0
FBgn0020475	1	2	0	1	0	0	2
FBgn0022538	4103	6464	1976	3379	4745	5933	9341
FBgn0022854	1063	1651	753	993	808	1264	2615
FBgn0023293	1575	2262	597	1670	1038	1994	3508
FBgn0023294	2744	4740	2071	2816	1925	2832	7069
FBgn0023295	1	0	0	0	0	0	1
