Samples	ME_ov_1	ME_ov_2	MM_ov_1	MM_ov_2	ME_ov_3	ME_ov_4	MM_ov_3	MM_ov_4
FBgn0011563	0	0	3	6	0	0	2	0
FBgn0012689	2	4	2	2	0	0	1	2
FBgn0012690	24	48	60	44	10	15	23	24
FBgn0012691	25	8	68	103	28	24	6	16
FBgn0012692	16	1	33	67	14	31	5	8
FBgn0012694	59	126	51	96	16	44	64	46
FBgn0012695	1	0	1	0	0	2	1	0
FBgn0012696	54	98	136	98	31	43	97	83
FBgn0012698	7984	13524	11641	12000	2863	7425	9861	6722
FBgn0012699	0	1	0	0	0	1	0	1
FBgn0012701	29098	63012	73641	46343	12807	30366	43366	35593
FBgn0012704	1403	3933	5433	2869	805	1866	2698	2170
FBgn0012706	111	122	349	179	62	174	131	124
FBgn0012707	0	5	13	9	1	1	2	4
FBgn0012708	0	0	1	0	0	0	0	0
FBgn0012709	0	0	0	1	0	0	0	0
FBgn0012710	0	2	3	1	0	0	0	0
FBgn0012711	1	1	1	1	0	0	0	1
FBgn0012714	2089	1770	2708	2883	768	911	2186	2292
FBgn0012716	160	64	479	326	101	200	50	29
FBgn0012717	874	1526	1481	1472	436	751	1407	1129
FBgn0012723	0	1	0	0	0	0	0	0
FBgn0012725	3707	6229	7735	5464	1611	3737	4998	3933
FBgn0012727	1	1	6	8	2	0	0	3
FBgn0012733	5	4	9	2	0	4	8	4
FBgn0012735	20	55	79	44	8	38	39	24
FBgn0012736	9	12	20	19	10	12	5	8
FBgn0013862	0	5	2	0	0	0	0	0
FBgn0013863	0	0	1	1	0	0	0	1
FBgn0014783	2	6	1	8	1	1	7	4
FBgn0015144	1	0	1	1	2	0	0	0
FBgn0015151	1008	1733	2546	1862	349	1015	1447	1073
FBgn0016313	1349	3423	5562	2516	848	1620	2936	2221
FBgn0018538	0	1	1	0	0	0	0	0
FBgn0018547	32	38	76	48	16	18	36	20
FBgn0020474	0	0	0	0	0	0	1	0
FBgn0020475	0	1	1	2	0	0	3	1
FBgn0022538	3752	4229	5106	5778	1934	2711	5927	5121
FBgn0022854	1000	1572	1494	1437	323	772	1086	889
FBgn0023293	1469	1597	1503	2110	603	1129	1344	948
FBgn0023294	2183	4214	4200	3606	674	1745	2469	1847
FBgn0023295	0	1	1	0	0	0	0	0
