Samples	E_ov_1	E_ov_2	EE_ov_1	EE_ov_2	E_ov_3	E_ov_4	EE_ov_3
FBgn0011563	3	0	0	1	6	1	3
FBgn0012689	0	1	0	1	2	1	6
FBgn0012690	42	91	57	54	56	51	149
FBgn0012691	20	10	7	14	29	14	59
FBgn0012692	14	4	8	9	23	24	36
FBgn0012694	58	123	99	80	72	75	201
FBgn0012695	0	0	1	0	1	1	2
FBgn0012696	42	58	56	57	55	43	213
FBgn0012698	8498	11166	6462	8913	9347	9533	20577
FBgn0012699	0	0	0	0	0	2	0
FBgn0012701	29310	37143	43370	30788	36913	36705	81995
FBgn0012704	3051	3139	3505	3709	3114	3265	7445
FBgn0012706	204	210	133	165	197	176	364
FBgn0012707	6	12	11	13	7	8	18
FBgn0012708	0	0	1	0	0	0	0
FBgn0012709	0	0	0	0	0	0	0
FBgn0012710	4	3	0	1	4	0	2
FBgn0012711	0	3	1	1	0	0	2
FBgn0012714	1073	2779	1103	1118	1942	1188	3591
FBgn0012716	133	82	87	171	114	158	298
FBgn0012717	547	980	838	724	729	656	2216
FBgn0012723	0	2	0	0	0	0	0
FBgn0012725	4964	4904	3964	3964	5897	5750	9830
FBgn0012727	0	2	0	1	6	1	3
FBgn0012733	3	4	4	1	1	1	5
FBgn0012735	24	40	23	19	42	42	75
FBgn0012736	2	8	6	7	13	8	53
FBgn0013862	1	3	2	0	3	0	2
FBgn0013863	0	0	0	0	1	0	1
FBgn0014783	7	13	1	8	7	7	6
FBgn0015144	2	1	0	0	0	1	1
FBgn0015151	1345	1958	1371	1619	1590	1741	4255
FBgn0016313	2954	3424	2423	4256	2961	2937	9775
FBgn0018538	1	1	0	0	0	0	0
FBgn0018547	19	29	20	26	22	28	49
FBgn0020474	0	0	0	1	0	1	0
FBgn0020475	0	0	0	1	1	0	2
FBgn0022538	3111	4889	1976	3379	4813	3300	9341
FBgn0022854	808	1383	753	993	999	968	2615
FBgn0023293	1204	2527	597	1670	1769	1771	3508
FBgn0023294	1913	3756	2071	2816	2123	2108	7069
FBgn0023295	1	0	0	0	0	1	1
FBgn0023296	1813	1826	1630	1750	2122	2055	4088
FBgn0023297	8891	14628	7612	13348	9617	9077	25583
FBgn0027807	1347	1638	993	880	1092	1064	2324
FBgn0046148	23	48	47	50	31	30	81
FBgn0061259	0	1	0	0	0	0	1
FBgn0061260	86	86	34	55	74	76	189
FBgn0061261	2	2	1	1	4	1	5
FBgn0061263	887	1497	787	1094	1092	1021	2366
FBgn0062298	460	617	443	441	689	646	1483
FBgn0062741	1800	2375	2136	1497	2564	2313	4176
FBgn0064047	2117	2694	1685	2264	2556	2357	5096
FBgn0064414	884	1343	751	969	1185	1125	2815
FBgn0064416	392	440	414	412	625	608	1150
FBgn0064417	1	5	1	4	2	3	4
FBgn0064419	1842	2787	2037	2262	2359	2298	5622
FBgn0064420	1	2	1	2	0	0	0
FBgn0064421	635	983	834	775	829	824	2048
FBgn0064422	0	0	0	0	0	0	0
FBgn0064423	0	1	0	1	0	0	0
FBgn0064424	1071	1076	727	896	1200	1147	2269
FBgn0064425	679	1369	938	806	922	1047	2475
FBgn0064426	1189	1396	677	1445	1088	1274	2886
FBgn0064427	1109	2710	2395	1315	1314	1516	3699
FBgn0064431	0	0	0	0	1	0	0
FBgn0064435	1233	1884	1375	1498	2152	1817	4716
FBgn0064437	7	5	2	10	3	2	8
FBgn0064438	6	9	0	6	3	4	4
FBgn0064439	19	5	4	26	4	8	29
FBgn0064440	5	12	20	14	6	5	28
FBgn0064441	544	730	330	615	651	648	1272
FBgn0064442	6	3	1	1	3	4	4
FBgn0064443	279	440	363	341	387	375	863
FBgn0064444	975	1451	727	1257	1408	1293	3112
FBgn0064447	995	1239	932	1320	1049	1105	3021
FBgn0064448	3469	3694	4126	3514	4739	4698	10317
FBgn0067207	1261	2621	2101	1892	1569	1681	5249
FBgn0067543	1963	3286	1041	2709	1961	2050	5425
FBgn0068730	426	363	311	426	726	736	1103
FBgn0068735	0	1	0	0	0	0	2
FBgn0068743	1681	2709	1710	2132	2083	2054	5823
FBgn0068744	17	8	5	47	27	19	57
FBgn0070060	1	1	0	1	0	0	1
FBgn0070061	3	2	0	1	0	0	4
FBgn0070062	28	38	29	36	21	29	77
FBgn0070063	15	10	4	25	12	11	39
FBgn0070064	1481	2302	1812	1998	1456	1539	4198
FBgn0070065	1207	1921	2231	1578	1757	1576	4511
FBgn0070066	213	423	202	332	703	569	1586
FBgn0070068	9	13	6	15	1	8	17
FBgn0070069	2	0	0	0	0	0	0
FBgn0070071	2046	2301	1917	1885	2523	2387	4849
FBgn0070072	2	4	7	4	6	0	11
FBgn0070073	23	41	27	22	24	22	81
FBgn0070075	20	12	8	17	23	23	21
FBgn0070076	0	1	0	0	0	1	1
FBgn0070079	6882	10595	6261	7314	9456	8212	19759
FBgn0070080	73	170	122	141	125	95	378
FBgn0070081	0	0	0	0	0	0	0
FBgn0070082	2	4	0	2	2	1	2
FBgn0070083	1	6	5	3	7	3	11
FBgn0070084	781	1238	644	1124	824	820	2050
FBgn0070086	0	3	1	2	3	1	2
FBgn0070087	1	0	0	1	1	0	0
FBgn0070089	812	1066	630	1007	1156	1039	2935
FBgn0070090	5527	5908	3187	4923	5904	5635	12452
FBgn0070092	233	289	147	224	248	236	564
FBgn0070093	6	2	3	4	5	3	5
FBgn0070094	0	1	0	0	1	0	2
