Samples	M_ov_1	M_ov_2	MM_ov_1	MM_ov_2	M_ov_3	M_ov_4	MM_ov_3	MM_ov_4
FBgn0011563	0	7	3	6	4	3	2	0
FBgn0012689	2	3	2	2	3	2	1	2
FBgn0012690	27	34	60	44	28	18	23	24
FBgn0012691	12	58	68	103	26	83	6	16
FBgn0012692	11	40	33	67	38	43	5	8
FBgn0012694	67	68	51	96	74	47	64	46
FBgn0012695	0	0	1	0	1	1	1	0
FBgn0012696	46	30	136	98	56	111	97	83
FBgn0012698	7567	10058	11641	12000	9477	6698	9861	6722
FBgn0012699	1	1	0	0	1	0	0	1
FBgn0012701	27667	36532	73641	46343	43453	41346	43366	35593
FBgn0012704	2703	3543	5433	2869	3645	2195	2698	2170
FBgn0012706	158	237	349	179	202	185	131	124
FBgn0012707	3	3	13	9	2	6	2	4
FBgn0012708	0	0	1	0	0	0	0	0
FBgn0012709	0	0	0	1	0	0	0	0
FBgn0012710	0	0	3	1	2	0	0	0
FBgn0012711	0	1	1	1	1	0	0	1
FBgn0012714	986	1089	2708	2883	1161	2279	2186	2292
FBgn0012716	70	391	479	326	295	481	50	29
FBgn0012717	884	804	1481	1472	1069	967	1407	1129
FBgn0012723	0	0	0	0	2	0	0	0
FBgn0012725	3640	5133	7735	5464	5855	4749	4998	3933
FBgn0012727	1	0	6	8	2	3	0	3
FBgn0012733	3	3	9	2	6	2	8	4
FBgn0012735	25	39	79	44	48	42	39	24
FBgn0012736	5	16	20	19	13	14	5	8
FBgn0013862	0	3	2	0	0	0	0	0
FBgn0013863	0	0	1	1	0	0	0	1
FBgn0014783	0	4	1	8	5	4	7	4
FBgn0015144	0	2	1	1	0	0	0	0
FBgn0015151	1106	1639	2546	1862	1569	1309	1447	1073
FBgn0016313	2610	3149	5562	2516	2883	1887	2936	2221
FBgn0018538	1	0	1	0	0	0	0	0
FBgn0018547	17	25	76	48	32	30	36	20
FBgn0020474	0	1	0	0	0	0	1	0
FBgn0020475	0	1	1	2	2	0	3	1
FBgn0022538	4098	3886	5106	5778	3951	4743	5927	5121
FBgn0022854	826	1067	1494	1437	1195	794	1086	889
FBgn0023293	1312	2205	1503	2110	2076	1039	1344	948
FBgn0023294	1941	2700	4200	3606	2677	1872	2469	1847
