Samples	MM_ov_1	MM_ov_2	EE_ov_1	EE_ov_2	MM_ov_3	MM_ov_4	EE_ov_3
FBgn0011563	3	6	0	1	2	0	3
FBgn0012689	2	2	0	1	1	2	6
FBgn0012690	60	44	57	54	23	24	149
FBgn0012691	68	103	7	14	6	16	59
FBgn0012692	33	67	8	9	5	8	36
FBgn0012694	51	96	99	80	64	46	201
FBgn0012695	1	0	1	0	1	0	2
FBgn0012696	136	98	56	57	97	83	213
FBgn0012698	11641	12000	6462	8913	9861	6722	20577
FBgn0012699	0	0	0	0	0	1	0
FBgn0012701	73641	46343	43370	30788	43366	35593	81995
FBgn0012704	5433	2869	3505	3709	2698	2170	7445
FBgn0012706	349	179	133	165	131	124	364
FBgn0012707	13	9	11	13	2	4	18
FBgn0012708	1	0	1	0	0	0	0
FBgn0012709	0	1	0	0	0	0	0
FBgn0012710	3	1	0	1	0	0	2
FBgn0012711	1	1	1	1	0	1	2
FBgn0012714	2708	2883	1103	1118	2186	2292	3591
FBgn0012716	479	326	87	171	50	29	298
FBgn0012717	1481	1472	838	724	1407	1129	2216
FBgn0012723	0	0	0	0	0	0	0
FBgn0012725	7735	5464	3964	3964	4998	3933	9830
FBgn0012727	6	8	0	1	0	3	3
FBgn0012733	9	2	4	1	8	4	5
FBgn0012735	79	44	23	19	39	24	75
FBgn0012736	20	19	6	7	5	8	53
FBgn0013862	2	0	2	0	0	0	2
FBgn0013863	1	1	0	0	0	1	1
FBgn0014783	1	8	1	8	7	4	6
FBgn0015144	1	1	0	0	0	0	1
FBgn0015151	2546	1862	1371	1619	1447	1073	4255
FBgn0016313	5562	2516	2423	4256	2936	2221	9775
FBgn0018538	1	0	0	0	0	0	0
FBgn0018547	76	48	20	26	36	20	49
FBgn0020474	0	0	0	1	1	0	0
FBgn0020475	1	2	0	1	3	1	2
FBgn0022538	5106	5778	1976	3379	5927	5121	9341
FBgn0022854	1494	1437	753	993	1086	889	2615
FBgn0023293	1503	2110	597	1670	1344	948	3508
FBgn0023294	4200	3606	2071	2816	2469	1847	7069
FBgn0023295	1	0	0	0	0	0	1
FBgn0023296	2922	2217	1630	1750	2373	1972	4088
FBgn0023297	17528	10234	7612	13348	7547	5536	25583
FBgn0027807	1685	1614	993	880	1252	1128	2324
FBgn0046148	104	38	47	50	45	47	81
FBgn0061259	1	0	0	0	0	0	1
FBgn0061260	118	67	34	55	69	60	189
FBgn0061261	2	2	1	1	2	0	5
FBgn0061263	2100	1125	787	1094	995	708	2366
FBgn0062298	1061	664	443	441	577	456	1483
FBgn0062741	2857	2674	2136	1497	2356	1855	4176
FBgn0064047	3319	2862	1685	2264	2539	1779	5096
FBgn0064414	1447	1542	751	969	1513	1361	2815
FBgn0064416	897	461	414	412	521	400	1150
FBgn0064417	4	5	1	4	2	1	4
FBgn0064419	3667	2879	2037	2262	2577	2105	5622
FBgn0064420	0	4	1	2	0	1	0
FBgn0064421	769	962	834	775	944	698	2048
FBgn0064422	1	2	0	0	0	0	0
FBgn0064423	0	0	0	1	0	0	0
FBgn0064424	2223	1142	727	896	1034	680	2269
FBgn0064425	2645	1300	938	806	948	776	2475
FBgn0064426	1516	1273	677	1445	1173	791	2886
FBgn0064427	2555	2578	2395	1315	1589	1338	3699
FBgn0064431	0	0	0	0	0	0	0
FBgn0064435	3013	1969	1375	1498	2236	1775	4716
FBgn0064437	11	4	2	10	5	3	8
FBgn0064438	1	5	0	6	3	5	4
FBgn0064439	55	60	4	26	4	1	29
FBgn0064440	20	22	20	14	17	3	28
FBgn0064441	806	616	330	615	536	394	1272
FBgn0064442	0	2	1	1	3	1	4
FBgn0064443	527	403	363	341	414	260	863
FBgn0064444	1840	1278	727	1257	1162	819	3112
FBgn0064447	2017	1336	932	1320	1215	833	3021
FBgn0064448	8846	4636	4126	3514	4615	3300	10317
FBgn0067207	3327	2432	2101	1892	1940	1575	5249
FBgn0067543	1233	2109	1041	2709	1876	1473	5425
FBgn0068730	447	402	311	426	475	461	1103
FBgn0068735	0	0	0	0	0	0	2
FBgn0068743	3711	2125	1710	2132	2101	1720	5823
FBgn0068744	62	99	5	47	6	8	57
FBgn0070060	1	2	0	1	0	2	1
FBgn0070061	1	2	0	1	1	0	4
FBgn0070062	94	60	29	36	62	22	77
FBgn0070063	40	46	4	25	11	12	39
FBgn0070064	2367	1884	1812	1998	1674	1371	4198
FBgn0070065	3962	2103	2231	1578	1800	1482	4511
FBgn0070066	791	571	202	332	875	731	1586
FBgn0070068	8	7	6	15	9	6	17
FBgn0070069	2	1	0	0	0	0	0
FBgn0070071	2929	2155	1917	1885	2112	1589	4849
FBgn0070072	6	4	7	4	5	2	11
FBgn0070073	72	38	27	22	23	23	81
FBgn0070075	31	21	8	17	14	15	21
FBgn0070076	0	0	0	0	1	0	1
FBgn0070079	10487	10818	6261	7314	9816	7843	19759
FBgn0070080	203	241	122	141	237	190	378
FBgn0070081	0	0	0	0	0	0	0
FBgn0070082	2	2	0	2	0	1	2
FBgn0070083	7	6	5	3	1	3	11
FBgn0070084	1207	1127	644	1124	871	581	2050
FBgn0070086	2	0	1	2	1	0	2
FBgn0070087	0	0	0	1	1	1	0
FBgn0070089	2027	1051	630	1007	1103	771	2935
FBgn0070090	6276	6159	3187	4923	4891	3393	12452
FBgn0070092	518	303	147	224	268	177	564
FBgn0070093	6	20	3	4	0	0	5
FBgn0070094	3	1	0	0	3	2	2
FBgn0070095	661	359	259	341	292	189	849
FBgn0070096	4537	2669	2488	2399	2598	1912	5818
FBgn0070097	964	540	326	609	371	312	1369
FBgn0070098	9608	6707	6820	6038	6945	5446	15908
FBgn0070101	4	11	9	14	8	6	19
FBgn0070102	144	132	72	89	96	74	195
FBgn0070105	1314	1190	622	921	936	759	2324
FBgn0070107	428	410	331	220	404	328	791
FBgn0070108	14297	12292	5739	13204	8945	5502	28211
FBgn0070109	2615	2587	2292	1808	2169	1663	4203
FBgn0070110	5	8	0	1	1	0	3
FBgn0070111	726	611	485	428	432	336	959
FBgn0070112	2537	2151	1223	1189	2095	1755	3609
FBgn0070114	17	21	4	3	2	9	27
FBgn0070115	173	151	79	85	138	112	282
FBgn0070116	6326	6287	3893	4035	5669	4637	10828
FBgn0070117	0	0	1	1	2	0	1
FBgn0070119	1275	782	522	716	833	656	1950
FBgn0070120	3202	2080	1244	1554	2306	1846	5036
FBgn0070121	37	35	4	6	1	5	19
FBgn0070122	28	23	33	17	26	14	59
FBgn0070123	2618	1959	1344	1724	2061	1687	4088
