Samples	M_rt_1	M_rt_2	E_rt_1	E_rt_2	MM_rt_1	MM_rt_2	EE_rt_1	EE_rt_2	M_rt_3	M_rt_4	E_rt_3	E_rt_4	MM_rt_3	MM_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	88	18	264	245	126	228	12	77	84	68	71	36	26	45	39	117
FBgn0012689	5	6	28	19	6	6	7	3	14	6	3	12	2	2	4	17
FBgn0012690	2	0	6	20	1	8	4	5	5	3	7	4	1	0	4	5
FBgn0012691	862	330	2020	2086	1561	2538	100	1028	1174	850	924	463	358	453	509	1447
FBgn0012692	698	182	1561	1428	943	1632	57	568	932	515	738	324	207	326	293	1147
FBgn0012694	32	15	54	67	55	67	31	11	38	20	40	21	7	12	23	69
FBgn0012695	3	7	7	6	11	5	3	9	8	5	4	8	3	0	10	18
FBgn0012696	203	222	314	218	177	164	144	216	222	111	146	131	86	84	166	286
FBgn0012698	21056	10859	21201	24999	19787	18441	12161	10203	14250	9997	10809	9984	4993	6463	11315	28857
FBgn0012699	135	128	231	153	403	304	532	180	164	99	102	139	182	160	338	871
FBgn0012701	7171	7005	12423	21051	7680	7746	6308	16931	8158	5859	10882	5584	5254	3798	9844	15833
FBgn0012704	2020	1258	1934	2675	1847	1692	950	2922	1132	800	1263	889	664	743	1341	2827
FBgn0012706	13273	9870	16535	9443	11275	8012	12043	15337	7447	5309	5446	7754	6345	5533	12134	26636
FBgn0012707	2	0	1	2	1	1	1	3	5	1	5	0	1	3	6	6
FBgn0012708	1	0	2	1	3	3	2	2	2	0	0	2	6	1	6	1
FBgn0012709	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0012710	0	1	0	0	0	2	0	1	0	0	3	1	1	1	0	3
FBgn0012711	0	1	1	4	0	0	0	1	1	0	2	0	0	0	1	0
FBgn0012714	306	433	679	1187	350	411	569	827	538	254	688	285	253	235	544	773
FBgn0012716	2072	510	3164	4913	4911	7471	1098	3610	2764	2387	147	1663	1201	2140	2424	4544
FBgn0012717	157	245	278	530	296	412	261	173	307	339	476	119	100	116	256	239
FBgn0012723	0	1	0	0	0	0	1	4	2	3	2	0	0	0	1	0
FBgn0012725	2794	1779	3823	5396	3773	3545	2315	4865	2678	1936	2327	1638	2048	1627	2960	6901
FBgn0012727	26	1	64	70	44	42	1	15	1	23	22	24	43	6	0	63
FBgn0012733	1	2	6	1	3	8	2	7	0	0	25	2	0	0	0	2
FBgn0012735	383	382	541	445	412	302	245	542	452	291	251	280	180	165	316	860
FBgn0012736	471	369	757	714	578	675	428	538	416	287	280	359	167	254	395	995
FBgn0013862	4	5	7	3	6	6	4	6	8	5	9	4	3	4	7	11
FBgn0013863	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1
FBgn0014783	1	0	3	4	2	2	0	1	0	0	1	2	0	1	2	4
FBgn0015144	4	8	41	25	6	15	40	13	17	6	16	12	2	5	23	31
FBgn0015151	519	331	615	729	523	467	364	548	412	272	438	263	240	240	457	885
