Samples	EM_rt_1	EM_rt_2	ME_rt_1	ME_rt_2	MM_rt_1	MM_rt_2	EE_rt_1	EE_rt_2	EM_rt_3	EM_rt_4	ME_rt_3	ME_rt_4	MM_rt_3	MM_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	81	74	20	35	126	228	12	77	24	9	143	97	26	45	39	117
FBgn0012689	10	8	17	1	6	6	7	3	1	2	5	4	2	2	4	17
FBgn0012690	9	3	6	1	1	8	4	5	19	12	7	6	1	0	4	5
FBgn0012691	797	742	445	327	1561	2538	100	1028	341	175	1924	1089	358	453	509	1447
FBgn0012692	465	466	296	248	943	1632	57	568	273	133	1505	673	207	326	293	1147
FBgn0012694	68	32	31	14	55	67	31	11	88	24	102	32	7	12	23	69
FBgn0012695	7	16	10	6	11	5	3	9	7	5	8	1	3	0	10	18
FBgn0012696	143	177	124	66	177	164	144	216	88	57	221	119	86	84	166	286
FBgn0012698	18536	18082	14460	5928	19787	18441	12161	10203	15857	6288	25122	10743	4993	6463	11315	28857
FBgn0012699	322	642	510	264	403	304	532	180	216	112	365	181	182	160	338	871
FBgn0012701	13085	10540	10884	2807	7680	7746	6308	16931	21166	10666	13833	11170	5254	3798	9844	15833
FBgn0012704	2212	2359	1282	604	1847	1692	950	2922	2349	896	2610	1552	664	743	1341	2827
FBgn0012706	11791	19181	9394	6111	11275	8012	12043	15337	6870	4185	13247	6088	6345	5533	12134	26636
FBgn0012707	4	3	3	0	1	1	1	3	3	2	2	0	1	3	6	6
FBgn0012708	0	2	4	2	3	3	2	2	0	1	1	1	6	1	6	1
FBgn0012709	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
FBgn0012710	0	2	0	0	0	2	0	1	1	1	1	0	1	1	0	3
FBgn0012711	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FBgn0012714	635	773	878	190	350	411	569	827	777	632	584	610	253	235	544	773
FBgn0012716	3967	1175	1459	498	4911	7471	1098	3610	1952	1125	7372	4203	1201	2140	2424	4544
FBgn0012717	321	305	414	70	296	412	261	173	464	243	487	428	100	116	256	239
FBgn0012723	0	1	1	0	0	0	1	4	1	1	0	0	0	0	1	0
