Samples	MM_rt_1	MM_rt_2	EE_rt_1	EE_rt_2	MM_rt_3	MM_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	126	228	12	77	26	45	39	117
FBgn0012689	6	6	7	3	2	2	4	17
FBgn0012690	1	8	4	5	1	0	4	5
FBgn0012691	1561	2538	100	1028	358	453	509	1447
FBgn0012692	943	1632	57	568	207	326	293	1147
FBgn0012694	55	67	31	11	7	12	23	69
FBgn0012695	11	5	3	9	3	0	10	18
FBgn0012696	177	164	144	216	86	84	166	286
FBgn0012698	19787	18441	12161	10203	4993	6463	11315	28857
FBgn0012699	403	304	532	180	182	160	338	871
FBgn0012701	7680	7746	6308	16931	5254	3798	9844	15833
FBgn0012704	1847	1692	950	2922	664	743	1341	2827
FBgn0012706	11275	8012	12043	15337	6345	5533	12134	26636
FBgn0012707	1	1	1	3	1	3	6	6
FBgn0012708	3	3	2	2	6	1	6	1
FBgn0012709	0	0	0	0	0	0	1	0
FBgn0012710	0	2	0	1	1	1	0	3
FBgn0012711	0	0	0	1	0	0	1	0
FBgn0012714	350	411	569	827	253	235	544	773
FBgn0012716	4911	7471	1098	3610	1201	2140	2424	4544
FBgn0012717	296	412	261	173	100	116	256	239
FBgn0012723	0	0	1	4	0	0	1	0
FBgn0012725	3773	3545	2315	4865	2048	1627	2960	6901
FBgn0012727	44	42	1	15	43	6	0	63
FBgn0012733	3	8	2	7	0	0	0	2
FBgn0012735	412	302	245	542	180	165	316	860
FBgn0012736	578	675	428	538	167	254	395	995
FBgn0013862	6	6	4	6	3	4	7	11
FBgn0013863	0	0	0	2	0	0	1	1
FBgn0014783	2	2	0	1	0	1	2	4
FBgn0015144	6	15	40	13	2	5	23	31
FBgn0015151	523	467	364	548	240	240	457	885
FBgn0016313	2816	2396	1248	2851	1071	1334	2252	5246
FBgn0018538	1	1	3	0	1	0	1	2
FBgn0018547	230	218	209	316	132	125	242	617
FBgn0020474	1	0	0	0	1	0	1	2
FBgn0020475	38	35	41	76	38	37	45	89
FBgn0022538	1428	1407	1232	2165	877	756	1641	2844
FBgn0022854	324	319	321	314	142	125	274	524
FBgn0023293	3538	3675	2571	1626	1083	1244	2433	4797
FBgn0023294	3690	3331	2063	2682	1295	1221	2106	5236
FBgn0023295	1	2	1	0	1	1	1	3
FBgn0023296	5050	4326	3279	4257	2041	2105	3896	9425
FBgn0023297	4346	4162	3956	7385	1834	1913	4458	9827
FBgn0027807	10	119	139	284	105	65	250	111
FBgn0046148	4	14	0	3	2	22	1	5
FBgn0061259	1	0	0	0	0	0	0	1
FBgn0061260	630	595	506	623	377	338	650	1392
FBgn0061261	0	0	1	1	0	0	0	0
FBgn0061263	3	37	46	223	47	34	127	60
FBgn0062298	449	372	448	822	295	230	538	1073
FBgn0062741	95	201	285	707	242	166	503	420
FBgn0064047	707	692	463	899	372	327	638	1231
FBgn0064414	26	76	121	263	74	47	204	186
FBgn0064416	362	246	235	654	213	149	344	786
FBgn0064417	90	85	63	76	34	27	59	137
FBgn0064419	1450	1274	1210	1540	711	673	1507	2998
FBgn0064420	0	0	0	0	1	1	0	1
FBgn0064421	343	345	340	448	181	137	361	657
FBgn0064422	0	2	1	4	0	0	1	1
FBgn0064423	1	0	0	1	0	0	0	1
FBgn0064424	15	51	57	211	51	38	195	64
FBgn0064425	101	149	100	305	70	71	141	205
FBgn0064426	141	139	158	212	101	84	198	278
