Samples	M_rt_1	M_rt_2	E_rt_1	E_rt_2	M_rt_3	M_rt_4	E_rt_3	E_rt_4
FBgn0011563	88	18	264	245	84	68	71	36
FBgn0012689	5	6	28	19	14	6	3	12
FBgn0012690	2	0	6	20	5	3	7	4
FBgn0012691	862	330	2020	2086	1174	850	924	463
FBgn0012692	698	182	1561	1428	932	515	738	324
FBgn0012694	32	15	54	67	38	20	40	21
FBgn0012695	3	7	7	6	8	5	4	8
FBgn0012696	203	222	314	218	222	111	146	131
FBgn0012698	21056	10859	21201	24999	14250	9997	10809	9984
FBgn0012699	135	128	231	153	164	99	102	139
FBgn0012701	7171	7005	12423	21051	8158	5859	10882	5584
FBgn0012704	2020	1258	1934	2675	1132	800	1263	889
FBgn0012706	13273	9870	16535	9443	7447	5309	5446	7754
FBgn0012707	2	0	1	2	5	1	5	0
FBgn0012708	1	0	2	1	2	0	0	2
FBgn0012709	0	0	0	1	0	0	0	0
FBgn0012710	0	1	0	0	0	0	3	1
FBgn0012711	0	1	1	4	1	0	2	0
FBgn0012714	306	433	679	1187	538	254	688	285
FBgn0012716	2072	510	3164	4913	2764	2387	147	1663
FBgn0012717	157	245	278	530	307	339	476	119
FBgn0012723	0	1	0	0	2	3	2	0
FBgn0012725	2794	1779	3823	5396	2678	1936	2327	1638
FBgn0012727	26	1	64	70	1	23	22	24
FBgn0012733	1	2	6	1	0	0	25	2
FBgn0012735	383	382	541	445	452	291	251	280
FBgn0012736	471	369	757	714	416	287	280	359
FBgn0013862	4	5	7	3	8	5	9	4
FBgn0013863	0	0	0	1	0	0	1	0
FBgn0014783	1	0	3	4	0	0	1	2
FBgn0015144	4	8	41	25	17	6	16	12
FBgn0015151	519	331	615	729	412	272	438	263
FBgn0016313	3107	1525	2801	3692	1368	1167	1132	1129
FBgn0018538	0	1	1	1	0	3	2	5
FBgn0018547	179	193	330	212	179	148	150	141
FBgn0020474	0	1	1	0	0	1	3	0
FBgn0020475	101	108	135	49	92	77	62	67
FBgn0022538	1234	1101	1829	2569	1412	786	1483	844
FBgn0022854	250	206	406	547	265	128	271	157
FBgn0023293	3745	2143	5220	5203	2338	1559	1801	2779
FBgn0023294	2871	2341	4067	4593	2694	2137	1966	1632
FBgn0023295	0	1	2	3	1	0	2	1
FBgn0023296	5529	4355	6490	6317	4585	3136	3288	3258
FBgn0023297	4469	2828	6994	7873	3242	2276	3281	2756
FBgn0027807	3	14	101	617	131	39	379	60
FBgn0046148	0	0	1	12	0	2	3	3
FBgn0061259	0	0	0	0	0	1	0	0
FBgn0061260	673	501	719	832	431	341	351	337
FBgn0061261	0	1	0	0	0	0	0	1
