Samples	M_rt_1	M_rt_2	E_rt_1	E_rt_2	EM_rt_1	EM_rt_2	ME_rt_1	ME_rt_2	MM_rt_1	MM_rt_2	EE_rt_1	EE_rt_2	M_rt_3	M_rt_4	E_rt_3	E_rt_4	EM_rt_3	EM_rt_4	ME_rt_3	ME_rt_4	MM_rt_3	MM_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	88	18	264	245	81	74	20	35	126	228	12	77	84	68	71	36	24	9	143	97	26	45	39	117
FBgn0012689	5	6	28	19	10	8	17	1	6	6	7	3	14	6	3	12	1	2	5	4	2	2	4	17
FBgn0012690	2	0	6	20	9	3	6	1	1	8	4	5	5	3	7	4	19	12	7	6	1	0	4	5
FBgn0012691	862	330	2020	2086	797	742	445	327	1561	2538	100	1028	1174	850	924	463	341	175	1924	1089	358	453	509	1447
FBgn0012692	698	182	1561	1428	465	466	296	248	943	1632	57	568	932	515	738	324	273	133	1505	673	207	326	293	1147
FBgn0012694	32	15	54	67	68	32	31	14	55	67	31	11	38	20	40	21	88	24	102	32	7	12	23	69
FBgn0012695	3	7	7	6	7	16	10	6	11	5	3	9	8	5	4	8	7	5	8	1	3	0	10	18
FBgn0012696	203	222	314	218	143	177	124	66	177	164	144	216	222	111	146	131	88	57	221	119	86	84	166	286
FBgn0012698	21056	10859	21201	24999	18536	18082	14460	5928	19787	18441	12161	10203	14250	9997	10809	9984	15857	6288	25122	10743	4993	6463	11315	28857
FBgn0012699	135	128	231	153	322	642	510	264	403	304	532	180	164	99	102	139	216	112	365	181	182	160	338	871
FBgn0012701	7171	7005	12423	21051	13085	10540	10884	2807	7680	7746	6308	16931	8158	5859	10882	5584	21166	10666	13833	11170	5254	3798	9844	15833
FBgn0012704	2020	1258	1934	2675	2212	2359	1282	604	1847	1692	950	2922	1132	800	1263	889	2349	896	2610	1552	664	743	1341	2827
FBgn0012706	13273	9870	16535	9443	11791	19181	9394	6111	11275	8012	12043	15337	7447	5309	5446	7754	6870	4185	13247	6088	6345	5533	12134	26636
FBgn0012707	2	0	1	2	4	3	3	0	1	1	1	3	5	1	5	0	3	2	2	0	1	3	6	6
FBgn0012708	1	0	2	1	0	2	4	2	3	3	2	2	2	0	0	2	0	1	1	1	6	1	6	1
FBgn0012709	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
FBgn0012710	0	1	0	0	0	2	0	0	0	2	0	1	0	0	3	1	1	1	1	0	1	1	0	3
FBgn0012711	0	1	1	4	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0
FBgn0012714	306	433	679	1187	635	773	878	190	350	411	569	827	538	254	688	285	777	632	584	610	253	235	544	773
FBgn0012716	2072	510	3164	4913	3967	1175	1459	498	4911	7471	1098	3610	2764	2387	147	1663	1952	1125	7372	4203	1201	2140	2424	4544
FBgn0012717	157	245	278	530	321	305	414	70	296	412	261	173	307	339	476	119	464	243	487	428	100	116	256	239
FBgn0012723	0	1	0	0	0	1	1	0	0	0	1	4	2	3	2	0	1	1	0	0	0	0	1	0
FBgn0012725	2794	1779	3823	5396	4494	3610	3067	1164	3773	3545	2315	4865	2678	1936	2327	1638	4394	2168	5580	3370	2048	1627	2960	6901
FBgn0012727	26	1	64	70	15	0	17	7	44	42	1	15	1	23	22	24	28	10	31	14	43	6	0	63
FBgn0012733	1	2	6	1	1	0	1	1	3	8	2	7	0	0	25	2	1	0	1	2	0	0	0	2
FBgn0012735	383	382	541	445	352	422	163	101	412	302	245	542	452	291	251	280	158	89	414	213	180	165	316	860
FBgn0012736	471	369	757	714	793	824	394	170	578	675	428	538	416	287	280	359	352	239	768	293	167	254	395	995
FBgn0013862	4	5	7	3	1	5	2	0	6	6	4	6	8	5	9	4	5	0	11	4	3	4	7	11
FBgn0013863	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	1
FBgn0014783	1	0	3	4	4	5	1	0	2	2	0	1	0	0	1	2	0	10	3	3	0	1	2	4
FBgn0015144	4	8	41	25	21	27	7	2	6	15	40	13	17	6	16	12	17	7	27	10	2	5	23	31
FBgn0015151	519	331	615	729	542	671	515	161	523	467	364	548	412	272	438	263	922	370	801	460	240	240	457	885
FBgn0016313	3107	1525	2801	3692	2832	2827	1759	850	2816	2396	1248	2851	1368	1167	1132	1129	2809	1136	4374	2344	1071	1334	2252	5246
FBgn0018538	0	1	1	1	4	7	1	1	1	1	3	0	0	3	2	5	1	1	1	0	1	0	1	2
FBgn0018547	179	193	330	212	224	275	167	84	230	218	209	316	179	148	150	141	147	89	300	167	132	125	242	617
FBgn0020474	0	1	1	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	2	0	1	0	1	2
FBgn0020475	101	108	135	49	28	76	45	29	38	35	41	76	92	77	62	67	19	16	52	24	38	37	45	89
FBgn0022538	1234	1101	1829	2569	1675	1938	1986	614	1428	1407	1232	2165	1412	786	1483	844	2925	1560	2220	2204	877	756	1641	2844
FBgn0022854	250	206	406	547	414	454	518	120	324	319	321	314	265	128	271	157	771	310	511	384	142	125	274	524
FBgn0023293	3745	2143	5220	5203	4644	4305	5801	1674	3538	3675	2571	1626	2338	1559	1801	2779	3159	1013	4298	1738	1083	1244	2433	4797
FBgn0023294	2871	2341	4067	4593	3575	3554	2519	1079	3690	3331	2063	2682	2694	2137	1966	1632	2621	1077	3934	2073	1295	1221	2106	5236
FBgn0023295	0	1	2	3	2	1	1	1	1	2	1	0	1	0	2	1	1	0	1	0	1	1	1	3
FBgn0023296	5529	4355	6490	6317	5084	5656	4075	2051	5050	4326	3279	4257	4585	3136	3288	3258	3255	1663	6305	3274	2041	2105	3896	9425
FBgn0023297	4469	2828	6994	7873	6716	6749	4152	1880	4346	4162	3956	7385	3242	2276	3281	2756	5433	2203	6250	4282	1834	1913	4458	9827
FBgn0027807	3	14	101	617	154	161	452	18	10	119	139	284	131	39	379	60	777	427	218	437	105	65	250	111
FBgn0046148	0	0	1	12	2	5	4	0	4	14	0	3	0	2	3	3	4	11	2	5	2	22	1	5
FBgn0061259	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
FBgn0061260	673	501	719	832	744	849	549	326	630	595	506	623	431	341	351	337	389	251	850	383	377	338	650	1392
FBgn0061261	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0
FBgn0061263	6	4	40	173	67	70	160	2	3	37	46	223	35	14	98	14	542	183	83	298	47	34	127	60
FBgn0062298	369	491	821	683	566	664	432	165	449	372	448	822	580	428	487	320	465	269	531	359	295	230	538	1073
FBgn0062741	130	132	326	855	372	364	615	48	95	201	285	707	264	120	494	148	1029	578	374	840	242	166	503	420
FBgn0064047	560	365	721	1271	817	778	796	225	707	692	463	899	546	377	592	358	1727	633	1200	953	372	327	638	1231
FBgn0064414	36	42	154	402	165	161	375	20	26	76	121	263	116	43	235	101	667	279	188	347	74	47	204	186
FBgn0064416	298	233	374	451	313	359	226	98	362	246	235	654	244	203	239	160	320	193	446	271	213	149	344	786
FBgn0064417	57	85	90	59	87	88	51	27	90	85	63	76	72	62	43	28	33	18	122	49	34	27	59	137
FBgn0064419	1225	1128	1808	1916	1614	1990	1534	633	1450	1274	1210	1540	1174	895	1077	838	1991	983	1950	1441	711	673	1507	2998
FBgn0064420	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1
FBgn0064421	344	280	528	526	387	480	549	148	343	345	340	448	262	192	276	209	678	246	457	372	181	137	361	657
