Samples	ME_rt_1	ME_rt_2	EE_rt_1	EE_rt_2	ME_rt_3	ME_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	20	35	12	77	143	97	39	117
FBgn0012689	17	1	7	3	5	4	4	17
FBgn0012690	6	1	4	5	7	6	4	5
FBgn0012691	445	327	100	1028	1924	1089	509	1447
FBgn0012692	296	248	57	568	1505	673	293	1147
FBgn0012694	31	14	31	11	102	32	23	69
FBgn0012695	10	6	3	9	8	1	10	18
FBgn0012696	124	66	144	216	221	119	166	286
FBgn0012698	14460	5928	12161	10203	25122	10743	11315	28857
FBgn0012699	510	264	532	180	365	181	338	871
FBgn0012701	10884	2807	6308	16931	13833	11170	9844	15833
FBgn0012704	1282	604	950	2922	2610	1552	1341	2827
FBgn0012706	9394	6111	12043	15337	13247	6088	12134	26636
FBgn0012707	3	0	1	3	2	0	6	6
FBgn0012708	4	2	2	2	1	1	6	1
FBgn0012709	0	1	0	0	0	0	1	0
FBgn0012710	0	0	0	1	1	0	0	3
FBgn0012711	0	0	0	1	0	0	1	0
FBgn0012714	878	190	569	827	584	610	544	773
FBgn0012716	1459	498	1098	3610	7372	4203	2424	4544
FBgn0012717	414	70	261	173	487	428	256	239
FBgn0012723	1	0	1	4	0	0	1	0
FBgn0012725	3067	1164	2315	4865	5580	3370	2960	6901
FBgn0012727	17	7	1	15	31	14	0	63
FBgn0012733	1	1	2	7	1	2	0	2
FBgn0012735	163	101	245	542	414	213	316	860
FBgn0012736	394	170	428	538	768	293	395	995
FBgn0013862	2	0	4	6	11	4	7	11
FBgn0013863	1	0	0	2	0	0	1	1
FBgn0014783	1	0	0	1	3	3	2	4
FBgn0015144	7	2	40	13	27	10	23	31
FBgn0015151	515	161	364	548	801	460	457	885
FBgn0016313	1759	850	1248	2851	4374	2344	2252	5246
FBgn0018538	1	1	3	0	1	0	1	2
FBgn0018547	167	84	209	316	300	167	242	617
FBgn0020474	0	0	0	0	2	0	1	2
FBgn0020475	45	29	41	76	52	24	45	89
FBgn0022538	1986	614	1232	2165	2220	2204	1641	2844
FBgn0022854	518	120	321	314	511	384	274	524
FBgn0023293	5801	1674	2571	1626	4298	1738	2433	4797
FBgn0023294	2519	1079	2063	2682	3934	2073	2106	5236
FBgn0023295	1	1	1	0	1	0	1	3
FBgn0023296	4075	2051	3279	4257	6305	3274	3896	9425
FBgn0023297	4152	1880	3956	7385	6250	4282	4458	9827
FBgn0027807	452	18	139	284	218	437	250	111
FBgn0046148	4	0	0	3	2	5	1	5
FBgn0061259	0	0	0	0	0	1	0	1
FBgn0061260	549	326	506	623	850	383	650	1392
FBgn0061261	0	1	1	1	2	0	0	0
FBgn0061263	160	2	46	223	83	298	127	60
FBgn0062298	432	165	448	822	531	359	538	1073
FBgn0062741	615	48	285	707	374	840	503	420
FBgn0064047	796	225	463	899	1200	953	638	1231
FBgn0064414	375	20	121	263	188	347	204	186
FBgn0064416	226	98	235	654	446	271	344	786
FBgn0064417	51	27	63	76	122	49	59	137
FBgn0064419	1534	633	1210	1540	1950	1441	1507	2998
FBgn0064420	0	0	0	0	0	0	0	1
FBgn0064421	549	148	340	448	457	372	361	657
FBgn0064422	0	1	1	4	1	0	1	1
FBgn0064423	0	0	0	1	1	2	0	1
FBgn0064424	179	17	57	211	171	311	195	64
FBgn0064425	269	45	100	305	181	229	141	205
FBgn0064426	313	66	158	212	279	328	198	278
FBgn0064427	1606	491	1183	871	1661	818	885	2139
FBgn0064431	0	0	1	2	0	1	0	0
FBgn0064435	731	204	525	1387	1100	1029	777	1431
FBgn0064437	382	194	408	336	379	178	338	971
FBgn0064438	1	1	1	3	2	1	1	7
FBgn0064439	355	58	193	517	952	410	162	501
FBgn0064440	16	11	47	35	33	17	28	86
FBgn0064441	351	145	289	235	342	322	277	509
FBgn0064442	1	1	0	0	1	1	0	1
FBgn0064443	66	17	59	88	108	100	141	118
FBgn0064444	652	395	585	734	910	741	892	1732
FBgn0064447	726	244	650	942	1394	665	690	1559
FBgn0064448	1776	865	1562	3813	3368	2332	2048	4730
FBgn0067207	749	145	390	611	626	460	372	700
FBgn0067543	371	23	95	80	245	382	129	108
FBgn0068730	322	231	393	1128	645	436	696	1742
FBgn0068735	1	0	1	0	4	3	1	2
FBgn0068743	1542	676	1201	2211	2314	1423	1787	3794
FBgn0068744	511	115	311	344	1570	612	498	780
FBgn0070060	91	59	105	87	194	86	89	289
FBgn0070061	46	16	59	134	199	89	74	198
