Samples	EM_rt_1	EM_rt_2	MM_rt_1	MM_rt_2	EM_rt_3	EM_rt_4	MM_rt_3	MM_rt_4
FBgn0011563	81	74	126	228	24	9	26	45
FBgn0012689	10	8	6	6	1	2	2	2
FBgn0012690	9	3	1	8	19	12	1	0
FBgn0012691	797	742	1561	2538	341	175	358	453
FBgn0012692	465	466	943	1632	273	133	207	326
FBgn0012694	68	32	55	67	88	24	7	12
FBgn0012695	7	16	11	5	7	5	3	0
FBgn0012696	143	177	177	164	88	57	86	84
FBgn0012698	18536	18082	19787	18441	15857	6288	4993	6463
FBgn0012699	322	642	403	304	216	112	182	160
FBgn0012701	13085	10540	7680	7746	21166	10666	5254	3798
FBgn0012704	2212	2359	1847	1692	2349	896	664	743
FBgn0012706	11791	19181	11275	8012	6870	4185	6345	5533
FBgn0012707	4	3	1	1	3	2	1	3
FBgn0012708	0	2	3	3	0	1	6	1
FBgn0012709	0	0	0	0	1	0	0	0
FBgn0012710	0	2	0	2	1	1	1	1
FBgn0012711	1	1	0	0	0	0	0	0
FBgn0012714	635	773	350	411	777	632	253	235
FBgn0012716	3967	1175	4911	7471	1952	1125	1201	2140
FBgn0012717	321	305	296	412	464	243	100	116
FBgn0012723	0	1	0	0	1	1	0	0
FBgn0012725	4494	3610	3773	3545	4394	2168	2048	1627
FBgn0012727	15	0	44	42	28	10	43	6
FBgn0012733	1	0	3	8	1	0	0	0
FBgn0012735	352	422	412	302	158	89	180	165
FBgn0012736	793	824	578	675	352	239	167	254
FBgn0013862	1	5	6	6	5	0	3	4
FBgn0013863	0	0	0	0	1	0	0	0
FBgn0014783	4	5	2	2	0	10	0	1
FBgn0015144	21	27	6	15	17	7	2	5
FBgn0015151	542	671	523	467	922	370	240	240
FBgn0016313	2832	2827	2816	2396	2809	1136	1071	1334
FBgn0018538	4	7	1	1	1	1	1	0
FBgn0018547	224	275	230	218	147	89	132	125
FBgn0020474	0	1	1	0	0	0	1	0
FBgn0020475	28	76	38	35	19	16	38	37
FBgn0022538	1675	1938	1428	1407	2925	1560	877	756
FBgn0022854	414	454	324	319	771	310	142	125
FBgn0023293	4644	4305	3538	3675	3159	1013	1083	1244
FBgn0023294	3575	3554	3690	3331	2621	1077	1295	1221
FBgn0023295	2	1	1	2	1	0	1	1
FBgn0023296	5084	5656	5050	4326	3255	1663	2041	2105
FBgn0023297	6716	6749	4346	4162	5433	2203	1834	1913
FBgn0027807	154	161	10	119	777	427	105	65
FBgn0046148	2	5	4	14	4	11	2	22
FBgn0061259	0	1	1	0	0	0	0	0
FBgn0061260	744	849	630	595	389	251	377	338
FBgn0061261	0	1	0	0	0	1	0	0
FBgn0061263	67	70	3	37	542	183	47	34
FBgn0062298	566	664	449	372	465	269	295	230
FBgn0062741	372	364	95	201	1029	578	242	166
FBgn0064047	817	778	707	692	1727	633	372	327
FBgn0064414	165	161	26	76	667	279	74	47
FBgn0064416	313	359	362	246	320	193	213	149
FBgn0064417	87	88	90	85	33	18	34	27
FBgn0064419	1614	1990	1450	1274	1991	983	711	673
FBgn0064420	0	1	0	0	1	0	1	1
FBgn0064421	387	480	343	345	678	246	181	137
FBgn0064422	2	2	0	2	3	0	0	0
FBgn0064423	0	1	1	0	0	1	0	0
FBgn0064424	62	65	15	51	772	304	51	38
FBgn0064425	172	193	101	149	350	168	70	71
FBgn0064426	218	209	141	139	887	288	101	84
FBgn0064427	1672	2065	1437	1497	1256	539	534	535
FBgn0064431	0	1	0	0	0	1	0	0
FBgn0064435	836	782	718	783	1228	686	408	347
FBgn0064437	453	750	318	245	227	164	198	160
FBgn0064438	0	4	4	8	4	1	2	5
FBgn0064439	358	133	622	1671	125	55	117	419
FBgn0064440	44	78	25	34	24	20	4	10
FBgn0064441	316	379	238	209	506	214	151	134
FBgn0064442	0	0	1	0	0	4	0	1
FBgn0064443	95	98	60	79	274	105	48	35
FBgn0064444	670	847	763	600	1035	425	446	372
FBgn0064447	1029	1106	893	930	1208	435	313	334
FBgn0064448	2184	2489	2150	1774	3626	1541	1157	1030
FBgn0067207	577	605	432	414	957	355	170	169
FBgn0067543	155	155	26	74	1319	353	57	48
FBgn0068730	452	527	399	311	464	299	417	256
FBgn0068735	2	0	2	1	0	0	0	0
FBgn0068743	1769	2251	1839	1420	2000	947	873	907
