Samples	EM_rt_1	EM_rt_2	EE_rt_1	EE_rt_2	EM_rt_3	EM_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	81	74	12	77	24	9	39	117
FBgn0012689	10	8	7	3	1	2	4	17
FBgn0012690	9	3	4	5	19	12	4	5
FBgn0012691	797	742	100	1028	341	175	509	1447
FBgn0012692	465	466	57	568	273	133	293	1147
FBgn0012694	68	32	31	11	88	24	23	69
FBgn0012695	7	16	3	9	7	5	10	18
FBgn0012696	143	177	144	216	88	57	166	286
FBgn0012698	18536	18082	12161	10203	15857	6288	11315	28857
FBgn0012699	322	642	532	180	216	112	338	871
FBgn0012701	13085	10540	6308	16931	21166	10666	9844	15833
FBgn0012704	2212	2359	950	2922	2349	896	1341	2827
FBgn0012706	11791	19181	12043	15337	6870	4185	12134	26636
FBgn0012707	4	3	1	3	3	2	6	6
FBgn0012708	0	2	2	2	0	1	6	1
FBgn0012709	0	0	0	0	1	0	1	0
FBgn0012710	0	2	0	1	1	1	0	3
FBgn0012711	1	1	0	1	0	0	1	0
FBgn0012714	635	773	569	827	777	632	544	773
FBgn0012716	3967	1175	1098	3610	1952	1125	2424	4544
FBgn0012717	321	305	261	173	464	243	256	239
FBgn0012723	0	1	1	4	1	1	1	0
FBgn0012725	4494	3610	2315	4865	4394	2168	2960	6901
FBgn0012727	15	0	1	15	28	10	0	63
FBgn0012733	1	0	2	7	1	0	0	2
FBgn0012735	352	422	245	542	158	89	316	860
FBgn0012736	793	824	428	538	352	239	395	995
FBgn0013862	1	5	4	6	5	0	7	11
FBgn0013863	0	0	0	2	1	0	1	1
FBgn0014783	4	5	0	1	0	10	2	4
FBgn0015144	21	27	40	13	17	7	23	31
FBgn0015151	542	671	364	548	922	370	457	885
FBgn0016313	2832	2827	1248	2851	2809	1136	2252	5246
FBgn0018538	4	7	3	0	1	1	1	2
FBgn0018547	224	275	209	316	147	89	242	617
FBgn0020474	0	1	0	0	0	0	1	2
FBgn0020475	28	76	41	76	19	16	45	89
FBgn0022538	1675	1938	1232	2165	2925	1560	1641	2844
FBgn0022854	414	454	321	314	771	310	274	524
FBgn0023293	4644	4305	2571	1626	3159	1013	2433	4797
FBgn0023294	3575	3554	2063	2682	2621	1077	2106	5236
FBgn0023295	2	1	1	0	1	0	1	3
FBgn0023296	5084	5656	3279	4257	3255	1663	3896	9425
FBgn0023297	6716	6749	3956	7385	5433	2203	4458	9827
FBgn0027807	154	161	139	284	777	427	250	111
FBgn0046148	2	5	0	3	4	11	1	5
FBgn0061259	0	1	0	0	0	0	0	1
FBgn0061260	744	849	506	623	389	251	650	1392
FBgn0061261	0	1	1	1	0	1	0	0
FBgn0061263	67	70	46	223	542	183	127	60
FBgn0062298	566	664	448	822	465	269	538	1073
FBgn0062741	372	364	285	707	1029	578	503	420
FBgn0064047	817	778	463	899	1727	633	638	1231
FBgn0064414	165	161	121	263	667	279	204	186
FBgn0064416	313	359	235	654	320	193	344	786
FBgn0064417	87	88	63	76	33	18	59	137
FBgn0064419	1614	1990	1210	1540	1991	983	1507	2998
FBgn0064420	0	1	0	0	1	0	0	1
FBgn0064421	387	480	340	448	678	246	361	657
FBgn0064422	2	2	1	4	3	0	1	1
FBgn0064423	0	1	0	1	0	1	0	1
FBgn0064424	62	65	57	211	772	304	195	64
FBgn0064425	172	193	100	305	350	168	141	205
FBgn0064426	218	209	158	212	887	288	198	278
FBgn0064427	1672	2065	1183	871	1256	539	885	2139
FBgn0064431	0	1	1	2	0	1	0	0
FBgn0064435	836	782	525	1387	1228	686	777	1431
FBgn0064437	453	750	408	336	227	164	338	971
FBgn0064438	0	4	1	3	4	1	1	7
FBgn0064439	358	133	193	517	125	55	162	501
FBgn0064440	44	78	47	35	24	20	28	86
FBgn0064441	316	379	289	235	506	214	277	509
FBgn0064442	0	0	0	0	0	4	0	1
FBgn0064443	95	98	59	88	274	105	141	118
FBgn0064444	670	847	585	734	1035	425	892	1732
FBgn0064447	1029	1106	650	942	1208	435	690	1559
FBgn0064448	2184	2489	1562	3813	3626	1541	2048	4730
FBgn0067207	577	605	390	611	957	355	372	700
FBgn0067543	155	155	95	80	1319	353	129	108
FBgn0068730	452	527	393	1128	464	299	696	1742
FBgn0068735	2	0	1	0	0	0	1	2
FBgn0068743	1769	2251	1201	2211	2000	947	1787	3794
FBgn0068744	931	184	311	344	504	141	498	780
FBgn0070060	167	179	105	87	80	44	89	289
FBgn0070061	127	75	59	134	32	31	74	198
FBgn0070062	44	63	42	44	89	36	64	107
FBgn0070063	624	253	183	455	265	153	287	601
FBgn0070064	1958	2047	1380	1623	2074	891	1345	3633
FBgn0070065	890	943	507	1382	1213	507	608	1471
FBgn0070066	479	506	337	591	660	289	379	628
FBgn0070068	1	5	2	0	5	1	2	1
