Samples	ME_rt_1	ME_rt_2	MM_rt_1	MM_rt_2	ME_rt_3	ME_rt_4	MM_rt_3	MM_rt_4
FBgn0011563	20	35	126	228	143	97	26	45
FBgn0012689	17	1	6	6	5	4	2	2
FBgn0012690	6	1	1	8	7	6	1	0
FBgn0012691	445	327	1561	2538	1924	1089	358	453
FBgn0012692	296	248	943	1632	1505	673	207	326
FBgn0012694	31	14	55	67	102	32	7	12
FBgn0012695	10	6	11	5	8	1	3	0
FBgn0012696	124	66	177	164	221	119	86	84
FBgn0012698	14460	5928	19787	18441	25122	10743	4993	6463
FBgn0012699	510	264	403	304	365	181	182	160
FBgn0012701	10884	2807	7680	7746	13833	11170	5254	3798
FBgn0012704	1282	604	1847	1692	2610	1552	664	743
FBgn0012706	9394	6111	11275	8012	13247	6088	6345	5533
FBgn0012707	3	0	1	1	2	0	1	3
FBgn0012708	4	2	3	3	1	1	6	1
FBgn0012709	0	1	0	0	0	0	0	0
FBgn0012710	0	0	0	2	1	0	1	1
FBgn0012711	0	0	0	0	0	0	0	0
FBgn0012714	878	190	350	411	584	610	253	235
FBgn0012716	1459	498	4911	7471	7372	4203	1201	2140
FBgn0012717	414	70	296	412	487	428	100	116
FBgn0012723	1	0	0	0	0	0	0	0
FBgn0012725	3067	1164	3773	3545	5580	3370	2048	1627
FBgn0012727	17	7	44	42	31	14	43	6
FBgn0012733	1	1	3	8	1	2	0	0
FBgn0012735	163	101	412	302	414	213	180	165
FBgn0012736	394	170	578	675	768	293	167	254
FBgn0013862	2	0	6	6	11	4	3	4
FBgn0013863	1	0	0	0	0	0	0	0
FBgn0014783	1	0	2	2	3	3	0	1
FBgn0015144	7	2	6	15	27	10	2	5
FBgn0015151	515	161	523	467	801	460	240	240
FBgn0016313	1759	850	2816	2396	4374	2344	1071	1334
FBgn0018538	1	1	1	1	1	0	1	0
FBgn0018547	167	84	230	218	300	167	132	125
FBgn0020474	0	0	1	0	2	0	1	0
FBgn0020475	45	29	38	35	52	24	38	37
FBgn0022538	1986	614	1428	1407	2220	2204	877	756
FBgn0022854	518	120	324	319	511	384	142	125
FBgn0023293	5801	1674	3538	3675	4298	1738	1083	1244
FBgn0023294	2519	1079	3690	3331	3934	2073	1295	1221
FBgn0023295	1	1	1	2	1	0	1	1
FBgn0023296	4075	2051	5050	4326	6305	3274	2041	2105
FBgn0023297	4152	1880	4346	4162	6250	4282	1834	1913
FBgn0027807	452	18	10	119	218	437	105	65
FBgn0046148	4	0	4	14	2	5	2	22
FBgn0061259	0	0	1	0	0	1	0	0
FBgn0061260	549	326	630	595	850	383	377	338
FBgn0061261	0	1	0	0	2	0	0	0
FBgn0061263	160	2	3	37	83	298	47	34
FBgn0062298	432	165	449	372	531	359	295	230
FBgn0062741	615	48	95	201	374	840	242	166
FBgn0064047	796	225	707	692	1200	953	372	327
FBgn0064414	375	20	26	76	188	347	74	47
FBgn0064416	226	98	362	246	446	271	213	149
FBgn0064417	51	27	90	85	122	49	34	27
FBgn0064419	1534	633	1450	1274	1950	1441	711	673
FBgn0064420	0	0	0	0	0	0	1	1
FBgn0064421	549	148	343	345	457	372	181	137
FBgn0064422	0	1	0	2	1	0	0	0
FBgn0064423	0	0	1	0	1	2	0	0
FBgn0064424	179	17	15	51	171	311	51	38
FBgn0064425	269	45	101	149	181	229	70	71
FBgn0064426	313	66	141	139	279	328	101	84
FBgn0064427	1606	491	1437	1497	1661	818	534	535
FBgn0064431	0	0	0	0	0	1	0	0
FBgn0064435	731	204	718	783	1100	1029	408	347
FBgn0064437	382	194	318	245	379	178	198	160
FBgn0064438	1	1	4	8	2	1	2	5
FBgn0064439	355	58	622	1671	952	410	117	419
FBgn0064440	16	11	25	34	33	17	4	10
FBgn0064441	351	145	238	209	342	322	151	134
FBgn0064442	1	1	1	0	1	1	0	1
FBgn0064443	66	17	60	79	108	100	48	35
FBgn0064444	652	395	763	600	910	741	446	372
FBgn0064447	726	244	893	930	1394	665	313	334
FBgn0064448	1776	865	2150	1774	3368	2332	1157	1030
FBgn0067207	749	145	432	414	626	460	170	169
FBgn0067543	371	23	26	74	245	382	57	48
FBgn0068730	322	231	399	311	645	436	417	256
FBgn0068735	1	0	2	1	4	3	0	0
FBgn0068743	1542	676	1839	1420	2314	1423	873	907
FBgn0068744	511	115	1255	1966	1570	612	262	228
FBgn0070060	91	59	187	125	194	86	51	74
FBgn0070061	46	16	155	157	199	89	32	43
FBgn0070062	58	37	54	41	63	35	33	34
FBgn0070063	251	77	628	931	936	346	192	238
FBgn0070064	1635	700	1872	1980	2912	1383	685	730
FBgn0070065	732	285	918	728	1348	818	375	318
FBgn0070066	435	87	327	349	575	493	222	181
FBgn0070068	3	3	1	1	0	2	3	3
FBgn0070069	80	40	96	62	68	58	58	54
FBgn0070071	418	42	119	168	419	612	146	130
FBgn0070072	29	9	18	16	18	23	16	7
FBgn0070073	276	114	442	398	391	165	170	179
FBgn0070075	3162	1950	3119	2237	2833	1221	1242	1332
FBgn0070076	15	4	15	7	63	18	10	3
FBgn0070079	8698	3817	7406	5882	9381	6961	5511	4157
FBgn0070080	30	18	11	32	67	73	15	22
FBgn0070081	0	2	2	0	4	0	4	1
FBgn0070082	53	15	110	94	163	67	16	17
FBgn0070083	82	68	129	97	159	86	61	60
FBgn0070084	308	89	239	246	435	318	119	106
FBgn0070086	52	21	45	24	37	16	36	15
FBgn0070087	5	1	6	1	26	3	6	2
FBgn0070089	668	303	683	599	1020	739	498	378
FBgn0070090	3251	1352	4553	3870	5301	2903	1776	1861
FBgn0070092	64	13	41	55	71	111	28	25
FBgn0070093	79	0	412	512	793	216	37	96
FBgn0070094	0	0	0	1	0	1	0	1
FBgn0070095	133	34	87	75	112	126	49	45
FBgn0070096	910	242	641	640	1223	1000	377	330
FBgn0070097	110	29	105	109	161	129	36	43
