Samples	E_rt_1	E_rt_2	EE_rt_1	EE_rt_2	E_rt_3	E_rt_4	EE_rt_3	EE_rt_4
FBgn0011563	264	245	12	77	71	36	39	117
FBgn0012689	28	19	7	3	3	12	4	17
FBgn0012690	6	20	4	5	7	4	4	5
FBgn0012691	2020	2086	100	1028	924	463	509	1447
FBgn0012692	1561	1428	57	568	738	324	293	1147
FBgn0012694	54	67	31	11	40	21	23	69
FBgn0012695	7	6	3	9	4	8	10	18
FBgn0012696	314	218	144	216	146	131	166	286
FBgn0012698	21201	24999	12161	10203	10809	9984	11315	28857
FBgn0012699	231	153	532	180	102	139	338	871
FBgn0012701	12423	21051	6308	16931	10882	5584	9844	15833
FBgn0012704	1934	2675	950	2922	1263	889	1341	2827
FBgn0012706	16535	9443	12043	15337	5446	7754	12134	26636
FBgn0012707	1	2	1	3	5	0	6	6
FBgn0012708	2	1	2	2	0	2	6	1
FBgn0012709	0	1	0	0	0	0	1	0
FBgn0012710	0	0	0	1	3	1	0	3
FBgn0012711	1	4	0	1	2	0	1	0
FBgn0012714	679	1187	569	827	688	285	544	773
FBgn0012716	3164	4913	1098	3610	147	1663	2424	4544
FBgn0012717	278	530	261	173	476	119	256	239
FBgn0012723	0	0	1	4	2	0	1	0
FBgn0012725	3823	5396	2315	4865	2327	1638	2960	6901
FBgn0012727	64	70	1	15	22	24	0	63
FBgn0012733	6	1	2	7	25	2	0	2
FBgn0012735	541	445	245	542	251	280	316	860
FBgn0012736	757	714	428	538	280	359	395	995
FBgn0013862	7	3	4	6	9	4	7	11
FBgn0013863	0	1	0	2	1	0	1	1
FBgn0014783	3	4	0	1	1	2	2	4
FBgn0015144	41	25	40	13	16	12	23	31
FBgn0015151	615	729	364	548	438	263	457	885
FBgn0016313	2801	3692	1248	2851	1132	1129	2252	5246
FBgn0018538	1	1	3	0	2	5	1	2
FBgn0018547	330	212	209	316	150	141	242	617
FBgn0020474	1	0	0	0	3	0	1	2
FBgn0020475	135	49	41	76	62	67	45	89
FBgn0022538	1829	2569	1232	2165	1483	844	1641	2844
FBgn0022854	406	547	321	314	271	157	274	524
FBgn0023293	5220	5203	2571	1626	1801	2779	2433	4797
FBgn0023294	4067	4593	2063	2682	1966	1632	2106	5236
FBgn0023295	2	3	1	0	2	1	1	3
FBgn0023296	6490	6317	3279	4257	3288	3258	3896	9425
FBgn0023297	6994	7873	3956	7385	3281	2756	4458	9827
FBgn0027807	101	617	139	284	379	60	250	111
FBgn0046148	1	12	0	3	3	3	1	5
FBgn0061259	0	0	0	0	0	0	0	1
FBgn0061260	719	832	506	623	351	337	650	1392
FBgn0061261	0	0	1	1	0	1	0	0
FBgn0061263	40	173	46	223	98	14	127	60
FBgn0062298	821	683	448	822	487	320	538	1073
FBgn0062741	326	855	285	707	494	148	503	420
FBgn0064047	721	1271	463	899	592	358	638	1231
FBgn0064414	154	402	121	263	235	101	204	186
FBgn0064416	374	451	235	654	239	160	344	786
FBgn0064417	90	59	63	76	43	28	59	137
FBgn0064419	1808	1916	1210	1540	1077	838	1507	2998
FBgn0064420	2	0	0	0	2	0	0	1
FBgn0064421	528	526	340	448	276	209	361	657
FBgn0064422	3	0	1	4	5	1	1	1
FBgn0064423	3	0	0	1	1	0	0	1
FBgn0064424	45	226	57	211	178	23	195	64
FBgn0064425	135	304	100	305	145	44	141	205
FBgn0064426	153	289	158	212	214	94	198	278
FBgn0064427	1841	1972	1183	871	1087	717	885	2139
FBgn0064431	1	3	1	2	0	0	0	0
FBgn0064435	1008	1257	525	1387	686	416	777	1431
FBgn0064437	610	281	408	336	200	257	338	971
FBgn0064438	1	1	1	3	0	1	1	7
FBgn0064439	381	686	193	517	22	185	162	501
FBgn0064440	91	48	47	35	28	28	28	86
FBgn0064441	268	323	289	235	157	146	277	509
FBgn0064442	3	1	0	0	1	0	0	1
FBgn0064443	86	94	59	88	134	36	141	118
FBgn0064444	859	826	585	734	537	343	892	1732
FBgn0064447	1025	1130	650	942	500	492	690	1559
FBgn0064448	2107	2577	1562	3813	1096	992	2048	4730
FBgn0067207	563	810	390	611	420	231	372	700
FBgn0067543	92	344	95	80	192	55	129	108
FBgn0068730	664	544	393	1128	389	364	696	1742
FBgn0068735	0	3	1	0	1	1	1	2
FBgn0068743	1877	1770	1201	2211	981	762	1787	3794
FBgn0068744	558	1067	311	344	82	408	498	780
FBgn0070060	284	225	105	87	148	128	89	289
FBgn0070061	114	161	59	134	84	56	74	198
FBgn0070062	86	45	42	44	18	27	64	107
FBgn0070063	286	547	183	455	74	201	287	601
FBgn0070064	2131	2328	1380	1623	1043	1083	1345	3633
FBgn0070065	890	1133	507	1382	502	393	608	1471
FBgn0070066	483	676	337	591	307	245	379	628
FBgn0070068	1	2	2	0	3	3	2	1
FBgn0070069	155	73	90	217	65	73	106	284
FBgn0070071	200	576	193	457	322	124	314	326
FBgn0070072	37	38	15	22	29	21	18	64
FBgn0070073	644	465	293	523	227	212	308	791
FBgn0070075	899	505	2906	1536	369	393	2117	4742
FBgn0070076	54	16	19	13	20	16	13	39
FBgn0070079	10605	7413	8149	10371	4945	4712	8495	16726
FBgn0070080	20	46	35	10	62	7	60	26
FBgn0070081	3	3	3	3	3	0	4	7
FBgn0070082	108	120	51	135	68	32	96	175
FBgn0070083	259	148	113	166	125	113	148	315
FBgn0070084	245	405	186	223	177	131	205	403
FBgn0070086	57	31	61	39	25	24	57	102
FBgn0070087	4	4	5	1	0	2	2	7
FBgn0070089	1059	941	674	1285	550	473	823	1767
FBgn0070090	5669	7103	2296	4315	2841	2314	2824	5710
FBgn0070092	46	101	41	102	45	18	56	84
FBgn0070093	303	620	49	333	192	166	216	555
FBgn0070094	1	3	1	1	0	1	1	3
FBgn0070095	117	173	80	187	68	48	121	206
FBgn0070096	860	1090	519	1478	531	374	667	1387
FBgn0070097	136	188	63	103	94	55	117	179
FBgn0070098	843	1948	743	1425	889	440	969	1493
FBgn0070101	5	10	7	10	1	8	2	11
FBgn0070102	11	18	8	15	13	2	12	29
FBgn0070105	570	668	353	308	323	277	365	696
FBgn0070107	902	597	547	578	399	371	590	1315
FBgn0070108	6526	7888	3661	3074	3971	2948	6274	13591
FBgn0070109	1162	1973	668	1142	783	484	778	1824
FBgn0070110	52	68	23	41	1	28	28	98
FBgn0070111	255	370	170	252	158	122	146	348
FBgn0070112	1153	1358	345	1045	821	460	622	1058
FBgn0070114	199	371	126	139	133	81	161	226
FBgn0070115	712	643	490	544	412	304	529	1090
FBgn0070116	1282	2011	989	1230	1332	591	1028	1696
FBgn0070117	13	28	11	29	13	22	13	51
FBgn0070119	451	793	216	738	348	219	344	767
FBgn0070120	1016	1325	718	1296	763	449	1015	1876
FBgn0070121	719	1062	128	661	257	282	245	747
FBgn0070122	31	14	28	12	17	14	15	44
FBgn0070123	1391	1878	844	1809	1033	676	1122	2479
FBgn0070124	400	521	41	79	165	136	113	251
FBgn0070125	228	266	136	205	125	84	145	300
FBgn0070128	3	0	0	4	1	3	0	1
FBgn0070129	185	196	152	79	87	87	115	233
FBgn0070132	694	757	582	575	405	338	555	1294
FBgn0070133	0	0	0	1	0	1	0	0
FBgn0070134	257	354	181	356	163	107	266	379
FBgn0070135	3665	2366	3427	4155	1613	1686	3513	8017
FBgn0070136	1912	2390	1303	1866	1518	776	1332	2473
FBgn0070137	1	1	1	1	1	1	0	4
FBgn0070138	640	600	298	488	395	269	387	693
FBgn0070139	464	649	299	441	311	232	332	610
FBgn0070140	224	123	89	113	109	108	143	345
FBgn0070141	10	5	6	10	6	8	5	14
FBgn0070142	224	456	42	704	110	118	91	343
FBgn0070143	144	238	82	168	139	54	145	235
FBgn0070144	336	174	201	115	169	152	184	325
FBgn0070145	1109	610	713	857	468	373	735	1750
FBgn0070146	4860	5326	1847	2987	2126	1653	2904	6215
FBgn0070147	1744	934	1150	849	657	846	912	2143
FBgn0070148	684	938	434	835	662	331	660	869
FBgn0070149	239	493	177	310	252	113	245	331
FBgn0070151	167	989	252	537	895	99	506	202
FBgn0070153	94	136	59	133	85	30	79	121
FBgn0070154	19	322	166	43	318	86	502	53
FBgn0070155	573	776	427	267	307	308	446	1038
FBgn0070156	8	3	5	1	5	6	5	8
FBgn0070157	342	237	250	238	152	167	224	527
FBgn0070158	123	198	88	147	134	79	144	300
FBgn0070159	0	0	1	0	0	0	0	2
FBgn0070160	162	235	138	163	131	85	144	265
FBgn0070161	0	0	1	1	1	0	0	0
FBgn0070162	0	0	0	1	0	0	0	1
FBgn0070164	105	84	94	60	35	39	46	125
FBgn0070165	0	2	0	2	1	1	1	0
FBgn0070166	271	325	208	200	168	163	196	403
FBgn0070167	301	160	266	343	152	109	314	717
FBgn0070168	3	14	45	14	10	6	45	246
FBgn0070172	5	5	1	3	0	1	0	6
FBgn0070173	2	1	1	3	5	2	3	7
FBgn0070174	311	324	224	450	158	120	360	608
FBgn0070176	474	739	344	985	451	213	626	1006
FBgn0070177	78	85	63	74	31	17	48	108
FBgn0070178	141	211	103	140	100	58	122	241
FBgn0070179	483	849	352	935	409	250	533	975
FBgn0070180	434	428	435	602	198	171	442	937
FBgn0070182	0	219	1	3	2	3	2	1
FBgn0070183	0	0	1	0	0	0	1	0
FBgn0070184	328	609	112	274	168	162	191	551
FBgn0070185	750	811	548	531	347	321	554	1249
FBgn0070186	121	194	17	135	44	59	51	245
FBgn0070187	566	852	394	976	325	212	452	883
FBgn0070189	233	294	181	222	174	122	186	370
FBgn0070191	119	54	47	26	39	56	41	66
FBgn0070192	728	413	1012	484	333	398	1037	2062
FBgn0070193	3	7	3	4	2	2	3	7
FBgn0070194	503	487	172	416	150	230	254	649
FBgn0070195	152	62	67	59	34	46	49	120
FBgn0070197	119	169	49	54	68	34	75	135
FBgn0070198	14	10	0	2	13	9	4	8
FBgn0070199	29	19	18	19	15	11	28	49
FBgn0070200	339	500	223	381	354	151	301	503
FBgn0070201	118	215	66	70	63	59	168	315
FBgn0070203	62	116	65	46	61	37	63	108
FBgn0070205	92	92	65	42	48	35	65	162
FBgn0070208	1065	1773	765	1256	964	483	1060	1608
FBgn0070209	107	81	181	201	41	61	198	320
FBgn0070210	0	0	1	0	1	1	0	4
FBgn0070212	63	26	42	22	18	20	43	72
FBgn0070214	433	563	128	274	19	153	208	506
FBgn0070215	538	520	329	242	223	205	295	743
FBgn0070216	252	475	183	620	251	109	310	453
FBgn0070217	766	1170	573	1208	642	358	763	1316
FBgn0070218	499	640	348	346	307	220	291	574
FBgn0070219	655	326	221	87	258	248	152	320
FBgn0070220	746	1611	594	1657	949	359	947	1168
FBgn0070221	185	407	140	207	197	75	221	329
FBgn0070222	82	127	42	108	76	51	90	115
FBgn0070224	1671	1689	968	1574	727	728	933	2282
FBgn0070225	186	547	203	439	359	108	364	314
FBgn0070226	556	584	457	297	306	255	345	810
FBgn0070228	2972	5343	2335	3783	2872	1198	3080	4536
FBgn0070229	473	785	325	907	413	196	547	788
FBgn0070232	611	667	407	722	400	252	504	850
FBgn0070233	800	1137	620	670	560	343	574	1099
FBgn0070236	4	3	1	0	1	0	4	3
FBgn0070237	292	303	261	246	182	156	512	844
FBgn0070238	3138	2127	2507	2008	1723	1262	2301	4435
FBgn0070239	419	466	929	599	295	237	974	1820
FBgn0070240	400	756	298	553	526	227	497	828
FBgn0070241	356	587	237	530	291	160	311	580
FBgn0070242	103	352	80	209	211	56	188	155
FBgn0070248	1266	1989	442	700	708	612	520	1595
FBgn0070249	91	205	110	128	40	26	86	159
FBgn0070251	6	5	6	10	6	2	8	17
FBgn0070252	7	35	2	8	14	13	6	13
FBgn0070256	161	306	117	233	172	67	178	226
FBgn0070257	1	0	0	0	0	0	3	1
FBgn0070258	1548	1415	942	803	829	650	811	1897
FBgn0070260	144	109	114	140	71	77	97	214
FBgn0070261	74	104	41	46	52	33	62	126
FBgn0070262	0	1	0	0	0	2	0	3
FBgn0070263	20	64	15	62	29	11	55	43
FBgn0070264	368	576	220	561	290	99	280	514
FBgn0070265	226	164	207	127	92	80	197	395
FBgn0070266	884	933	573	836	554	335	530	1015
FBgn0070267	629	903	323	631	397	219	369	771
FBgn0070268	1588	1929	1084	1694	1333	692	1369	2339
FBgn0070269	700	785	371	798	373	237	529	948
FBgn0070270	1425	715	983	540	597	527	858	1861
FBgn0070271	896	958	565	603	560	453	609	1378
FBgn0070272	465	837	107	797	280	270	367	1278
FBgn0070273	6532	7960	4173	7100	5240	3231	6048	10667
FBgn0070275	1	2	4	1	5	2	10	5
FBgn0070277	299	185	199	222	185	128	245	400
FBgn0070279	224	333	157	156	233	86	197	316
FBgn0070280	82	65	63	124	44	38	91	193
FBgn0070281	883	1029	529	1108	577	559	857	1608
FBgn0070282	3171	2176	2044	3522	1332	1290	2538	5684
FBgn0070283	1220	1430	598	1024	718	525	875	1841
FBgn0070284	0	0	0	0	1	0	0	1
FBgn0070285	24	22	9	2	15	8	6	16
FBgn0070286	0	1	0	0	0	0	0	0
FBgn0070287	151	230	11	148	17	59	54	166
FBgn0070288	4	14	2	7	2	1	7	9
FBgn0070289	2093	2444	1172	1610	1378	959	1360	2474
FBgn0070290	0	1	0	1	0	0	0	0
FBgn0070291	12972	13354	6526	32049	6729	5441	11177	24220
FBgn0070293	156	78	82	71	50	64	63	206
FBgn0070295	121	191	74	165	125	48	105	141
FBgn0070296	626	492	705	495	331	421	668	1927
FBgn0070297	531	631	305	530	296	201	385	771
FBgn0070298	1	0	1	2	1	0	0	0
FBgn0070299	275	321	184	480	242	139	331	482
FBgn0070300	1135	1272	554	583	558	598	957	2040
FBgn0070301	538	687	355	715	450	265	490	837
FBgn0070302	161	232	129	299	112	66	171	336
FBgn0070304	433	1095	435	1368	568	235	779	1023
FBgn0070305	1037	1215	666	773	584	448	621	1433
FBgn0070306	505	654	277	558	337	203	438	804
FBgn0070308	141	202	66	103	59	58	61	179
FBgn0070309	112	432	106	337	214	53	216	187
FBgn0070310	187	246	238	234	101	108	215	531
FBgn0070311	279	220	311	185	169	109	271	639
FBgn0070312	13	9	16	18	6	10	7	23
FBgn0070315	406	814	333	824	611	204	537	770
FBgn0070316	63	95	15	31	28	20	25	74
FBgn0070317	430	644	295	551	286	187	348	659
FBgn0070318	107	148	63	71	106	58	80	183
FBgn0070319	1361	617	1394	829	523	595	960	2376
FBgn0070320	114	473	81	426	228	62	254	139
FBgn0070321	191	228	167	128	151	99	126	298
FBgn0070322	4	3	4	4	2	3	2	13
FBgn0070325	694	770	496	410	450	331	420	882
FBgn0070326	1099	1740	709	1518	900	473	1084	1785
FBgn0070327	6	7	1	2	1	1	2	9
FBgn0070329	6782	6125	5128	7801	3138	3056	5624	12917
FBgn0070330	46	68	29	34	21	9	13	49
FBgn0070331	4	6	4	6	17	2	5	5
FBgn0070332	22805	12657	26496	17013	9160	9952	19640	43345
FBgn0070333	62	248	56	256	199	29	183	153
FBgn0070334	2635	2091	1378	2829	918	1049	1898	4679
FBgn0070335	209	267	121	351	156	91	236	444
FBgn0070336	829	1145	1040	1192	500	409	957	2016
FBgn0070337	234	232	46	195	19	46	113	189
FBgn0070338	1577	2014	1159	2288	936	705	1573	3036
FBgn0070339	320	423	316	372	244	173	303	608
FBgn0070340	1844	2114	1201	1542	1070	716	1081	2467
FBgn0070342	1748	1917	424	3414	992	571	2399	4292
FBgn0070343	179	219	106	220	114	91	163	334
FBgn0070344	344	407	219	233	238	148	223	397
FBgn0070345	7491	8728	5419	12725	5406	3382	7903	14886
FBgn0070346	6897	6864	3250	6072	3993	2761	3986	8052
FBgn0070347	0	0	0	0	0	0	3	1
FBgn0070348	1678	1070	800	890	717	640	799	1734
FBgn0070349	0	1	0	0	0	0	0	0
FBgn0070351	124	503	144	260	255	44	158	132
FBgn0070353	87	81	55	20	39	25	32	54
FBgn0070354	2	1	0	1	0	1	4	1
FBgn0070355	261	387	176	479	196	110	272	530
FBgn0070356	148	164	78	75	70	72	54	160
FBgn0070357	9	4	1	2	0	0	0	0
FBgn0070358	93	165	77	102	81	44	68	178
FBgn0070359	12	58	56	28	9	7	38	120
FBgn0070360	806	918	582	733	538	395	636	1441
FBgn0070361	106	145	57	144	97	52	114	214
FBgn0070362	241	361	136	348	174	113	164	314
FBgn0070363	111	163	118	52	89	75	81	109
FBgn0070364	98	163	70	111	83	30	50	122
FBgn0070365	312	408	324	345	162	144	277	603
FBgn0070366	15	4	12	10	4	6	16	26
FBgn0070367	75	326	92	319	158	42	166	114
FBgn0070368	3450	3782	2677	3386	1826	1608	2286	4851
FBgn0070369	439	669	253	329	236	204	485	928
FBgn0070370	65	85	51	42	59	27	66	81
FBgn0070371	227	405	137	292	214	101	238	373
FBgn0070372	92	100	32	54	56	28	51	69
FBgn0070373	3502	1957	1706	1508	1399	1680	1538	4023
FBgn0070374	453	564	356	730	290	192	399	821
FBgn0070375	9	10	9	9	4	5	7	47
FBgn0070377	4	5	4	2	4	5	1	5
FBgn0070379	259	662	263	756	359	105	349	392
FBgn0070380	8	57	10	74	31	5	25	15
FBgn0070381	214	343	144	454	182	90	320	497
FBgn0070382	2247	2284	1379	1518	1184	988	1246	3064
FBgn0070385	1942	1697	1363	2157	819	754	1568	3367
FBgn0070386	756	820	451	773	610	360	693	1131
FBgn0070387	333	618	240	552	357	153	367	518
FBgn0070388	951	1411	651	1438	645	457	1170	2342
FBgn0070389	46	88	52	80	41	24	65	128
FBgn0070390	3768	2827	2028	1990	1610	1502	1503	4213
FBgn0070391	9523	4468	8569	4243	2928	4319	5446	13841
FBgn0070392	858	1177	556	581	416	391	551	1154
