Samples	M_rt_1	M_rt_2	MM_rt_1	MM_rt_2	M_rt_3	M_rt_4	MM_rt_3	MM_rt_4
FBgn0011563	88	18	126	228	84	68	26	45
FBgn0012689	5	6	6	6	14	6	2	2
FBgn0012690	2	0	1	8	5	3	1	0
FBgn0012691	862	330	1561	2538	1174	850	358	453
FBgn0012692	698	182	943	1632	932	515	207	326
FBgn0012694	32	15	55	67	38	20	7	12
FBgn0012695	3	7	11	5	8	5	3	0
FBgn0012696	203	222	177	164	222	111	86	84
FBgn0012698	21056	10859	19787	18441	14250	9997	4993	6463
FBgn0012699	135	128	403	304	164	99	182	160
FBgn0012701	7171	7005	7680	7746	8158	5859	5254	3798
FBgn0012704	2020	1258	1847	1692	1132	800	664	743
FBgn0012706	13273	9870	11275	8012	7447	5309	6345	5533
FBgn0012707	2	0	1	1	5	1	1	3
FBgn0012708	1	0	3	3	2	0	6	1
FBgn0012709	0	0	0	0	0	0	0	0
FBgn0012710	0	1	0	2	0	0	1	1
FBgn0012711	0	1	0	0	1	0	0	0
FBgn0012714	306	433	350	411	538	254	253	235
FBgn0012716	2072	510	4911	7471	2764	2387	1201	2140
FBgn0012717	157	245	296	412	307	339	100	116
FBgn0012723	0	1	0	0	2	3	0	0
FBgn0012725	2794	1779	3773	3545	2678	1936	2048	1627
FBgn0012727	26	1	44	42	1	23	43	6
FBgn0012733	1	2	3	8	0	0	0	0
FBgn0012735	383	382	412	302	452	291	180	165
FBgn0012736	471	369	578	675	416	287	167	254
FBgn0013862	4	5	6	6	8	5	3	4
FBgn0013863	0	0	0	0	0	0	0	0
FBgn0014783	1	0	2	2	0	0	0	1
FBgn0015144	4	8	6	15	17	6	2	5
FBgn0015151	519	331	523	467	412	272	240	240
FBgn0016313	3107	1525	2816	2396	1368	1167	1071	1334
FBgn0018538	0	1	1	1	0	3	1	0
FBgn0018547	179	193	230	218	179	148	132	125
FBgn0020474	0	1	1	0	0	1	1	0
FBgn0020475	101	108	38	35	92	77	38	37
FBgn0022538	1234	1101	1428	1407	1412	786	877	756
FBgn0022854	250	206	324	319	265	128	142	125
FBgn0023293	3745	2143	3538	3675	2338	1559	1083	1244
FBgn0023294	2871	2341	3690	3331	2694	2137	1295	1221
FBgn0023295	0	1	1	2	1	0	1	1
FBgn0023296	5529	4355	5050	4326	4585	3136	2041	2105
FBgn0023297	4469	2828	4346	4162	3242	2276	1834	1913
FBgn0027807	3	14	10	119	131	39	105	65
FBgn0046148	0	0	4	14	0	2	2	22
FBgn0061259	0	0	1	0	0	1	0	0
FBgn0061260	673	501	630	595	431	341	377	338
FBgn0061261	0	1	0	0	0	0	0	0
FBgn0061263	6	4	3	37	35	14	47	34
FBgn0062298	369	491	449	372	580	428	295	230
FBgn0062741	130	132	95	201	264	120	242	166
FBgn0064047	560	365	707	692	546	377	372	327
FBgn0064414	36	42	26	76	116	43	74	47
FBgn0064416	298	233	362	246	244	203	213	149
FBgn0064417	57	85	90	85	72	62	34	27
FBgn0064419	1225	1128	1450	1274	1174	895	711	673
FBgn0064420	0	0	0	0	0	0	1	1
FBgn0064421	344	280	343	345	262	192	181	137
FBgn0064422	0	2	0	2	1	0	0	0
FBgn0064423	1	0	1	0	0	1	0	0
FBgn0064424	12	11	15	51	60	8	51	38
FBgn0064425	64	69	101	149	120	58	70	71
FBgn0064426	127	87	141	139	128	63	101	84
FBgn0064427	1258	1059	1437	1497	1197	801	534	535
FBgn0064431	0	0	0	0	1	0	0	0
FBgn0064435	557	538	718	783	602	437	408	347
FBgn0064437	341	321	318	245	233	176	198	160
FBgn0064438	4	0	4	8	4	1	2	5
FBgn0064439	188	84	622	1671	365	348	117	419
FBgn0064440	15	23	25	34	14	27	4	10
FBgn0064441	251	193	238	209	206	89	151	134
FBgn0064442	1	1	1	0	0	0	0	1
FBgn0064443	42	36	60	79	34	37	48	35
FBgn0064444	559	499	763	600	465	434	446	372
FBgn0064447	808	581	893	930	587	451	313	334
FBgn0064448	1969	1330	2150	1774	1360	1020	1157	1030
FBgn0067207	365	326	432	414	334	240	170	169
FBgn0067543	21	16	26	74	73	34	57	48
FBgn0068730	465	638	399	311	525	375	417	256
FBgn0068735	0	0	2	1	0	0	0	0
FBgn0068743	1468	1202	1839	1420	1045	741	873	907
FBgn0068744	375	228	1255	1966	501	426	262	228
FBgn0070060	188	197	187	125	196	122	51	74
FBgn0070061	49	76	155	157	127	112	32	43
FBgn0070062	56	39	54	41	28	32	33	34
FBgn0070063	262	90	628	931	309	182	192	238
FBgn0070064	1643	1001	1872	1980	1173	772	685	730
FBgn0070065	922	579	918	728	597	425	375	318
FBgn0070066	276	269	327	349	389	186	222	181
FBgn0070068	1	3	1	1	0	0	3	3
FBgn0070069	98	75	96	62	95	54	58	54
