Samples	M_test_1	M_test_2	E_test_1	E_test_2	M_test_3	M_test_4	E_test_3	E_test_4
FBgn0011563	3	3	3	2	7	4	8	5
FBgn0012689	0	1	1	3	1	3	5	1
FBgn0012690	3	6	9	6	4	3	3	8
FBgn0012691	7	17	22	16	30	18	46	16
FBgn0012692	3	9	19	14	13	15	14	11
FBgn0012694	46	47	40	57	63	25	79	38
FBgn0012695	4	4	3	13	7	12	13	14
FBgn0012696	14	13	27	23	36	41	30	34
FBgn0012698	648	756	681	804	1272	499	994	663
FBgn0012699	5	12	11	9	5	8	17	8
FBgn0012701	15169	14988	19391	19974	24724	21602	23768	20154
FBgn0012704	574	561	996	952	809	721	721	728
FBgn0012706	177	195	197	235	297	292	305	258
FBgn0012707	1	5	11	13	11	9	14	7
FBgn0012708	4	19	7	9	14	5	21	11
FBgn0012709	0	0	0	0	0	0	0	1
FBgn0012710	41	37	45	51	50	39	39	52
FBgn0012711	0	1	1	1	0	1	0	1
FBgn0012714	37	42	49	38	68	50	90	75
FBgn0012716	186	106	290	381	623	325	747	367
FBgn0012717	129	127	189	217	254	101	320	166
FBgn0012723	9	8	12	14	11	19	9	12
FBgn0012725	677	772	906	1000	1099	911	1246	1055
FBgn0012727	2	1	4	3	8	4	2	4
FBgn0012733	6	3	1	1	4	2	7	3
FBgn0012735	33	40	48	40	70	55	71	76
FBgn0012736	68	91	107	86	139	71	146	105
FBgn0013862	0	1	0	1	1	0	2	3
FBgn0013863	0	0	0	0	0	1	0	2
FBgn0014783	3432	3508	4282	4463	4747	4665	4759	4382
FBgn0015144	3	5	9	13	12	6	16	14
FBgn0015151	1165	1183	1404	1505	1768	1618	1573	1578
FBgn0016313	443	468	495	582	659	431	568	504
FBgn0018538	1	2	1	0	3	3	1	0
FBgn0018547	44	53	59	68	71	55	86	84
FBgn0020474	0	0	0	3	2	0	0	0
FBgn0020475	34	30	33	33	29	37	36	31
FBgn0022538	468	534	521	547	725	519	692	653
FBgn0022854	659	675	737	874	1062	623	1170	742
FBgn0023293	161	194	154	198	287	108	508	246
FBgn0023294	1449	1618	1659	1867	2222	1841	2125	1824
FBgn0023295	4	1	2	1	6	1	4	2
FBgn0023296	581	585	660	757	992	575	1295	773
FBgn0023297	568	717	1013	1136	1054	737	1092	861
FBgn0027807	67	72	87	91	87	89	129	129
FBgn0046148	8	5	17	15	19	6	26	22
FBgn0061259	1	1	0	0	1	0	0	0
FBgn0061260	123	116	127	124	168	130	185	135
FBgn0061261	1168	1166	1678	1447	1938	2204	1700	1517
FBgn0061263	56	77	82	90	71	74	78	78
FBgn0062298	266	248	299	338	341	452	430	500
FBgn0062741	70	74	75	92	103	107	78	86
