logfc	mating
-1.53979181	ov_E_mated
-1.186635684	ov_E_mated
-1.129168193	ov_E_mated
-1.052458814	ov_E_mated
-1.043655022	ov_E_mated
-0.927287115	ov_E_mated
-0.861988605	ov_E_mated
-0.853835177	ov_E_mated
-0.793985575	ov_E_mated
-0.792501301	ov_E_mated
-0.776610154	ov_E_mated
-0.773339215	ov_E_mated
-0.71352037	ov_E_mated
-0.695954407	ov_E_mated
0.902874411	ov_E_virgin
1.008865978	ov_E_virgin
1.910285491	ov_E_virgin
2.171963089	ov_E_virgin
2.196171547	ov_E_virgin
2.356423159	ov_E_virgin
2.362679934	ov_E_virgin
3.131281018	ov_E_virgin
-5.15678855	rt_E_mated
-5.08486571	rt_E_mated
-5.066097814	rt_E_mated
-4.841724986	rt_E_mated
-4.502038869	rt_E_mated
-4.062694173	rt_E_mated
-3.962083384	rt_E_mated
-3.891700413	rt_E_mated
-3.752054807	rt_E_mated
-3.677376043	rt_E_mated
-3.651352019	rt_E_mated
-3.633565939	rt_E_mated
-3.489561546	rt_E_mated
-3.197785369	rt_E_mated
-3.100474645	rt_E_mated
-2.945442502	rt_E_mated
-2.905605304	rt_E_mated
-2.791056038	rt_E_mated
-2.787148227	rt_E_mated
-2.763118222	rt_E_mated
-2.735875693	rt_E_mated
-2.697540743	rt_E_mated
-2.683835136	rt_E_mated
-2.603483409	rt_E_mated
-2.358980698	rt_E_mated
-2.346676704	rt_E_mated
-2.308541912	rt_E_mated
-2.237952101	rt_E_mated
-2.084361328	rt_E_mated
-2.071598929	rt_E_mated
-2.069225979	rt_E_mated
-2.067029703	rt_E_mated
-2.044018558	rt_E_mated
-2.015534535	rt_E_mated
-1.981290488	rt_E_mated
-1.973812665	rt_E_mated
-1.963454445	rt_E_mated
-1.958037184	rt_E_mated
-1.955995148	rt_E_mated
-1.920942679	rt_E_mated
-1.917792184	rt_E_mated
-1.89468137	rt_E_mated
-1.876454887	rt_E_mated
-1.828700258	rt_E_mated
-1.807756926	rt_E_mated
-1.795293426	rt_E_mated
-1.784095279	rt_E_mated
-1.784026545	rt_E_mated
-1.768045788	rt_E_mated
-1.758840807	rt_E_mated
-1.757979055	rt_E_mated
-1.756356341	rt_E_mated
-1.748238518	rt_E_mated
-1.731335751	rt_E_mated
-1.727802468	rt_E_mated
-1.717307142	rt_E_mated
-1.669563908	rt_E_mated
-1.632269163	rt_E_mated
-1.614098485	rt_E_mated
-1.596261269	rt_E_mated
-1.589206384	rt_E_mated
-1.580126292	rt_E_mated
-1.551478534	rt_E_mated
-1.533999582	rt_E_mated
-1.515727749	rt_E_mated
-1.513286955	rt_E_mated
-1.511757966	rt_E_mated
-1.51014778	rt_E_mated
-1.491945324	rt_E_mated
-1.486396559	rt_E_mated
-1.4727473	rt_E_mated
-1.463735437	rt_E_mated
-1.457899893	rt_E_mated
-1.451689011	rt_E_mated
-1.449895654	rt_E_mated
-1.448539254	rt_E_mated
-1.44789224	rt_E_mated
-1.443997524	rt_E_mated
-1.434097444	rt_E_mated
-1.428698744	rt_E_mated
-1.414297754	rt_E_mated
-1.40664202	rt_E_mated
-1.405419626	rt_E_mated
-1.403648205	rt_E_mated
-1.4035418	rt_E_mated
-1.400915595	rt_E_mated
-1.388341773	rt_E_mated
-1.374126758	rt_E_mated
-1.372820706	rt_E_mated
-1.369226653	rt_E_mated
-1.368832527	rt_E_mated
-1.364276034	rt_E_mated
-1.357903395	rt_E_mated
-1.344913747	rt_E_mated
-1.337073773	rt_E_mated
-1.326203195	rt_E_mated
-1.325809292	rt_E_mated
-1.319575878	rt_E_mated
-1.315558822	rt_E_mated
-1.307728466	rt_E_mated
-1.306054947	rt_E_mated
-1.303613477	rt_E_mated
-1.298150757	rt_E_mated
-1.296882076	rt_E_mated
-1.259115045	rt_E_mated
-1.246324927	rt_E_mated
-1.244077195	rt_E_mated
-1.241198352	rt_E_mated
-1.228141406	rt_E_mated
-1.225937183	rt_E_mated
-1.219304186	rt_E_mated
-1.206795867	rt_E_mated
-1.197998638	rt_E_mated
-1.196821303	rt_E_mated
-1.195101399	rt_E_mated
-1.186724404	rt_E_mated
-1.18652427	rt_E_mated
-1.183006195	rt_E_mated
-1.168152065	rt_E_mated
-1.165275208	rt_E_mated
-1.15056859	rt_E_mated
-1.146656876	rt_E_mated
-1.146176924	rt_E_mated
-1.10732824	rt_E_mated
-1.103349384	rt_E_mated
-1.102347742	rt_E_mated
-1.101979457	rt_E_mated
-1.091663554	rt_E_mated
-1.08843078	rt_E_mated
-1.082480109	rt_E_mated
-1.078379989	rt_E_mated
-1.07650337	rt_E_mated
-1.067716083	rt_E_mated
-1.03838079	rt_E_mated
-1.032058596	rt_E_mated
-1.030705933	rt_E_mated
-0.995837793	rt_E_mated
-0.993492718	rt_E_mated
-0.991143925	rt_E_mated
-0.980614902	rt_E_mated
-0.977639584	rt_E_mated
-0.947482249	rt_E_mated
-0.941929335	rt_E_mated
-0.940845629	rt_E_mated
-0.936516326	rt_E_mated
-0.935504255	rt_E_mated
-0.935377904	rt_E_mated
-0.917144744	rt_E_mated
-0.900337309	rt_E_mated
-0.872777551	rt_E_mated
-0.866069922	rt_E_mated
-0.860215471	rt_E_mated
-0.846598346	rt_E_mated
-0.779243896	rt_E_mated
0.815294356	rt_E_virgin
0.818965535	rt_E_virgin
0.831068919	rt_E_virgin
0.851680992	rt_E_virgin
0.871861625	rt_E_virgin
0.874580609	rt_E_virgin
0.876701553	rt_E_virgin
0.916305397	rt_E_virgin
0.918486996	rt_E_virgin
0.932722055	rt_E_virgin
0.942579692	rt_E_virgin
0.968750386	rt_E_virgin
0.987645416	rt_E_virgin
0.989058278	rt_E_virgin
0.997778157	rt_E_virgin
1.003319052	rt_E_virgin
1.013852327	rt_E_virgin
1.017583024	rt_E_virgin
1.018244559	rt_E_virgin
1.021072557	rt_E_virgin
1.023163309	rt_E_virgin
1.047779917	rt_E_virgin
1.061592196	rt_E_virgin
1.072042166	rt_E_virgin
1.077057761	rt_E_virgin
1.07722778	rt_E_virgin
1.091436867	rt_E_virgin
1.115704132	rt_E_virgin
1.135662501	rt_E_virgin
1.181610732	rt_E_virgin
1.189196358	rt_E_virgin
1.203451742	rt_E_virgin
1.204229854	rt_E_virgin
1.204784868	rt_E_virgin
1.205613734	rt_E_virgin
1.207858834	rt_E_virgin
1.210955071	rt_E_virgin
1.211180424	rt_E_virgin
1.215557758	rt_E_virgin
1.215890521	rt_E_virgin
1.22256249	rt_E_virgin
1.230113833	rt_E_virgin
1.231857084	rt_E_virgin
1.233229961	rt_E_virgin
1.250491867	rt_E_virgin
1.256900854	rt_E_virgin
1.260959071	rt_E_virgin
1.265397678	rt_E_virgin
1.277425036	rt_E_virgin
1.279670808	rt_E_virgin
1.280920509	rt_E_virgin
1.284343796	rt_E_virgin
1.322804773	rt_E_virgin
1.322982768	rt_E_virgin
1.324341408	rt_E_virgin
1.325269918	rt_E_virgin
1.336947121	rt_E_virgin
1.343738322	rt_E_virgin
1.344041718	rt_E_virgin
1.370022813	rt_E_virgin
1.370081048	rt_E_virgin
1.382371969	rt_E_virgin
1.383748676	rt_E_virgin
1.39239665	rt_E_virgin
1.400015575	rt_E_virgin
1.400248245	rt_E_virgin
1.404445958	rt_E_virgin
1.406213624	rt_E_virgin
1.415942651	rt_E_virgin
1.421498877	rt_E_virgin
1.428394673	rt_E_virgin
1.429208926	rt_E_virgin
1.451437197	rt_E_virgin
1.459214237	rt_E_virgin
1.476890174	rt_E_virgin
1.480961665	rt_E_virgin
1.482148907	rt_E_virgin
1.487319133	rt_E_virgin
1.493543386	rt_E_virgin
1.50204888	rt_E_virgin
1.502474845	rt_E_virgin
1.51353919	rt_E_virgin
1.517197944	rt_E_virgin
1.522273522	rt_E_virgin
1.525217664	rt_E_virgin
1.527443337	rt_E_virgin
1.529675189	rt_E_virgin
1.548574044	rt_E_virgin
1.554450818	rt_E_virgin
1.563116411	rt_E_virgin
1.568324076	rt_E_virgin
1.571587164	rt_E_virgin
1.57307428	rt_E_virgin
1.573111207	rt_E_virgin
1.574310822	rt_E_virgin
1.583275494	rt_E_virgin
1.591754393	rt_E_virgin
1.601853037	rt_E_virgin
1.63710648	rt_E_virgin
1.652993283	rt_E_virgin
1.675552371	rt_E_virgin
1.697960124	rt_E_virgin
1.714259062	rt_E_virgin
1.723360202	rt_E_virgin
1.726706816	rt_E_virgin
1.739590805	rt_E_virgin
1.744495755	rt_E_virgin
1.754728302	rt_E_virgin
1.755247451	rt_E_virgin
1.759027489	rt_E_virgin
1.763332941	rt_E_virgin
1.76450553	rt_E_virgin
1.767788668	rt_E_virgin
1.779840134	rt_E_virgin
1.787396293	rt_E_virgin
1.797560321	rt_E_virgin
1.802416859	rt_E_virgin
1.808011103	rt_E_virgin
1.845074669	rt_E_virgin
1.871808186	rt_E_virgin
1.879868391	rt_E_virgin
1.902029318	rt_E_virgin
1.906510822	rt_E_virgin
1.913692981	rt_E_virgin
1.919665207	rt_E_virgin
1.931763608	rt_E_virgin
1.956494377	rt_E_virgin
1.973961369	rt_E_virgin
2.004787974	rt_E_virgin
2.02248868	rt_E_virgin
2.023556547	rt_E_virgin
2.023873899	rt_E_virgin
2.024102702	rt_E_virgin
2.058712867	rt_E_virgin
2.06594102	rt_E_virgin
2.071852674	rt_E_virgin
2.095638461	rt_E_virgin
2.097388289	rt_E_virgin
2.098405548	rt_E_virgin
2.118058203	rt_E_virgin
2.162761063	rt_E_virgin
2.165107142	rt_E_virgin
2.177280508	rt_E_virgin
2.180274444	rt_E_virgin
2.203965796	rt_E_virgin
2.211276274	rt_E_virgin
2.217458123	rt_E_virgin
