logfc	mating
-5.999681667	ov_4Mfem_x_Mmale
-3.94918125	ov_4Mfem_x_Mmale
-3.921377035	ov_4Mfem_x_Mmale
-3.728037558	ov_4Mfem_x_Mmale
-3.659048363	ov_4Mfem_x_Mmale
-3.349806153	ov_4Mfem_x_Mmale
-3.323294914	ov_4Mfem_x_Mmale
-3.123813752	ov_4Mfem_x_Mmale
-3.025355294	ov_4Mfem_x_Mmale
-2.873649258	ov_4Mfem_x_Mmale
-2.270706367	ov_4Mfem_x_Mmale
-2.057049942	ov_4Mfem_x_Mmale
-2.0505601	ov_4Mfem_x_Mmale
-2.042823893	ov_4Mfem_x_Mmale
-2.020347989	ov_4Mfem_x_Mmale
-1.940077798	ov_4Mfem_x_Mmale
-1.866644267	ov_4Mfem_x_Mmale
-1.821730801	ov_4Mfem_x_Mmale
-1.672552017	ov_4Mfem_x_Mmale
-1.648618475	ov_4Mfem_x_Mmale
-1.52186523	ov_4Mfem_x_Mmale
-1.514838855	ov_4Mfem_x_Mmale
-1.487163141	ov_4Mfem_x_Mmale
-1.466207793	ov_4Mfem_x_Mmale
-1.437394923	ov_4Mfem_x_Mmale
-1.317508826	ov_4Mfem_x_Mmale
-1.227100145	ov_4Mfem_x_Mmale
-1.176097972	ov_4Mfem_x_Mmale
-1.149799045	ov_4Mfem_x_Mmale
-1.145474075	ov_4Mfem_x_Mmale
-1.124682248	ov_4Mfem_x_Mmale
-1.112759204	ov_4Mfem_x_Mmale
-1.073964224	ov_4Mfem_x_Mmale
-1.06416591	ov_4Mfem_x_Mmale
-1.037706384	ov_4Mfem_x_Mmale
-0.973159306	ov_4Mfem_x_Mmale
-0.96802487	ov_4Mfem_x_Mmale
-0.930170343	ov_4Mfem_x_Mmale
-0.902995247	ov_4Mfem_x_Mmale
-0.877279367	ov_4Mfem_x_Mmale
-0.840071497	ov_4Mfem_x_Mmale
-0.788933803	ov_4Mfem_x_Mmale
-0.772651169	ov_4Mfem_x_Mmale
-0.76991618	ov_4Mfem_x_Mmale
-0.765907048	ov_4Mfem_x_Mmale
-0.76454889	ov_4Mfem_x_Mmale
-0.761790829	ov_4Mfem_x_Mmale
-0.728709452	ov_4Mfem_x_Mmale
-0.706676603	ov_4Mfem_x_Mmale
-0.702011165	ov_4Mfem_x_Mmale
-0.698863259	ov_4Mfem_x_Mmale
-0.689987079	ov_4Mfem_x_Mmale
-0.677706145	ov_4Mfem_x_Mmale
-0.663976499	ov_4Mfem_x_Mmale
-0.648809693	ov_4Mfem_x_Mmale
-0.647241232	ov_4Mfem_x_Mmale
-0.6469013	ov_4Mfem_x_Mmale
-0.646052761	ov_4Mfem_x_Mmale
-0.636226578	ov_4Mfem_x_Mmale
-0.618716628	ov_4Mfem_x_Mmale
-0.612784345	ov_4Mfem_x_Mmale
-0.602152527	ov_4Mfem_x_Mmale
-0.567182914	ov_4Mfem_x_Mmale
-0.564765788	ov_4Mfem_x_Mmale
-0.553035731	ov_4Mfem_x_Mmale
-0.549336066	ov_4Mfem_x_Mmale
-0.535288336	ov_4Mfem_x_Mmale
-0.529291771	ov_4Mfem_x_Mmale
-0.517652119	ov_4Mfem_x_Mmale
-0.501710793	ov_4Mfem_x_Mmale
-0.460997346	ov_4Mfem_x_Mmale
-0.453654168	ov_4Mfem_x_Mmale
0.48085909	ov_3Efem_x_Mmale
0.511196257	ov_3Efem_x_Mmale
0.521884264	ov_3Efem_x_Mmale
0.522671029	ov_3Efem_x_Mmale
0.529486913	ov_3Efem_x_Mmale
0.537984928	ov_3Efem_x_Mmale
0.561109994	ov_3Efem_x_Mmale
0.598961195	ov_3Efem_x_Mmale
0.60206792	ov_3Efem_x_Mmale
0.628063344	ov_3Efem_x_Mmale
0.631933766	ov_3Efem_x_Mmale
0.634429931	ov_3Efem_x_Mmale
0.636244235	ov_3Efem_x_Mmale
0.678487497	ov_3Efem_x_Mmale
0.68107152	ov_3Efem_x_Mmale
0.693108071	ov_3Efem_x_Mmale
0.790580331	ov_3Efem_x_Mmale
0.793672369	ov_3Efem_x_Mmale
0.793736987	ov_3Efem_x_Mmale
0.810300564	ov_3Efem_x_Mmale
0.828699795	ov_3Efem_x_Mmale
0.856011651	ov_3Efem_x_Mmale
0.872222644	ov_3Efem_x_Mmale
0.875560257	ov_3Efem_x_Mmale
0.903397145	ov_3Efem_x_Mmale
0.93683549	ov_3Efem_x_Mmale
1.006356236	ov_3Efem_x_Mmale
1.047026505	ov_3Efem_x_Mmale
1.056081518	ov_3Efem_x_Mmale
1.081641791	ov_3Efem_x_Mmale
1.132039156	ov_3Efem_x_Mmale
1.156628004	ov_3Efem_x_Mmale
1.210976356	ov_3Efem_x_Mmale
1.214304018	ov_3Efem_x_Mmale
1.220597342	ov_3Efem_x_Mmale
1.309266356	ov_3Efem_x_Mmale
1.324496248	ov_3Efem_x_Mmale
1.336644977	ov_3Efem_x_Mmale
1.355223109	ov_3Efem_x_Mmale
1.439137393	ov_3Efem_x_Mmale
1.444307665	ov_3Efem_x_Mmale
1.444438556	ov_3Efem_x_Mmale
1.498787338	ov_3Efem_x_Mmale
1.525429696	ov_3Efem_x_Mmale
1.622495014	ov_3Efem_x_Mmale
1.625670222	ov_3Efem_x_Mmale
1.686550461	ov_3Efem_x_Mmale
1.697472568	ov_3Efem_x_Mmale
1.729390227	ov_3Efem_x_Mmale
1.761423635	ov_3Efem_x_Mmale
1.770714069	ov_3Efem_x_Mmale
1.774414955	ov_3Efem_x_Mmale
1.803056137	ov_3Efem_x_Mmale
1.857990536	ov_3Efem_x_Mmale
1.950707913	ov_3Efem_x_Mmale
1.952798232	ov_3Efem_x_Mmale
1.983883894	ov_3Efem_x_Mmale
2.084022059	ov_3Efem_x_Mmale
2.137070014	ov_3Efem_x_Mmale
2.282942938	ov_3Efem_x_Mmale
2.297081237	ov_3Efem_x_Mmale
2.404456509	ov_3Efem_x_Mmale
2.406998409	ov_3Efem_x_Mmale
2.852599948	ov_3Efem_x_Mmale
2.94817407	ov_3Efem_x_Mmale
3.044753626	ov_3Efem_x_Mmale
3.071962643	ov_3Efem_x_Mmale
3.182598142	ov_3Efem_x_Mmale
3.416061807	ov_3Efem_x_Mmale
3.558634982	ov_3Efem_x_Mmale
4.350888621	ov_3Efem_x_Mmale
5.431541101	ov_3Efem_x_Mmale
6.536155141	ov_3Efem_x_Mmale
7.25097007	ov_3Efem_x_Mmale
8.121933274	ov_3Efem_x_Mmale
8.346541075	ov_3Efem_x_Mmale
-7.483103704	ov_2Efem_x_Emale
-7.047749315	ov_2Efem_x_Emale
-7.010858717	ov_2Efem_x_Emale
-6.111367714	ov_2Efem_x_Emale
-5.159328767	ov_2Efem_x_Emale
-3.510375307	ov_2Efem_x_Emale
-3.42938387	ov_2Efem_x_Emale
-3.412663763	ov_2Efem_x_Emale
-3.33331488	ov_2Efem_x_Emale
-2.978767131	ov_2Efem_x_Emale
-2.960279289	ov_2Efem_x_Emale
-2.806557022	ov_2Efem_x_Emale
-2.778095487	ov_2Efem_x_Emale
-2.646268996	ov_2Efem_x_Emale
-2.49558024	ov_2Efem_x_Emale
-2.370445536	ov_2Efem_x_Emale
-2.230315335	ov_2Efem_x_Emale
-2.198604539	ov_2Efem_x_Emale
-2.19685542	ov_2Efem_x_Emale
-2.185159475	ov_2Efem_x_Emale
-2.175803973	ov_2Efem_x_Emale
-2.055869204	ov_2Efem_x_Emale
-2.038273664	ov_2Efem_x_Emale
-2.0132807	ov_2Efem_x_Emale
-1.910864371	ov_2Efem_x_Emale
-1.872026366	ov_2Efem_x_Emale
