logfc	males
-9.624023714	ag_M_virgin
-8.182769291	ag_M_virgin
-6.808408576	ag_M_virgin
-6.327486907	ag_M_virgin
-5.96021568	ag_M_virgin
-5.029038125	ag_M_virgin
-4.904590517	ag_M_virgin
-4.861355221	ag_M_virgin
-3.723909125	ag_M_virgin
-3.695665082	ag_M_virgin
-3.412459553	ag_M_virgin
-3.387488692	ag_M_virgin
-3.164587895	ag_M_virgin
-3.116009307	ag_M_virgin
-3.101084419	ag_M_virgin
-2.935970023	ag_M_virgin
-2.921566762	ag_M_virgin
-2.746332584	ag_M_virgin
-2.633799886	ag_M_virgin
-2.369972204	ag_M_virgin
-2.356807734	ag_M_virgin
-2.218195222	ag_M_virgin
-2.206732693	ag_M_virgin
-1.941993978	ag_M_virgin
-1.937894346	ag_M_virgin
-1.912877837	ag_M_virgin
-1.863533886	ag_M_virgin
-1.770028113	ag_M_virgin
-1.737271078	ag_M_virgin
-1.694791604	ag_M_virgin
-1.688949981	ag_M_virgin
-1.627945053	ag_M_virgin
-1.616236719	ag_M_virgin
-1.549924148	ag_M_virgin
-1.547610549	ag_M_virgin
-1.541552519	ag_M_virgin
-1.498501832	ag_M_virgin
-1.437242624	ag_M_virgin
-1.420043299	ag_M_virgin
-1.419987097	ag_M_virgin
-1.31560454	ag_M_virgin
-1.313912928	ag_M_virgin
-1.202162202	ag_M_virgin
-1.14003157	ag_M_virgin
-1.035325738	ag_M_virgin
-0.968303707	ag_M_virgin
1.044838888	ag_E_virgin
1.050242616	ag_E_virgin
1.057886662	ag_E_virgin
1.09293285	ag_E_virgin
1.095807403	ag_E_virgin
1.209524521	ag_E_virgin
1.233804531	ag_E_virgin
1.421741593	ag_E_virgin
1.650394489	ag_E_virgin
1.7295701	ag_E_virgin
1.804799793	ag_E_virgin
2.030455296	ag_E_virgin
2.071107722	ag_E_virgin
2.204127253	ag_E_virgin
2.215878778	ag_E_virgin
2.217649871	ag_E_virgin
2.301381744	ag_E_virgin
2.345595935	ag_E_virgin
2.505540981	ag_E_virgin
2.549814993	ag_E_virgin
2.722515673	ag_E_virgin
3.061968083	ag_E_virgin
3.131161235	ag_E_virgin
3.370458667	ag_E_virgin
3.604220567	ag_E_virgin
3.996916632	ag_E_virgin
4.228813048	ag_E_virgin
4.422218284	ag_E_virgin
4.719753308	ag_E_virgin
4.813549003	ag_E_virgin
4.827549097	ag_E_virgin
5.160606933	ag_E_virgin
5.598934322	ag_E_virgin
6.22313224	ag_E_virgin
-5.256201854	test_M_virgin
-4.833481857	test_M_virgin
-4.338670182	test_M_virgin
-3.076175804	test_M_virgin
-2.876109861	test_M_virgin
-2.838536009	test_M_virgin
-2.753799459	test_M_virgin
-2.718141885	test_M_virgin
-2.662999925	test_M_virgin
-2.600148158	test_M_virgin
-2.539013473	test_M_virgin
-2.47626877	test_M_virgin
-2.381941575	test_M_virgin
-2.376146006	test_M_virgin
-2.345496726	test_M_virgin
-2.323171401	test_M_virgin
-2.321292761	test_M_virgin
-2.277175454	test_M_virgin
-2.269769094	test_M_virgin
-2.157214374	test_M_virgin
-2.072568601	test_M_virgin
-2.067948876	test_M_virgin
-1.997194001	test_M_virgin
-1.898945441	test_M_virgin
-1.878977634	test_M_virgin
-1.826180941	test_M_virgin
-1.802632338	test_M_virgin
-1.744371333	test_M_virgin
-1.715314775	test_M_virgin
-1.676301294	test_M_virgin
-1.661384262	test_M_virgin
-1.649479218	test_M_virgin
-1.634470811	test_M_virgin
-1.60628978	test_M_virgin
-1.517513341	test_M_virgin
-1.507630536	test_M_virgin
-1.505530543	test_M_virgin
-1.500259641	test_M_virgin
-1.493888028	test_M_virgin
-1.480973957	test_M_virgin
-1.419432507	test_M_virgin
-1.325775853	test_M_virgin
-1.305976457	test_M_virgin
-1.294793718	test_M_virgin
-1.267816826	test_M_virgin
-1.261506488	test_M_virgin
-1.258321711	test_M_virgin
-1.255584141	test_M_virgin
-1.255109002	test_M_virgin
-1.253635182	test_M_virgin
-1.250491424	test_M_virgin
-1.243564206	test_M_virgin
-1.237378905	test_M_virgin
-1.196432831	test_M_virgin
-1.115668989	test_M_virgin
-1.100006067	test_M_virgin
-1.09501831	test_M_virgin
-1.080689241	test_M_virgin
-1.057004507	test_M_virgin
-1.055098751	test_M_virgin
-1.018046149	test_M_virgin
-1.007345399	test_M_virgin
-1.003838822	test_M_virgin
-0.98583132	test_M_virgin
-0.985492753	test_M_virgin
-0.976287595	test_M_virgin
-0.974276046	test_M_virgin
-0.966922801	test_M_virgin
-0.955130151	test_M_virgin
-0.930406988	test_M_virgin
-0.929210245	test_M_virgin
-0.922600547	test_M_virgin
-0.922541808	test_M_virgin
-0.921225441	test_M_virgin
-0.917484322	test_M_virgin
-0.91034409	test_M_virgin
-0.88931339	test_M_virgin
-0.87003098	test_M_virgin
-0.856069991	test_M_virgin
-0.850431612	test_M_virgin
-0.849647523	test_M_virgin
-0.846299854	test_M_virgin
-0.819932335	test_M_virgin
-0.81744692	test_M_virgin
-0.799173349	test_M_virgin
-0.793698887	test_M_virgin
-0.793035447	test_M_virgin
-0.778319382	test_M_virgin
-0.77645645	test_M_virgin
-0.775394376	test_M_virgin
-0.767771743	test_M_virgin
-0.766061275	test_M_virgin
-0.765225616	test_M_virgin
-0.759647785	test_M_virgin
-0.753163799	test_M_virgin
-0.725200972	test_M_virgin
-0.724406179	test_M_virgin
-0.723491628	test_M_virgin
-0.70598434	test_M_virgin
-0.70513625	test_M_virgin
-0.704080329	test_M_virgin
-0.700132758	test_M_virgin
-0.699175331	test_M_virgin
-0.694355408	test_M_virgin
-0.687690452	test_M_virgin
-0.684498049	test_M_virgin
-0.672057577	test_M_virgin
-0.670954537	test_M_virgin
-0.668134281	test_M_virgin
-0.662836055	test_M_virgin
-0.660519388	test_M_virgin
-0.658356307	test_M_virgin
-0.653011043	test_M_virgin
-0.643839862	test_M_virgin
-0.641908027	test_M_virgin
-0.622633672	test_M_virgin
-0.612378568	test_M_virgin
-0.601369827	test_M_virgin
-0.600404002	test_M_virgin
-0.593027005	test_M_virgin
-0.590998015	test_M_virgin
-0.588149751	test_M_virgin
-0.581384247	test_M_virgin
-0.580838866	test_M_virgin
-0.576845077	test_M_virgin
-0.574774251	test_M_virgin
-0.571201307	test_M_virgin
-0.569745115	test_M_virgin
-0.568846669	test_M_virgin
-0.567840899	test_M_virgin
-0.563456558	test_M_virgin
-0.561373782	test_M_virgin
-0.560319238	test_M_virgin
-0.556011085	test_M_virgin
-0.554487397	test_M_virgin
-0.551905953	test_M_virgin
-0.546727591	test_M_virgin
-0.546547848	test_M_virgin
-0.543428321	test_M_virgin
-0.542331827	test_M_virgin
-0.540581143	test_M_virgin
-0.540580941	test_M_virgin
-0.539651695	test_M_virgin
-0.537372165	test_M_virgin
-0.524909559	test_M_virgin
-0.523228839	test_M_virgin
-0.517992292	test_M_virgin
-0.516510948	test_M_virgin
-0.516358427	test_M_virgin
-0.512297439	test_M_virgin
-0.508473742	test_M_virgin
-0.502127406	test_M_virgin
-0.48936784	test_M_virgin
-0.486693006	test_M_virgin
-0.48257697	test_M_virgin
-0.47470067	test_M_virgin
-0.473509352	test_M_virgin
-0.472400797	test_M_virgin
-0.468062316	test_M_virgin
-0.46797251	test_M_virgin
-0.46640417	test_M_virgin
-0.465878666	test_M_virgin
-0.463956696	test_M_virgin
-0.463321451	test_M_virgin
-0.456041657	test_M_virgin
-0.45122483	test_M_virgin
-0.451178232	test_M_virgin
-0.444762541	test_M_virgin
-0.444167536	test_M_virgin
-0.443067309	test_M_virgin
-0.442606992	test_M_virgin
-0.441021306	test_M_virgin
-0.439241328	test_M_virgin
-0.434635842	test_M_virgin
-0.426022847	test_M_virgin
-0.415334228	test_M_virgin
-0.413898569	test_M_virgin
-0.412585653	test_M_virgin
-0.408065307	test_M_virgin
-0.400899928	test_M_virgin
-0.400140802	test_M_virgin
-0.397670424	test_M_virgin
-0.393240289	test_M_virgin
-0.392868564	test_M_virgin
-0.392782745	test_M_virgin
-0.389217354	test_M_virgin
-0.385080523	test_M_virgin
-0.383647343	test_M_virgin
-0.383435035	test_M_virgin
-0.37865181	test_M_virgin
-0.366305465	test_M_virgin
-0.362659037	test_M_virgin
-0.362114494	test_M_virgin
-0.361192891	test_M_virgin
-0.345252369	test_M_virgin
-0.342734754	test_M_virgin
-0.316056031	test_M_virgin
-0.308580469	test_M_virgin
0.366574962	test_E_virgin
0.396691351	test_E_virgin
0.402672525	test_E_virgin
0.405569197	test_E_virgin
0.421205986	test_E_virgin
0.426267847	test_E_virgin
0.428009083	test_E_virgin
0.42925224	test_E_virgin
0.430726281	test_E_virgin
0.440049557	test_E_virgin
0.442553382	test_E_virgin
0.443527495	test_E_virgin
0.44550426	test_E_virgin
0.449294843	test_E_virgin
0.451176375	test_E_virgin
0.452758066	test_E_virgin
0.453511456	test_E_virgin
0.460352724	test_E_virgin
0.477845236	test_E_virgin
0.479068805	test_E_virgin
0.48343669	test_E_virgin
0.488626992	test_E_virgin
0.491603849	test_E_virgin
0.49241549	test_E_virgin
0.497091934	test_E_virgin
0.506954001	test_E_virgin
0.513191878	test_E_virgin
0.514390937	test_E_virgin
0.514542906	test_E_virgin
0.517844928	test_E_virgin
0.521429279	test_E_virgin
0.524454135	test_E_virgin
0.527276037	test_E_virgin
0.529589772	test_E_virgin
0.537741145	test_E_virgin
0.539481728	test_E_virgin
0.543887903	test_E_virgin
0.54811213	test_E_virgin
0.548277499	test_E_virgin
0.550120623	test_E_virgin
0.550227224	test_E_virgin
0.550692803	test_E_virgin
0.559366374	test_E_virgin
0.562612415	test_E_virgin
0.563266027	test_E_virgin
0.565590937	test_E_virgin
0.573573364	test_E_virgin
0.588717677	test_E_virgin
0.591566027	test_E_virgin
0.600888339	test_E_virgin
0.601192381	test_E_virgin
0.603600072	test_E_virgin
0.60995144	test_E_virgin
