logfc	females
-6.642057077	frt_M_virgin
-5.275372326	frt_M_virgin
-4.085678062	frt_M_virgin
-3.853101422	frt_M_virgin
-3.565925894	frt_M_virgin
-3.36177165	frt_M_virgin
-3.352175078	frt_M_virgin
-3.096985837	frt_M_virgin
-3.075753957	frt_M_virgin
-2.943907135	frt_M_virgin
-2.915641566	frt_M_virgin
-2.911345755	frt_M_virgin
-2.846119822	frt_M_virgin
-2.773909336	frt_M_virgin
-2.557775831	frt_M_virgin
-2.405253957	frt_M_virgin
-2.391264538	frt_M_virgin
-2.282511651	frt_M_virgin
-2.254434277	frt_M_virgin
-2.226351333	frt_M_virgin
-2.224938424	frt_M_virgin
-2.205612844	frt_M_virgin
-2.203647759	frt_M_virgin
-2.172962825	frt_M_virgin
-2.090424772	frt_M_virgin
-2.084853689	frt_M_virgin
-2.064616358	frt_M_virgin
-2.056962653	frt_M_virgin
-2.052105972	frt_M_virgin
-2.020889633	frt_M_virgin
-1.980896763	frt_M_virgin
-1.95864406	frt_M_virgin
-1.924755837	frt_M_virgin
-1.898615719	frt_M_virgin
-1.897672424	frt_M_virgin
-1.851087462	frt_M_virgin
-1.814757897	frt_M_virgin
-1.802844993	frt_M_virgin
-1.76877782	frt_M_virgin
-1.766509862	frt_M_virgin
-1.764479038	frt_M_virgin
-1.757137774	frt_M_virgin
-1.741565342	frt_M_virgin
-1.718943999	frt_M_virgin
-1.708286984	frt_M_virgin
-1.694740119	frt_M_virgin
-1.65952261	frt_M_virgin
-1.644099928	frt_M_virgin
-1.587476578	frt_M_virgin
-1.586643956	frt_M_virgin
-1.580852193	frt_M_virgin
-1.54533353	frt_M_virgin
-1.533199657	frt_M_virgin
-1.5289306	frt_M_virgin
-1.521157131	frt_M_virgin
-1.497541923	frt_M_virgin
-1.492625405	frt_M_virgin
-1.483499603	frt_M_virgin
-1.464053235	frt_M_virgin
-1.459745444	frt_M_virgin
-1.457158333	frt_M_virgin
-1.429621642	frt_M_virgin
-1.428309427	frt_M_virgin
-1.376205746	frt_M_virgin
-1.371112009	frt_M_virgin
-1.352750273	frt_M_virgin
