gene	FDR_ofE	logFC_ofE
FBgn0011563	0.999818157417892	-0.785261695968799
FBgn0012691	0.999818157417892	-0.743980096581208
FBgn0012692	0.953656889518808	-0.908884226312269
FBgn0012694	0.999818157417892	-0.685704697465647
FBgn0012696	0.999818157417892	0.261034873443339
FBgn0012698	0.999818157417892	-0.206630736917742
FBgn0012699	0.999818157417892	-0.0036075563161898
FBgn0012701	0.999818157417892	0.0559271512835106
FBgn0012704	0.999818157417892	0.0487595891835542
FBgn0012706	0.999818157417892	0.409550318903666
FBgn0012714	0.999818157417892	0.00171181127796005
FBgn0012716	0.999818157417892	-0.401523996609558
FBgn0012717	0.999818157417892	-0.657185987687922
FBgn0012725	0.999818157417892	0.0213838174606262
FBgn0012727	0.999818157417892	-0.564708923274139
FBgn0012735	0.739522108721213	0.714091381906452
FBgn0012736	0.999818157417892	0.194849094376116
FBgn0015144	0.828856481073055	1.18289899082608
FBgn0015151	0.999818157417892	-0.0812605815255661
FBgn0016313	0.999818157417892	-0.0685873357015202
FBgn0018547	0.992738218501048	0.524261182613352
FBgn0020475	0.999818157417892	0.244668688078472
FBgn0022538	0.999818157417892	-0.166166399316062
FBgn0022854	0.999818157417892	-0.356843719672509
FBgn0023293	0.999818157417892	-0.616919297427734
FBgn0023294	0.999818157417892	-0.0641796750163296
FBgn0023296	0.999818157417892	-0.0477066113729884
FBgn0023297	0.999818157417892	0.23114681171211
FBgn0027807	0.999818157417892	-0.553661878852575
FBgn0061260	0.999818157417892	0.101642381046587
FBgn0061263	0.999818157417892	-0.350273785141146
FBgn0062298	0.824830058194071	0.572527160833899
FBgn0062741	0.999818157417892	-0.111978043758987
FBgn0064047	0.999818157417892	-0.271629965992793
FBgn0064414	0.999818157417892	-0.3945092155092
FBgn0064416	0.906308739294268	0.585363794343
FBgn0064417	0.999818157417892	0.0988761597680423
FBgn0064419	0.999818157417892	-0.0152703259900842
FBgn0064421	0.999818157417892	-0.0903710762920727
FBgn0064424	0.999818157417892	-0.432009097750041
FBgn0064425	0.999818157417892	-0.221161362299153
FBgn0064426	0.999818157417892	-0.47221895410717
FBgn0064427	0.999818157417892	-0.188358614664857
FBgn0064435	0.999818157417892	0.133239936925885
FBgn0064437	0.999818157417892	0.315238028618785
FBgn0064439	0.999818157417892	-0.530808691578563
FBgn0064440	0.76189101265486	0.957529604782627
FBgn0064441	0.999818157417892	-0.21068417509216
FBgn0064443	0.999818157417892	0.297027199105561
FBgn0064444	0.999818157417892	0.0485720713962119
FBgn0064447	0.999818157417892	0.0559498457656076
FBgn0064448	0.999818157417892	0.148001545350332
FBgn0067207	0.999818157417892	-0.19848429965558
FBgn0067543	0.309149516590944	-1.37264831650635
FBgn0068730	0.648642202165764	0.746802106832836
FBgn0068743	0.999818157417892	0.174858269975365
FBgn0068744	0.989498583355757	-0.660334588747994
FBgn0070060	0.999818157417892	-0.0602674489814854
FBgn0070061	0.999818157417892	0.177457273999384
FBgn0070062	0.999818157417892	-0.106088319330989
FBgn0070063	0.999818157417892	-0.266539851922595
FBgn0070064	0.999818157417892	-0.114998881200799
FBgn0070065	0.999818157417892	-0.0298256063039409
FBgn0070066	0.999818157417892	0.0705801538927106
FBgn0070069	0.473015408018003	0.957637715175448
FBgn0070071	0.999818157417892	-0.351616855116436
FBgn0070072	0.999818157417892	0.0669684773221888
FBgn0070073	0.866565229509172	0.605066492916591
FBgn0070075	0.999818157417892	-0.256760914116421
FBgn0070076	0.999818157417892	-0.424290715765899
FBgn0070079	0.999818157417892	0.177801473938046
FBgn0070080	0.999818157417892	-0.637365872269769
FBgn0070082	0.999818157417892	0.397351402395072
FBgn0070083	0.999818157417892	0.39962194470535
FBgn0070084	0.999818157417892	-0.467836090824642
FBgn0070086	0.999818157417892	0.617256352650887
FBgn0070089	0.999818157417892	0.33851322568043
FBgn0070090	0.999818157417892	-0.11595252135311
FBgn0070092	0.999818157417892	-0.135461332337438
FBgn0070093	0.999818157417892	-0.0173402366874399
FBgn0070095	0.999818157417892	0.203049921800073
FBgn0070096	0.999818157417892	-0.0435143197997882
FBgn0070097	0.999818157417892	-0.179534531175588
FBgn0070098	0.999818157417892	-0.307559244518817
FBgn0070102	0.999818157417892	-0.906596360278783
FBgn0070105	0.999818157417892	-0.291420624255885
FBgn0070107	0.999818157417892	0.415117766031669
FBgn0070108	0.999818157417892	-0.305348457492663
FBgn0070109	0.999818157417892	-0.189735281510812
FBgn0070110	0.404975247127772	-1.32674042097246
FBgn0070111	0.999818157417892	-0.162007122830209
FBgn0070112	0.999818157417892	-0.110694005795906
FBgn0070114	0.999818157417892	0.440953946572496
FBgn0070115	0.999818157417892	0.292838320495296
