gene	FDR_ofM	logFC_ofM
FBgn0011563	0.0641487091523403	1.68917651369559
FBgn0012691	0.0123511887281307	1.72415094959071
FBgn0012692	0.012609777056371	1.68076332641249
FBgn0012694	0.896816124005127	-0.162768635615614
FBgn0012696	0.23828688103261	0.742947817837054
FBgn0012698	0.637371426719776	0.275913446876657
FBgn0012699	0.635867376933529	0.353178225590466
FBgn0012701	0.237908529116588	-0.61509715571477
FBgn0012704	0.894973387305632	-0.087102318286865
FBgn0012706	0.691981153311566	0.260624192553127
FBgn0012714	0.298355142510902	-0.622154235569829
FBgn0012716	0.0376462061114976	1.38037317884251
FBgn0012717	0.920554267281911	-0.0861854515288095
FBgn0012725	0.776868059609158	0.160409188669996
FBgn0012727	0.110800606121069	1.89153725860813
FBgn0012735	0.293303065776101	0.691955764765659
FBgn0012736	0.867203152382228	0.140431639826479
FBgn0015144	0.421333579651818	-0.760145759759006
FBgn0015151	0.775516089205579	-0.186429364995236
FBgn0016313	0.618287035014931	0.266789152182666
FBgn0018547	0.334079936355421	0.582238840863685
FBgn0020475	0.343447268638376	0.875053009933434
FBgn0022538	0.609406701798067	-0.292566120012959
FBgn0022854	0.333479326572418	-0.564858209394255
FBgn0023293	0.884201081138577	0.111022443997573
FBgn0023294	0.491830812402913	0.378592360030712
FBgn0023296	0.471217244417838	0.389426213617341
FBgn0023297	0.756551477876185	-0.178342211287461
FBgn0027807	0.127928056626854	-1.67400155197767
FBgn0046148	0.299783577297943	1.45297871473167
FBgn0061260	0.473048325475162	0.453261512362853
FBgn0061263	0.101110320492996	-1.99154741044919
FBgn0062298	0.889412331100604	0.102911261647967
FBgn0062741	0.227138308641393	-1.02383028367746
FBgn0064047	0.581532354047007	-0.339889728793026
FBgn0064414	0.038153168669889	-1.80041330013776
FBgn0064416	0.624352855994912	0.308303663380319
FBgn0064417	0.462663934778595	0.633611233511586
FBgn0064419	0.88253134453426	-0.0931838347341963
FBgn0064421	0.694818459400122	-0.248010439627925
FBgn0064424	0.0500468584370142	-2.24330837232471
FBgn0064425	0.375203271109596	-0.602683873400334
FBgn0064426	0.103538571324954	-1.16031303418667
FBgn0064427	0.879752349096233	0.107894084174068
FBgn0064435	0.863116037749628	-0.117995132381648
FBgn0064437	0.913988110214063	-0.0997666821457045
FBgn0064439	0.00222118021920798	2.57058686702274
FBgn0064440	0.477204151438079	-0.681831389834347
FBgn0064441	0.61295912572621	-0.311764867672837
FBgn0064443	0.316652706010909	-0.77242311206671
FBgn0064444	0.762942245634761	0.18604324024205
FBgn0064447	0.93147824517597	-0.0626920408579524
FBgn0064448	0.897754743208028	-0.0863353527778658
FBgn0067207	0.360575456547471	-0.527851841098171
FBgn0067543	0.00935516173176425	-2.52233248354429
FBgn0068730	0.587390147770463	0.365307015403898
FBgn0068743	0.791008399665859	0.152399564402743
FBgn0068744	0.076795490577969	1.48942387488822
FBgn0070060	0.523711208105056	0.484035330186374
FBgn0070061	0.246525249108525	0.990741257204948
FBgn0070062	0.887872719821012	0.137998086040924
FBgn0070063	0.102182873751807	1.09055356160759
FBgn0070064	0.821393626360902	0.134918287132852
FBgn0070065	0.937376768819167	-0.054713855660584
FBgn0070066	0.732900027105884	-0.217628499144366
FBgn0070069	0.455594668659399	0.651709707116324
FBgn0070071	0.0449414875006589	-1.60302042142567
FBgn0070072	0.63633671354898	0.454021111826111
FBgn0070073	0.462708944909649	0.573238122216312
FBgn0070075	0.61857628131849	0.349515134755311
FBgn0070076	0.900786000520606	-0.163357990836652
FBgn0070079	0.528601669680137	0.328613549121845
FBgn0070080	0.980670394718306	0.0295697637776187
FBgn0070082	0.868637518023029	0.187288444966824
FBgn0070083	0.493739355906815	0.516733782318096
FBgn0070084	0.526031056286848	-0.411349000513685
FBgn0070086	0.971719690494201	-0.0438012421136946
FBgn0070089	0.995646669047091	0.00340708869309737
FBgn0070090	0.707852158115459	0.213107467791506
FBgn0070092	0.548127753833092	-0.475387546374128
FBgn0070093	0.179114332246039	1.13828030272074
FBgn0070095	0.38245383136665	-0.607946709539096
FBgn0070096	0.388422605507368	-0.508073371766257
FBgn0070097	0.514939328402269	-0.449571256622242
FBgn0070098	0.0925978513179162	-1.0888576947007
FBgn0070102	0.112175425567131	-1.59957287510606
FBgn0070105	0.398682251977625	-0.493560033455723
FBgn0070107	0.528601669680137	0.389194135120055
FBgn0070108	0.5297287208589	0.32983069609952
FBgn0070109	0.825183876525863	-0.138296841075755
FBgn0070110	0.00367562880242052	2.51676275379798
FBgn0070111	0.493781022417766	-0.422293143643812
FBgn0070112	0.80451283296	-0.17244502059734
FBgn0070114	0.428284349257488	0.607049901393661
FBgn0070115	0.592353158298533	0.371478761784156
FBgn0070116	0.184840969340752	-0.700550126023803
FBgn0070117	0.0648495273584256	1.73136482837134
FBgn0070119	0.982983549104174	-0.0191538275810297
FBgn0070120	0.894884794471749	-0.0969836116548188
FBgn0070121	0.12641779088133	1.21561826356906
FBgn0070122	0.00110833803767947	-2.96204075225004
FBgn0070123	0.966436995928921	0.0296229846339622
FBgn0070124	0.818893957288494	0.224589459886979
FBgn0070125	0.931048682888166	0.0707049104552526
FBgn0070129	0.329151061400969	-0.590995222541322
FBgn0070132	0.561645398861878	0.354829803309705
FBgn0070134	0.304328858837383	-0.64872917888191
FBgn0070135	0.814164933570894	0.147406090928678
FBgn0070136	0.724060115938882	-0.200162719778935
FBgn0070138	0.62544606875112	-0.301789115845456
FBgn0070139	0.125613072724817	-0.793475769909231
FBgn0070140	0.92470453791185	-0.0949171254498826
FBgn0070142	0.733318254930434	0.400988089230812
FBgn0070143	0.412528177041565	-0.589794685673752
FBgn0070144	0.471217244417838	0.607170790758559
FBgn0070145	0.616225667502172	0.373351653964945
FBgn0070146	0.672875495771395	0.227867697781555
FBgn0070147	0.625035303011847	0.347250147835848
FBgn0070148	0.180686341759778	-0.75587353516243
FBgn0070149	0.194001689614712	-0.761173474855887
FBgn0070151	0.0356344639991705	-2.31103731216924
FBgn0070153	0.103017714686692	-1.30601409093136
FBgn0070154	0.683056287390245	-0.585649376642008
FBgn0070155	0.605008098445609	0.318243348559254
FBgn0070157	0.877977242835693	0.130456727015471
FBgn0070158	0.650644098063825	-0.326466941886494
FBgn0070160	0.419597261482618	-0.508175061689299
FBgn0070164	0.721605862092531	0.328947851888867
FBgn0070166	0.997145526289139	0.00244427772894564
FBgn0070167	0.441135560959524	0.542392990310576
FBgn0070168	0.24141482169571	0.988103076766285
FBgn0070174	0.812026709728684	0.160184324171418
FBgn0070176	0.421333579651818	-0.544177275181579
FBgn0070177	0.491193183328772	0.549556231630253
FBgn0070178	0.861095970727665	-0.140846226021487
FBgn0070179	0.113531681570968	-0.957531425460867
FBgn0070180	0.829744984442716	0.192389807772636
FBgn0070184	0.301888917962325	0.720671751399621
FBgn0070185	0.991198175578836	0.00878902094849796
FBgn0070186	0.234401236234981	1.0710739578128
FBgn0070187	0.395412577719015	-0.520294513454623
FBgn0070189	0.641712335631418	-0.292075270829774
FBgn0070191	0.235960412624459	1.05455279188404
FBgn0070192	0.220086252794633	0.784397299600534
FBgn0070194	0.0408699665445509	1.22642285065676
FBgn0070195	0.899645839567073	0.141760958642359
FBgn0070197	0.00764946577943169	1.5602347195681
FBgn0070199	0.916695641335982	0.11531122558967
FBgn0070200	0.459136196218506	-0.507913306205744
FBgn0070201	0.79754912895671	0.207762570762818
FBgn0070203	0.132651690706631	-1.14535477963027
FBgn0070205	0.920062889324593	0.0973939903681228
FBgn0070208	0.277656431958267	-0.624783797777923
FBgn0070209	0.998741797389071	-0.0014352183414198
FBgn0070212	0.388895426732407	0.812293473581837
FBgn0070214	0.0360590220983399	1.69285077883568
FBgn0070215	0.667132679734261	0.284674178165435
FBgn0070216	0.356363265702044	-0.680357152234722
FBgn0070217	0.462388056210722	-0.429312376189786
FBgn0070218	0.592353158298533	-0.319537930909462
FBgn0070219	0.477114799265893	0.588220622593513
FBgn0070220	0.0556612489504677	-1.37136254020471
FBgn0070221	0.354929838955493	-0.58054482733739
FBgn0070222	0.441135560959524	-0.666019040830861
FBgn0070224	0.920554267281911	-0.0751401537599475
FBgn0070225	0.104142752174444	-1.21727444664816
FBgn0070226	0.862303035695738	0.120167195738534
FBgn0070228	0.0772738768833292	-0.986668628229927
FBgn0070229	0.233741290743678	-0.756908611648019
FBgn0070232	0.611492473502842	-0.318649363399729
FBgn0070233	0.348576521534044	-0.513403148126475
FBgn0070237	0.994761879775504	0.00501387848651922
FBgn0070238	0.978025837287889	0.02025153408452
FBgn0070239	0.203913767261652	0.652038739014432
FBgn0070240	0.164619420478844	-0.977815560802408
FBgn0070241	0.189006699815579	-0.819994452997542
FBgn0070242	0.0658475270140807	-1.57003351337345
FBgn0070248	0.114633402759997	1.12007804445965
FBgn0070249	0.211857754221256	0.953573593820701
FBgn0070252	0.943668327664106	0.0916110779986974
FBgn0070256	0.310088642832313	-0.691376418778636
FBgn0070258	0.843766121364322	0.128618279119461
FBgn0070260	0.387944098805616	0.602827804328984
FBgn0070261	0.966075511545797	0.0440003106274888
FBgn0070263	0.340988134124618	-1.05672518463356
FBgn0070264	0.164579459068471	-0.860198561875171
FBgn0070265	0.719226639806647	-0.24065199452672
FBgn0070266	0.535499858508223	-0.361216490215214
FBgn0070267	0.503812034563766	-0.384698695082084
FBgn0070268	0.741360241887026	-0.209473837245491
FBgn0070269	0.56008846365894	-0.345139000452931
FBgn0070270	0.244633843383247	0.756272997837654
FBgn0070271	0.847368691134326	0.122883300463741
FBgn0070272	0.0449552863272548	1.29948582914357
FBgn0070273	0.834147508296802	-0.126755692388356
FBgn0070277	0.494714309375175	0.452785041361373
FBgn0070279	0.702464265770672	-0.247931850238534
FBgn0070280	0.325727531585412	0.83160132662758
FBgn0070281	0.945614710573506	0.0521456210688189
FBgn0070282	0.580905166827718	0.336016651190611
FBgn0070283	0.996682073237169	-0.00256934034795779
FBgn0070285	0.312579595052947	0.901203828880637
FBgn0070287	0.957066164660671	0.0773987449684378
FBgn0070289	0.452302374703087	-0.388383501077965
FBgn0070291	0.924104187483118	-0.0603722058636722
FBgn0070293	0.620413727170989	0.428436847594622
FBgn0070295	0.469625005218768	-0.640800631060235
FBgn0070296	0.375018231184913	0.580273297825209
FBgn0070297	0.911939138038085	-0.081614216165961
FBgn0070299	0.493036181924224	-0.457016265640652
FBgn0070300	0.324661648587353	0.512120557333187
FBgn0070301	0.627065386145612	-0.3186416249698
FBgn0070302	0.414862435472466	-0.594469890886158
FBgn0070304	0.163580886568319	-1.04888229596726
FBgn0070305	0.585497327136217	-0.300616254823097
FBgn0070306	0.521817424342126	-0.380283909500505
FBgn0070308	0.97652772667911	0.026254582518117
FBgn0070309	0.0356344639991705	-1.86384360114355
FBgn0070310	0.571358376503796	-0.367204890208353
FBgn0070311	0.942155288554881	-0.0597948889649679
FBgn0070312	0.695234734056535	-0.458519050175365
FBgn0070315	0.271559452067758	-0.690268194275186
FBgn0070316	0.296114889246184	0.798686728551358
FBgn0070317	0.35070933432068	-0.557831124415501
FBgn0070318	0.455435363615076	-0.536199833888039
FBgn0070319	0.65540168705424	0.313220428662701
FBgn0070320	0.0461224015610289	-1.93866279076221
FBgn0070321	0.406513410180625	-0.50723207517525
FBgn0070325	0.993631849023616	-0.00651549800195668
FBgn0070326	0.839410024164706	-0.130157031347929
FBgn0070329	0.322979526756648	0.497563339210391
FBgn0070330	0.409828607655761	0.810466348983226
FBgn0070332	0.671430337204718	0.289307504122974
FBgn0070333	0.22441752199297	-1.63934990311888
FBgn0070334	0.37809774511778	0.519230332386275
FBgn0070335	0.673737752857287	-0.305893631406242
FBgn0070336	0.970359519375825	0.0267621397365174
FBgn0070337	0.0473916716451322	1.36908447425755
FBgn0070338	0.525461639404688	-0.345631851636679
FBgn0070339	0.677403759583598	-0.26187140119963
FBgn0070340	0.851640837338138	-0.113154362321652
FBgn0070342	0.776311565139767	0.218935889555014
FBgn0070343	0.915742460946169	-0.0909979981846683
FBgn0070344	0.242778013964376	-0.703693786478088
FBgn0070345	0.928130079447035	-0.0606608717410202
FBgn0070346	0.909276494066954	-0.0730996185733816
FBgn0070348	0.468107074014325	0.391060976196902
FBgn0070351	0.0321120323375858	-1.96515465360162
FBgn0070353	0.738009503154571	0.334538475749644
FBgn0070355	0.588579904886775	-0.39129447855364
FBgn0070356	0.994761879775504	0.00548340120068046
FBgn0070358	0.417391685598447	-0.591414783289514
FBgn0070359	0.127665939367436	1.58727781720744
FBgn0070360	0.756198095341052	0.187788905737648
FBgn0070361	0.568283261698559	-0.39999433745157
FBgn0070362	0.124982662875298	-0.915577688885026
FBgn0070363	0.239069106774326	-0.870242855442809
FBgn0070364	0.264370000754736	-0.80467448251443
FBgn0070365	0.693279131072971	0.246327762969845
FBgn0070366	0.396098863212582	-0.862656319940886
FBgn0070367	0.127592429620569	-2.10337501333987
FBgn0070368	0.832137599566073	-0.125524398458087
FBgn0070369	0.571061311393972	0.330104313970375
FBgn0070370	0.69501678073749	-0.374983188636465
FBgn0070371	0.222722422590012	-0.877272454640247
FBgn0070372	0.473048325475162	-0.613210006981472
FBgn0070373	0.970331660807508	0.0296026048917278
FBgn0070374	0.378571791200743	-0.536366121997559
FBgn0070379	0.0768318366262974	-1.45409361781979
FBgn0070380	0.44246661721903	-0.872966685971421
FBgn0070381	0.494708860034625	-0.486211936999392
FBgn0070382	0.781236877828801	0.168076750217987
FBgn0070385	0.351016602975393	0.491547001613732
FBgn0070386	0.795269365843466	-0.17967233385978
FBgn0070387	0.166185629513217	-0.908454165751333
FBgn0070388	0.781058122932542	-0.185414495371521
FBgn0070389	0.664958489827362	-0.361807762008775
FBgn0070390	0.412359959713223	0.55175465242175
FBgn0070391	0.0602851297247595	1.03796778287355
FBgn0070392	0.534275325548701	-0.365667003431021
FBgn0070393	0.16729672499516	0.963106972900763
FBgn0070394	0.38762740761226	-0.463114529512369
FBgn0070395	0.000204940948634282	2.5691022939066
FBgn0070397	0.655510107667116	-0.416430331119882
FBgn0070399	0.0418762862708881	-1.48276822397805
FBgn0070401	0.67710102900447	0.311672768576204
FBgn0070402	0.585870609715412	-0.298755564165824
FBgn0070404	0.988952404359862	0.0232213726140088
FBgn0070405	0.266970931072569	-0.962222779986155
FBgn0070406	0.601135691933059	0.339101157289913
FBgn0070407	0.341702052594472	0.716789045733496
FBgn0070409	0.601135691933059	0.417169621861251
FBgn0070411	0.677223173293905	-0.328264486978471
FBgn0070412	0.241363632813936	-0.73419112606613
FBgn0070413	0.76832829667867	0.174793728286926
FBgn0070414	0.0648495273584256	-1.44237029808844
FBgn0070415	0.695803306689314	-0.221029146982036
FBgn0070416	0.378979908072018	0.618748122786434
FBgn0070417	0.593824280401269	-0.301000632790982
FBgn0070418	0.620115498688551	0.392807171729863
FBgn0070420	0.391744152340087	0.6453188607719
FBgn0070421	0.30008699059232	0.62428319636577
FBgn0070422	0.0432009122738011	1.27251530868717
FBgn0070424	0.235417349239103	-0.830902751026483
FBgn0070425	0.518398624880985	0.548984605033491
FBgn0070426	0.0398636594337758	-2.05808961101578
FBgn0070427	0.99292945244773	0.00740327055309536
FBgn0070429	0.609870019069665	0.363568361745609
FBgn0070430	0.610946843211222	-0.325900370103832
FBgn0070433	0.0949126260649627	1.58012951283531
FBgn0070436	0.993782185471576	0.00599728583668814
FBgn0070437	0.423639905961578	-0.485719611623606
FBgn0070439	0.191689433304845	-0.772946275349666
FBgn0070440	0.947670346489427	0.0453312730672393
FBgn0070441	0.969560482914077	-0.02768914502831
FBgn0070443	0.219799446307498	-0.671975340140716
FBgn0070445	0.0260973458589275	2.13871347005873
FBgn0070446	0.404983573290295	0.629746693280745
FBgn0070450	0.493635162398032	0.743923456841183
FBgn0070451	0.276765265190228	0.845462408718843
FBgn0070452	0.920554267281911	0.0801185311262256
FBgn0070454	0.595022052083657	-0.364180707393529
FBgn0070455	0.751260706192038	0.25817526001747
FBgn0070456	0.340531897786334	-0.49713257865985
FBgn0070459	0.89336947282182	0.110690334997499
FBgn0070461	0.389323448492082	0.605507416248153
FBgn0070462	0.920062889324593	-0.0740649284033088
FBgn0070463	0.652866293541273	-0.27999178882763
FBgn0070464	0.522042779025617	-0.354375503933649
FBgn0070465	0.770181126488683	-0.170477167528415
FBgn0070466	0.799976900336104	-0.170362053564603
FBgn0070467	0.130812568292193	-1.72267041731861
FBgn0070468	0.584968405952833	0.44937213644509
FBgn0070469	0.501202628330822	0.734804215573607
FBgn0070470	0.304168597330748	-0.690426304029469
FBgn0070471	0.054867345220753	-2.08966643905347
FBgn0070472	0.556177297120456	0.480151758510025
