gene	FDR_ofE	logFC_ofE
FBgn0012690	0.127535511784498	1.06667723108515
FBgn0012691	0.370510679133349	-1.22615245462947
FBgn0012692	0.466622639077995	-1.17869274743164
FBgn0012694	0.597900325605295	0.417679606205187
FBgn0012696	0.981184136122762	-0.0239151182905314
FBgn0012698	0.521478101716049	-0.206436023963941
FBgn0012701	0.906702996356803	-0.0657804060645155
FBgn0012704	0.0299692673472948	0.609175036686968
FBgn0012706	0.971722741707431	-0.0341316035231168
FBgn0012714	0.237420937850568	-0.521795068217555
FBgn0012716	0.517106031543824	-0.62459141878889
FBgn0012717	0.213976202241246	-0.370208018224934
FBgn0012725	0.586601471738499	-0.171933098724032
FBgn0012735	0.6545604870538	-0.467379242616559
FBgn0012736	0.84744317478241	-0.309839830926652
FBgn0015151	0.0838307632724574	0.424376470014271
FBgn0016313	0.00462787926363256	0.736752310650375
FBgn0018547	0.573766375730023	-0.561839112714152
FBgn0022538	0.27892737658785	-0.44160135104675
FBgn0022854	0.628648251034451	-0.164532728186169
FBgn0023293	0.542118727627067	-0.317203853183403
FBgn0023294	0.817430750021869	0.094819684004766
FBgn0023296	0.335855633621504	-0.283311747013597
FBgn0023297	0.0609833060109414	0.541533653549002
FBgn0027807	0.0955991037747644	-0.55524729568729
FBgn0046148	0.714777403611237	0.408915646798117
FBgn0061260	0.734276785527815	-0.31051689103802
FBgn0061263	0.95726029984548	0.0246154630475811
FBgn0062298	0.776745999677875	-0.123121364708256
FBgn0062741	0.400629299916716	-0.30332032728627
FBgn0064047	0.655148415471839	-0.140722925116342
FBgn0064414	0.259053079448663	-0.333520985587618
FBgn0064416	0.948651784129201	0.037462836679355
FBgn0064419	0.949615041649026	0.0243333206669564
FBgn0064421	0.933281211640778	0.0370226534430964
FBgn0064424	0.712631522957812	-0.128390071128408
FBgn0064425	0.832951068032636	-0.0921942877756688
FBgn0064426	0.622864278237203	0.204741206115381
FBgn0064427	0.949804606194906	0.0441916903938137
FBgn0064435	0.886912842238079	-0.0590459090667223
FBgn0064439	0.820790562047504	-0.414111521625399
FBgn0064440	0.903542178336368	-0.171281509887953
FBgn0064441	0.863026481779138	-0.0906408028987315
FBgn0064443	0.853226378731363	0.109061705651443
FBgn0064444	0.917873161003211	-0.0520348355752656
FBgn0064447	0.381778602581653	0.25294140516696
FBgn0064448	0.727908414067525	0.138639971692466
FBgn0067207	0.317637501992378	0.293046289908967
FBgn0067543	0.505662540762863	0.2908391547117
FBgn0068730	0.661923724600379	-0.250392364926621
FBgn0068743	0.338256078404315	0.263313757175352
FBgn0068744	0.845579570016545	-0.345814902554774
FBgn0070062	0.876714252008795	-0.176467584857004
FBgn0070063	0.75731844074119	-0.461547280334821
FBgn0070064	0.17315830982211	0.35922496075073
FBgn0070065	0.341917784190145	0.327741786622564
FBgn0070066	0.445354216350302	-0.457059094367477
FBgn0070071	0.880018100669557	0.0589591656491221
FBgn0070073	0.906518580318155	0.142214289013424
FBgn0070075	0.444906555679709	-0.871585594057627
