gene	FDR_ofM	logFC_ofM
FBgn0012690	0.208692811673152	-0.976451323752758
FBgn0012691	0.114338901400304	1.96702128184207
FBgn0012692	0.707824937625223	1.03650035087663
FBgn0012694	0.86851127715507	-0.375032713807137
FBgn0012696	0.610542828456551	0.534254751794718
FBgn0012698	0.995737984088692	-0.0125539122783149
FBgn0012701	0.610542828456551	0.228306578504893
FBgn0012704	0.962548626468829	0.0589449248412709
FBgn0012706	0.928640931343935	0.165901704312126
FBgn0012714	0.985991339033449	-0.0322465381294047
FBgn0012716	0.943526259964138	0.298718122757707
FBgn0012717	0.00368599708098615	0.68107151964504
FBgn0012725	0.77287329567186	-0.163001781523857
FBgn0012735	0.9108590312165	0.276115189807511
FBgn0012736	0.980448736526781	-0.136836977664444
FBgn0015151	0.879422617605189	-0.118654668096685
FBgn0016313	0.992253501567018	0.0206136001789515
FBgn0018547	0.943526259964138	0.20517071624206
FBgn0022538	0.93750192754231	0.104466515294192
FBgn0022854	0.962548626468829	0.0559778180738171
FBgn0023293	0.83785074143325	-0.189252618901896
FBgn0023294	0.995737984088692	-0.0143407284946112
FBgn0023296	0.890770308560605	0.135038150507014
FBgn0023297	0.571847362390693	-0.289973704680903
FBgn0027807	0.753391360981866	-0.206806745514083
FBgn0046148	0.85313486503918	0.369519556861839
FBgn0061260	0.977211446929602	0.0977698536430891
FBgn0061263	0.597059750871054	-0.279934220551837
FBgn0062298	0.734797063204533	-0.227683533714427
FBgn0062741	0.358204223087773	-0.342049775824354
FBgn0064047	0.861558756958237	-0.120582897096543
FBgn0064414	0.943526259964138	0.0933273853285456
FBgn0064416	0.806642482664263	-0.239588038564247
FBgn0064419	0.951552000531559	0.057514592246508
FBgn0064421	0.916177352268385	-0.119866491970121
FBgn0064424	0.888359478981256	-0.157099603391646
FBgn0064425	0.775887155111161	0.232812453372919
FBgn0064426	0.999478287805553	0.000604067469953344
FBgn0064427	0.929570624626123	-0.119199006344438
FBgn0064435	0.980341638229701	0.0379027295930264
FBgn0064439	0.881582222717573	0.705910343360665
FBgn0064440	0.962548626468829	-0.190183978561064
FBgn0064441	0.472587476183727	-0.290375091456274
FBgn0064443	0.405293160493723	-0.345863407037091
FBgn0064444	0.11126420787047	-0.426337684457169
FBgn0064447	0.840247351768142	0.139661512190663
FBgn0064448	0.873619393781027	0.145169610891137
FBgn0067207	0.775887155111161	0.192770586707494
FBgn0067543	0.82092178550564	-0.248160938451337
FBgn0068730	0.218097955503061	-0.757737695700611
FBgn0068743	0.999478287805553	-0.000584272559461539
FBgn0068744	0.888359478981256	0.577975633147894
FBgn0070062	0.544164554966546	0.755564717118538
FBgn0070063	0.793443367074181	0.606348216960997
FBgn0070064	0.915438575702421	0.0979283993147248
FBgn0070065	0.378118156680326	0.321681179847038
FBgn0070066	0.641433468868761	0.431059941385552
