gene	FDR_matingE	logFC_matingE
FBgn0011563	0.0216806380582238	1.574310821786
FBgn0012689	0.274420372485767	1.31396087145001
FBgn0012691	0.094805294192501	1.17517861766417
FBgn0012692	0.0464181908201249	1.39239665016967
FBgn0012694	0.631794708536074	0.735488475235643
FBgn0012696	0.945445761773204	0.282106518087932
FBgn0012698	0.906104199721306	0.392836024414404
FBgn0012699	0.05388493411191	-1.26680124996238
FBgn0012701	0.982603132091633	0.261551604711699
FBgn0012704	0.996604584013276	0.0334778169506894
FBgn0012706	0.913379315378742	-0.404662053339252
FBgn0012714	0.982603132091633	0.218957544490245
FBgn0012716	0.997639245957711	-0.0159882347365838
FBgn0012717	0.574104476706101	0.708210519406097
FBgn0012725	0.996604584013276	-0.0936600994982812
FBgn0012727	0.183733394384619	1.83225539679731
FBgn0012735	0.996604584013276	0.0369836014006841
FBgn0012736	0.996604584013276	0.146131687497469
FBgn0015144	0.996604584013276	-0.0914645810653043
FBgn0015151	0.99022434367945	0.13982622944643
FBgn0016313	0.996604584013276	-0.115299757403535
FBgn0018547	0.878981581343357	-0.350939833953729
FBgn0020475	0.589798218429873	0.720179328373946
FBgn0022538	0.996604584013276	0.0297246793781743
FBgn0022854	0.996604584013276	0.131757930377785
FBgn0023293	0.421927609654696	0.657996419998831
FBgn0023294	0.878981581343357	0.294862577346838
FBgn0023296	0.963877071851457	0.249882043563862
FBgn0023297	0.996604584013276	-0.0390349973190628
FBgn0027807	0.915865501778879	0.582691190535531
FBgn0061260	0.975914315222609	-0.204643247060848
FBgn0061263	0.982603132091633	-0.431086334998593
FBgn0062298	0.997000257694711	-0.0144758936014187
FBgn0062741	0.996604584013276	0.048365921288249
FBgn0064047	0.996604584013276	0.12065497446293
FBgn0064414	0.92319337720968	0.376635705778308
FBgn0064416	0.740541480530067	-0.4080068481339
FBgn0064417	0.962427676202142	-0.319929065719124
FBgn0064419	0.996604584013276	-0.0612026007389502
FBgn0064421	0.997639245957711	0.00646999544403848
FBgn0064424	0.996604584013276	-0.0774608471966799
FBgn0064425	0.996604584013276	-0.113061825362184
FBgn0064426	0.996604584013276	0.0768321827483037
FBgn0064427	0.743239497112595	0.384902931243137
FBgn0064435	0.997000257694711	-0.0220334864787975
FBgn0064437	0.985472282846128	-0.221839573571307
FBgn0064439	0.996604584013276	0.0592473743405421
FBgn0064440	0.987248531029206	0.265804346233438
FBgn0064441	0.934224346070516	-0.297250931545128
FBgn0064443	0.996604584013276	0.0555908499895118
FBgn0064444	0.874343390490033	-0.302706810453934
FBgn0064447	0.997639245957711	0.00647775448171747
FBgn0064448	0.343092130960525	-0.539081177462864
FBgn0067207	0.983063142550643	0.17195226355517
FBgn0067543	0.505066401360667	0.800205840773721
FBgn0068730	0.434742126500362	-0.563128961660649
FBgn0068743	0.57611350084301	-0.415625121980265
FBgn0068744	0.981614624963501	0.342067502535123
FBgn0070060	0.127332638871601	0.84934748320172
FBgn0070061	0.993586819462057	0.168516920495458
FBgn0070062	0.983063142550643	-0.285534075815841
FBgn0070063	0.996604584013276	-0.191787482822016
FBgn0070064	0.996604584013276	0.0587801137237718
FBgn0070065	0.98956740349057	-0.154841364600093
FBgn0070066	0.996604584013276	0.0499667941575067
FBgn0070069	0.785294206300851	-0.500064903421365
FBgn0070071	0.996604584013276	0.0903491418417755
FBgn0070072	0.838675427819714	0.516978951032697
FBgn0070073	0.997551971874459	-0.0124672634022239
FBgn0070075	5.76862052694757e-07	-2.0843613282478
FBgn0070076	0.79604497741939	0.676261657851274
FBgn0070079	0.913841914646753	-0.347180785872005
FBgn0070080	0.996604584013276	0.123401582217912
FBgn0070082	0.983063142550643	-0.215117998696766
FBgn0070083	0.99022434367945	0.175700559131944
FBgn0070084	0.99022434367945	0.160770836540699
FBgn0070086	0.733960221306713	-0.632186182627328
FBgn0070089	0.91105294934789	-0.265368803632845
FBgn0070090	0.520008615037307	0.484321903027687
FBgn0070092	0.983063142550643	-0.262567137484662
FBgn0070093	0.831191299965904	0.515681928220683
FBgn0070095	0.918326058350794	-0.328590683701465
FBgn0070096	0.96607554149754	-0.231785154118357
FBgn0070097	0.960076839424956	0.277453097253803
FBgn0070098	0.997000257694711	0.0168613770809737
