gene	FDR_matingM	logFC_matingM
FBgn0011563	0.829935878081511	-0.530168673688292
FBgn0012689	0.552961084512377	0.969509690022218
FBgn0012691	0.86515167481142	-0.392531286436924
FBgn0012692	0.968506812257304	-0.243329998899836
FBgn0012694	0.972825663802253	-0.24255327548724
FBgn0012696	0.341336771842613	0.56202114939571
FBgn0012698	0.896703944312193	0.274947795992355
FBgn0012699	0.00425339093056602	-0.97625302435615
FBgn0012701	0.935692549987754	0.190090344268442
FBgn0012704	0.984921738800555	0.103439509862483
FBgn0012706	0.977747295430353	0.135695413146353
FBgn0012714	0.883103788224113	0.241410611610097
FBgn0012716	0.454576273173694	-0.844768014464612
FBgn0012717	0.833281690120977	0.378411573138311
FBgn0012725	0.831491786637245	-0.24741466033836
FBgn0012727	0.584110513294245	-1.31763196366868
FBgn0012735	0.27272008551283	0.533505039674189
FBgn0012736	0.997633588216455	-0.0325690648618302
FBgn0015144	0.959054553362318	0.364392540344447
FBgn0015151	0.98687779357871	0.0597577978352474
FBgn0016313	0.985994199788543	-0.098281749896751
FBgn0018547	0.998499943187317	-0.0155293482573
FBgn0020475	0.0213627421919921	1.23132442821151
FBgn0022538	0.998499943187317	-0.0134408850508857
FBgn0022854	0.986051842189384	-0.0742196696133158
FBgn0023293	0.984921738800555	0.110642849176677
FBgn0023294	0.936011552750822	0.172528803957804
FBgn0023296	0.545643386066826	0.408634799434861
FBgn0023297	0.985994199788543	0.0842990288619035
FBgn0027807	0.823412151892941	-0.895329367703463
FBgn0046148	0.00126483518758496	-4.23983868647076
FBgn0061260	0.996758284046707	-0.0347683463077335
FBgn0061263	0.555085778841454	-1.32107784463273
FBgn0062298	0.541172847128356	0.459606078590167
FBgn0062741	0.903332715335069	-0.355325562433161
FBgn0064047	0.926573886263011	-0.175402100528852
FBgn0064414	0.991057657757593	-0.105101386589638
FBgn0064416	0.998499943187317	-0.00655035300785027
FBgn0064417	0.864470105622883	0.337609269092634
FBgn0064419	0.968506812257304	0.120985717408392
FBgn0064421	0.972825663802253	0.120040308110057
FBgn0064424	0.585731701417266	-1.0468612203483
FBgn0064425	0.833743496001716	-0.351216950141824
FBgn0064426	0.873181503318019	-0.275854316981987
FBgn0064427	0.911541937469747	0.184534360115994
FBgn0064435	0.98687779357871	-0.0614433110804859
FBgn0064437	0.959054553362318	0.1657485436321
FBgn0064439	0.200087867591209	-1.29059633248129
FBgn0064440	0.964892498815476	0.313298377571547
FBgn0064441	0.98687779357871	-0.0733138667079713
FBgn0064443	0.611529809097477	-0.575113681126621
FBgn0064444	0.93652182596811	-0.168316412451714
FBgn0064447	0.991057657757593	0.0506325602325145
FBgn0064448	0.965361135557288	-0.135502551267728
FBgn0067207	0.957507709161264	0.151953695979214
FBgn0067543	0.772358424006103	-0.659179186514891
FBgn0068730	0.725716354845074	0.411804342493302
FBgn0068743	0.879652406862726	-0.204072515057118
FBgn0068744	0.219092983078609	-0.998264752767479
FBgn0070060	0.138261700934095	0.735620848078199
FBgn0070061	0.986051842189384	0.136288671337224
FBgn0070062	0.986051842189384	-0.120920104518776
FBgn0070063	0.0421919373195902	-1.11555704314059
FBgn0070064	0.962265961759439	-0.145657879816342
FBgn0070065	0.967686051442868	0.137328560472259
FBgn0070066	0.998499943187317	0.0113051440007925
FBgn0070069	0.969214696835583	0.177050925308239
FBgn0070071	0.833623380897383	-0.365402353970517
FBgn0070072	0.181419364008589	1.03046780411241
FBgn0070073	0.98687779357871	0.0631536144011307
FBgn0070075	1.21709961993378e-10	-1.67697837712141
FBgn0070076	0.178637883181149	1.25383444038053
FBgn0070079	0.993221199433017	0.0511563497475091
FBgn0070080	0.252292291926648	-1.34699819018767
FBgn0070082	0.735508926374921	0.633615677074321
